влажной лапкой	[['влажный', {'твор,ед', 'пр,ед', 'дат,ед', 'род,ед'}], ['лапка', {'твор,ед'}]]
влажных мхах	[['влажный', {'вин,мн', 'род,мн', 'пр,мн'}], ['мох', {'пр,мн'}]]
влажной низменности	[['влажный', {'твор,ед', 'пр,ед', 'дат,ед', 'род,ед'}], ['низменность', {'им,мн', 'вин,мн', 'пр,ед', 'дат,ед', 'род,ед'}]]
влажная степь	[['влажный', {'им,ед'}], ['степь', {'вин,ед', 'им,ед'}]]
влажным полям	[['влажный', {'твор,ед', 'дат,мн'}], ['поле', {'дат,мн'}]]
влажные солончаки	[['влажный', {'им,мн', 'вин,мн'}], ['солончак', {'им,мн', 'вин,мн'}]]
влажном фильтре	[['влажный', {'пр,ед'}], ['фильтр', {'пр,ед'}]]
влажного сена	[['влажный', {'вин,ед', 'род,ед'}], ['сено', {'им,мн', 'вин,мн', 'род,ед', 'им,ед', 'вин,ед'}]]
влажными образцами	[['влажный', {'твор,мн'}], ['образец', {'твор,мн'}]]
влажные частицы	[['влажный', {'им,мн', 'вин,мн'}], ['частица', {'им,мн', 'вин,мн', 'род,ед'}]]
влажной низине	[['влажный', {'твор,ед', 'пр,ед', 'дат,ед', 'род,ед'}], ['низина', {'пр,ед', 'дат,ед'}]]
влажной земле	[['влажный', {'твор,ед', 'пр,ед', 'дат,ед', 'род,ед'}], ['земля', {'пр,ед', 'дат,ед'}]]
влажный чернозем	[['влажный', {'вин,ед', 'им,ед'}], ['чернозем', {'вин,ед', 'им,ед'}]]
влажные эпохи	[['влажный', {'им,мн', 'вин,мн'}], ['эпоха', {'им,мн', 'вин,мн', 'род,ед'}]]
влажная земля	[['влажный', {'им,ед'}], ['земля', {'им,ед'}]]
влажном тумане	[['влажный', {'пр,ед'}], ['туман', {'пр,ед'}]]
влажные следы	[['влажный', {'им,мн', 'вин,мн'}], ['след', {'им,мн', 'вин,мн'}]]
влажной жаре	[['влажный', {'твор,ед', 'пр,ед', 'дат,ед', 'род,ед'}], ['жар', {'пр,ед', 'дат,ед'}]]
влажным горизонтом	[['влажный', {'твор,ед', 'дат,мн'}], ['горизонт', {'твор,ед'}]]
влажным дыханием	[['влажный', {'твор,ед', 'дат,мн'}], ['дыхание', {'твор,ед'}]]
влажных телах	[['влажный', {'вин,мн', 'род,мн', 'пр,мн'}], ['тело', {'пр,мн'}]]
влажного горения	[['влажный', {'вин,ед', 'род,ед'}], ['горение', {'им,мн', 'вин,мн', 'род,ед'}]]
влажные крыши	[['влажный', {'им,мн', 'вин,мн'}], ['крыша', {'им,мн', 'вин,мн', 'род,ед'}]]
влажная атмосфера	[['влажный', {'им,ед'}], ['атмосфера', {'им,ед'}]]
влажным волосам	[['влажный', {'твор,ед', 'дат,мн'}], ['волос', {'дат,мн'}]]
влажными пальцами	[['влажный', {'твор,мн'}], ['палец', {'твор,мн'}]]
влажную траву	[['влажный', {'вин,ед'}], ['трава', {'вин,ед'}]]
влажной лапки	[['влажный', {'твор,ед', 'пр,ед', 'дат,ед', 'род,ед'}], ['лапка', {'им,мн', 'вин,мн', 'род,ед'}]]
влажные крылья	[['влажный', {'им,мн', 'вин,мн'}], ['крыло', {'им,мн', 'вин,мн'}]]
влажном лесу	[['влажный', {'пр,ед'}], ['лес', {'местн,ед', 'вин,ед', 'дат,ед', 'парт,ед'}]]
влажную зону	[['влажный', {'вин,ед'}], ['зона', {'вин,ед'}]]
влажного холода	[['влажный', {'вин,ед', 'род,ед'}], ['холод', {'им,мн', 'вин,мн', 'род,ед'}]]
влажным прахом	[['влажный', {'твор,ед', 'дат,мн'}], ['прах', {'твор,ед'}]]
влажная гангрена	[['влажный', {'им,ед'}], ['гангрена', {'им,ед'}]]
влажном рте	[['влажный', {'пр,ед'}], ['рот', {'пр,ед'}]]
влажным порошком	[['влажный', {'твор,ед', 'дат,мн'}], ['порошок', {'твор,ед'}]]
влажных кристаллов	[['влажный', {'вин,мн', 'род,мн', 'пр,мн'}], ['кристалл', {'род,мн'}]]
влажный дым	[['влажный', {'вин,ед', 'им,ед'}], ['дым', {'вин,ед', 'им,ед'}]]
влажную тряпку	[['влажный', {'вин,ед'}], ['тряпка', {'вин,ед'}]]
влажными облаками	[['влажный', {'твор,мн'}], ['облако', {'твор,мн'}]]
влажных скал	[['влажный', {'вин,мн', 'род,мн', 'пр,мн'}], ['скала', {'род,мн', 'вин,ед', 'им,ед'}]]
влажными губами	[['влажный', {'твор,мн'}], ['губа', {'твор,мн'}]]
влажных долинах	[['влажный', {'вин,мн', 'род,мн', 'пр,мн'}], ['долина', {'пр,мн'}]]
влажные годы	[['влажный', {'им,мн', 'вин,мн'}], ['год', {'им,мн', 'вин,мн'}]]
влажного фракционирования	[['влажный', {'вин,ед', 'род,ед'}], ['фракционирование', {'им,мн', 'вин,мн', 'род,ед'}]]
влажный год	[['влажный', {'вин,ед', 'им,ед'}], ['год', {'вин,ед', 'им,ед'}]]
влажной массы	[['влажный', {'твор,ед', 'пр,ед', 'дат,ед', 'род,ед'}], ['масса', {'им,мн', 'вин,мн', 'род,ед'}]]
влажных скалах	[['влажный', {'вин,мн', 'род,мн', 'пр,мн'}], ['скала', {'пр,мн'}]]
влажные щеки	[['влажный', {'им,мн', 'вин,мн'}], ['щека', {'им,мн', 'вин,мн', 'род,ед'}]]
влажной рукой	[['влажный', {'твор,ед', 'пр,ед', 'дат,ед', 'род,ед'}], ['рука', {'твор,ед'}]]
влажные грунты	[['влажный', {'им,мн', 'вин,мн'}], ['грунт', {'им,мн', 'вин,мн'}]]
влажных периодов	[['влажный', {'вин,мн', 'род,мн', 'пр,мн'}], ['период', {'род,мн'}]]
влажную голову	[['влажный', {'вин,ед'}], ['голова', {'вин,ед', 'дат,ед'}]]
влажной листве	[['влажный', {'твор,ед', 'пр,ед', 'дат,ед', 'род,ед'}], ['листва', {'пр,ед', 'дат,ед'}]]
