noun,big,huge
business,756097,12226
city,754326,22871
man,510757,43922
deal,462884,5781
house,399951,27033
difference,317197,74565
picture,292648,13930
thing,281401,12049
problem,257319,36558
game,241340,3196
brother,207626,403
boy,197951,908
one,191856,6448
part,183997,21835
gun,179567,8040
tree,171059,66914
question,168652,5927
toe,167359,275
money,160697,3769
bang,159004,1135
company,145689,10334
fish,140822,19092
hand,139855,44540
way,139558,1716
mistake,135928,24037
smile,135096,26117
room,135076,36033
time,133789,4362
band,127368,2679
family,123284,16212
step,120291,18124
change,118812,18342
men,114768,5074
shot,109904,917
ship,109836,20185
idea,107684,638
day,106158,781
guy,105457,2345
job,100295,6330
power,99170,10961
word,99071,1262
town,98980,3044
issue,98199,7555
league,97573,40
trouble,96768,1002
government,95330,9208
name,94461,690
eye,93835,25042
fellow,93336,7495
dog,93097,14758
event,88894,4385
book,87752,11709
girl,86201,516
party,86118,11300
corporation,84699,18816
stone,84520,100106
rock,84144,73672
sister,83203,93
head,82703,34758
hit,81696,16853
stick,76029,2788
buck,75997,1961
hole,75826,25681
fire,75752,39836
mouth,75469,12562
car,74988,6550
news,72006,987
advantage,71799,20945
help,71790,4060
hug,71209,5353
piece,69154,33028
box,68794,17209
cat,68789,5696
river,66494,9459
surprise,65538,3980
screen,63121,8312
crowd,61944,110559
success,59962,92331
firm,59945,3212
country,58931,18052
fight,57378,6178
story,57322,2295
place,55227,9728
chair,54509,4391
hotel,53562,7578
window,53506,21615
wave,53022,55130
bank,52771,8243
chunk,52643,31394
landowner,51944,485
building,51356,42507
decision,51250,1995
pot,51230,17566
show,51167,1829
industry,51130,8750
grin,50113,19144
project,49303,14168
role,49180,11594
star,48660,6431
table,48048,11581
bed,47641,15585
break,46185,1487
fan,45719,15657
number,45547,243078
chance,44911,987
boat,44401,4695
foot,43932,9884
increase,42528,69663
push,41888,1009
profit,41881,78992
world,41310,6704
bird,41091,19680
heart,40506,3545
woman,40448,5837
dinner,40104,5236
horse,39409,8029
nose,39387,6614
scale,38627,31113
farm,38559,6502
plan,38395,1397
meeting,38326,7293
impact,37912,37573
war,37779,11645
ear,37610,9003
people,37577,865
wheel,37537,10821
drum,37499,6160
battle,37300,5789
glass,37105,16397
farmer,36908,407
store,36780,11072
bag,36742,11226
group,36657,11338
pile,36492,71844
factor,36464,3950
risk,36458,12837
bowl,36388,16997
body,35949,53621
drop,35945,8361
truck,35753,10915
market,35361,29356
letter,35172,12993
machine,34900,25397
estate,34611,19906
animal,34200,29770
lie,34119,1946
meal,33693,10617
circle,33610,11853
gap,33541,37916
landlord,33437,182
block,33356,65941
hat,32997,6057
challenge,32947,13270
moment,32774,620
oak,32758,23428
lake,31679,13869
iron,31489,24847
secret,30932,1184
door,30866,13104
hall,30837,14380
jump,30810,5122
bear,30471,11891
winner,30216,518
bos,30098,311
tent,29009,9375
capital,28691,21766
bull,28415,8641
kid,28403,324
bourgeoisie,28292,89
factory,28087,13993
sign,28084,12480
field,27796,13315
scene,27674,1276
oil,27563,17055
storm,27213,6745
night,27072,1266
laugh,26783,3539
case,26637,3501
school,26611,5143
loss,26458,47949
ball,26353,14614
water,26344,10878
leap,26160,12541
fuss,26076,2014
dream,25886,731
favor,25711,4769
price,25583,12218
belly,25514,7095
concern,25462,4680
reason,25440,568
state,25310,9109
church,25138,7552
mountain,25115,34343
log,24903,20616
end,24774,324
tear,24667,2787
lump,24508,12729
basket,24502,15521
improvement,24409,7809
hurry,24353,550
enterprise,24203,7235
baby,24071,2070
bunch,23965,13646
garden,23897,8751
village,23759,1783
joke,23725,16009
island,23680,6142
voice,23490,3187
brass,23257,7462
order,23228,5133
boulder,22912,60592
player,22759,554
hill,22652,6734
bite,22566,7773
race,22405,458
kitchen,22401,8162
barn,22008,7671
knife,21828,6186
department,21737,4183
task,21596,24664
boost,21570,6553
sigh,21552,16949
effort,21277,21184
influence,21228,11967
kiss,21090,877
strike,20995,1770
desk,20951,8359
dividend,20622,7094
arm,20531,15608
bell,20461,7285
chief,20449,170
union,20440,744
splash,20415,4235
sea,20309,15458
play,20257,949
talk,20128,61
work,20102,11404
gate,19979,8090
sale,19862,7032
steel,19653,15129
organization,19651,8986
bay,19629,5007
load,19582,13721
prize,19530,1706
trout,19288,1793
mess,19269,4443
production,18994,6285
investment,18983,47588
leather,18949,5081
effect,18916,8117
wedding,18914,2580
wood,18877,3133
move,18866,713
sum,18771,148397
army,18575,52943
feast,18543,4622
dance,18532,2160
majority,18529,31066
cigar,18494,4812
office,18494,6321
stuff,18380,117
breakfast,18247,6289
shoulder,18207,8825
noise,18058,2258
interest,18044,6800
plant,17974,11200
silver,17943,12394
clock,17814,4503
top,17728,673
capitalist,17657,123
snake,17638,13623
demand,17556,25001
area,17518,67811
teeth,17379,5633
celebration,17377,4003
dam,17350,11458
science,17178,299
opportunity,16950,8669
point,16949,1069
brain,16660,1821
child,16630,1111
muscle,16557,3704
volume,16461,67444
responsibility,16409,9770
bundle,16287,14208
win,16198,1258
blow,16154,4347
boot,16074,3830
breath,16061,5419
budget,15979,13784
studio,15922,2698
pine,15920,9500
merchant,15899,929
test,15756,689
attraction,15719,949
impression,15487,2636
labor,15481,3871
shop,15338,1539
plate,15239,11027
salary,15176,9669
figure,15136,22368
disappointment,15114,4379
bottle,15113,4130
yard,15104,2514
gulp,15071,6038
square,15067,7442
plane,15045,4978
breast,15041,6405
stake,15002,4465
argument,14963,2826
engine,14909,7370
tank,14849,11042
paper,14792,4943
bill,14688,7879
item,14664,632
road,14632,970
wind,14510,1960
hospital,14504,3477
fireplace,14496,20836
frame,14449,15766
battalion,14406,434
canoe,14384,2213
operation,14272,4570
sheet,14271,10818
bass,14249,1762
headline,14166,4459
dining,14108,6338
advance,14080,8142
wall,14019,22932
contract,14001,3644
loser,13896,101
chain,13894,5586
kick,13654,1122
herd,13605,13255
victory,13577,4668
pool,13567,11943
ranch,13499,4031
land,13403,13932
face,13380,5839
slice,13365,8165
chest,13363,7331
nation,13330,2446
gain,13330,7843
newspaper,13228,1007
audience,13215,27177
shell,13135,7723
seller,13091,992
club,13075,5396
plantation,12989,5088
bend,12919,782
pond,12861,1477
brick,12792,8015
score,12677,1003
fist,12616,10590
armchair,12613,2187
mirror,12511,10242
space,12453,12515
speech,12436,131
plus,12382,1210
producer,12370,416
affair,12344,5028
bone,12303,5329
shock,12262,3792
parade,12251,4353
timber,12242,6596
stride,12204,8164
camp,12164,5676
bow,12131,5567
reward,12030,5895
rush,12020,2129
wagon,11991,4353
adventure,11935,750
movie,11578,1744
New,11563,2014
fool,11489,203
year,11452,284
leaf,11450,6467
payoff,11437,2013
crop,11397,4535
canvas,11355,15826
amount,11341,314144
metal,11244,8837
attack,11239,899
cloud,11237,24211
jar,11226,5341
horn,11225,5895
saving,11198,7282
subject,11150,3354
bully,11142,347
breakthrough,11133,1327
trunk,11045,15207
disadvantage,11039,2387
share,11000,3933
rain,10965,1240
apartment,10921,6562
scheme,10899,1726
diamond,10861,8061
contribution,10788,7253
mill,10753,3876
occasion,10701,211
computer,10675,4166
undertaking,10649,10145
unit,10604,1736
