noun,blue,bluish
eye,1880763,2127
sky,863851,685
light,296939,17352
water,255228,1227
color,222994,21882
ribbon,165286,78
colour,154717,12744
flower,152611,1936
sea,146525,180
line,134227,2539
coat,127828,189
suit,120532,50
silk,118947,152
dress,112471,117
shirt,104124,78
cloth,89989,328
flame,87878,7681
glass,84255,914
smoke,74229,4791
paper,69438,1377
background,62682,931
mountain,58341,1049
cotton,57956,58
ground,56534,496
satin,49060,66
hill,45697,892
clay,45184,3496
vein,44240,1958
dye,43530,140
lake,42661,111
haze,42431,6498
blood,42374,413
stone,41842,1272
solution,40381,204
shadow,40033,3730
spot,39089,3529
star,37944,1350
paint,37618,116
ink,36445,112
stripe,35647,503
one,35312,303
grass,35036,265
robe,34152,58
stain,32760,766
wave,32476,153
tint,31816,21925
field,31467,61
pigment,28146,541
moon,28133,97
cloud,27876,2431
air,27782,490
band,27648,940
bird,26412,237
filter,26252,384
streak,25695,1116
cap,25622,290
ray,25522,564
circle,24585,1172
wall,24532,303
enamel,23874,158
dot,22403,393
wool,22397,46
distance,22235,408
end,22134,58
mark,21548,969
mist,21227,2616
fire,21084,544
room,20892,66
depth,19981,207
ball,19835,168
ice,19486,550
tile,19450,118
staining,19329,214
screen,18652,94
dome,18565,124
coloration,18359,2009
marble,17458,896
curtain,17440,55
glow,17284,3883
border,17241,328
feather,17032,181
violet,16982,4768
mantle,16732,78
horizon,16553,204
gum,16488,207
hair,16457,584
expanse,16415,61
square,16273,74
area,16245,1011
region,15437,130
limestone,15428,1510
shade,15262,3058
patch,14870,1301
wing,14763,341
egg,14716,1021
lip,14659,2997
envelope,13994,100
letter,13950,47
glaze,13819,852
ring,13270,766
iris,13246,43
mass,13160,1247
tinge,13050,23072
baby,12851,106
surface,12780,372
thread,12281,199
fluorescence,12111,1227
rock,12102,817
face,11994,1521
veil,11973,561
steel,11764,301
tone,11724,3711
body,11443,651
sheet,11425,215
night,11097,197
reaction,11051,57
flash,10846,467
pool,10798,168
bag,10718,62
precipitate,10487,336
hue,10350,8393
object,10320,246
berry,10265,430
blaze,10262,50
slate,10234,1974
part,10140,244
spark,10062,402
summer,10058,52
fish,9850,122
cone,9848,280
bar,9741,180
space,9733,134
crystal,9572,320
form,9562,229
morning,9463,148
skin,9425,3463
material,9372,227
outline,9215,331
powder,9142,396
side,8817,275
head,8617,526
mold,8559,86
edge,8542,366
blossom,8442,94
liquid,8286,564
bell,8204,73
peak,8091,229
calico,8016,40
shale,7906,1109
cast,7888,11485
figure,7672,73
variety,7656,364
canopy,7467,75
point,7314,196
lightning,7311,149
evening,7280,117
stream,7259,184
rectangle,7213,50
planet,7109,50
copper,6980,54
brick,6941,240
image,6930,200
range,6725,67
hole,6676,129
stuff,6481,88
column,6454,136
strip,6440,42
hand,6412,560
fly,6301,65
ridge,6167,122
film,6146,753
mud,6108,413
top,5995,61
discoloration,5856,9956
nose,5812,310
leaf,5793,1035
cell,5774,62
gas,5719,403
tongue,5662,359
roof,5659,88
wash,5592,293
piece,5574,80
window,5570,106
tail,5464,206
chalk,5292,53
lamp,5287,105
pattern,5280,75
cytoplasm,5225,353
compound,5191,71
check,5146,130
sphere,5095,166
reflection,5058,1707
metal,5000,333
bruise,4963,508
coloring,4959,475
portion,4742,68
beam,4738,274
substance,4734,236
sclerae,4671,102
appearance,4601,3958
cord,4563,136
colouring,4558,156
bloom,4529,1395
milk,4525,527
scale,4503,597
dusk,4500,281
petal,4370,101
twilight,4344,344
zone,4335,291
fruit,4296,265
shell,4230,93
globe,4197,93
mould,4196,111
marking,4156,254
darkness,4037,472
bed,4019,69
granule,3991,269
granite,3956,407
marl,3942,329
sclera,3771,81
tree,3755,156
glare,3743,618
tattoo,3701,128
shape,3677,134
rim,3665,72
leg,3655,292
sheen,3652,1656
earth,3648,232
snow,3622,481
atmosphere,3605,219
arm,3601,55
tissue,3594,62
layer,3585,369
winter,3543,91
foliage,3513,998
gleam,3512,919
plumage,3509,129
neon,3465,56
gauze,3461,103
look,3448,658
streamer,3428,71
finger,3358,294
colony,3351,123
plume,3321,145
fluid,3298,331
sun,3276,64
disk,3257,184
beard,3202,167
rag,3201,72
arc,3175,69
type,3129,114
quartz,3120,707
base,3110,165
back,3084,260
halo,3079,609
fog,3043,501
sand,2977,300
stem,2965,133
summit,2949,43
colouration,2931,203
disc,2925,120
crown,2847,127
lead,2813,72
trail,2811,77
vapour,2801,882
radiance,2798,332
throat,2769,66
green,2743,1859
center,2736,126
moonlight,2729,325
heat,2706,65
fringe,2701,182
wreath,2671,160
nail,2666,297
dust,2663,311
energy,2660,54
vapor,2647,721
height,2601,51
ash,2592,1456
tin,2509,75
bill,2493,305
neck,2490,57
luminescence,2441,238
oxide,2438,75
foot,2402,159
speck,2386,187
spectrum,2368,51
tip,2317,143
fur,2311,152
ruin,2303,51
dawn,2288,109
breast,2234,120
highlight,2223,258
belly,2209,68
blade,2207,322
specie,2205,113
chin,2200,215
oil,2190,95
glacier,2162,48
mineral,2152,133
valley,2147,40
exhaust,2139,127
paste,2071,133
particle,2070,75
mixture,2061,82
aura,2042,192
pearl,2023,103
toe,2016,43
margin,1991,200
needle,1959,188
cluster,1914,52
jet,1912,99
wax,1813,61
centre,1806,79
gloom,1796,169
landscape,1778,118
purple,1694,5665
chain,1664,40
spiral,1645,78
inside,1642,47
flare,1631,55
forest,1609,61
complexion,1601,389
sandstone,1588,473
crest,1587,42
scar,1567,310
shimmer,1561,400
shading,1534,45
iron,1522,165
chest,1520,133
fold,1517,46
blur,1516,141
crescent,1507,175
effect,1477,180
amphibole,1473,50
half,1469,44
cheek,1465,313
illumination,1463,180
seed,1454,61
glitter,1440,87
iridescence,1433,488
schist,1412,127
silhouette,1402,75
lighting,1387,84
pupil,1356,72
luminosity,1343,98
kind,1323,200
smudge,1321,183
daylight,1319,225
network,1315,133
sclerotics,1314,57
pebble,1309,64
eyelid,1305,322
sack,1298,85
flesh,1276,372
jasper,1273,47
cliff,1268,40
glint,1262,285
grey,1261,3544
wine,1256,53
tobacco,1242,53
flicker,1231,159
grain,1227,68
blotch,1227,218
undertone,1220,358
vision,1220,136
mouth,1192,91
hollow,1192,170
blob,1175,44
jade,1174,114
slope,1168,85
tonality,1161,98
coast,1160,42
pigmentation,1157,448
street,1152,60
trace,1142,78
fleck,1141,127
character,1127,69
transparency,1119,247
gloss,1109,381
turn,1089,56
potato,1089,46
horn,1081,397
discharge,1079,137
foam,1054,50
glimmer,1019,224
flint,1015,83
chalcedony,1014,150
extremity,1008,93
fume,1007,98
lump,1004,301
lid,1000,178
deposit,998,132
wisp,984,58
skylight,972,49
vessel,954,130
fragment,949,43
edging,944,51
worm,926,51
teeth,924,162
core,917,46
lustre,916,356
fingernail,888,153
Fig,876,47
interference,868,79
shine,866,121
brilliance,863,71
strand,859,42
gold,855,136
companion,843,129
bulk,831,52
sort,825,111
puff,818,93
jowl,802,44
smear,787,45
pane,776,75
urine,750,64
coating,731,160
quality,729,181
jaw,718,110
Colour,708,97
beak,700,78
basalt,685,82
death,680,48
phosphorescence,680,196
branch,664,89
nodule,657,559
silver,638,449
matter,635,48
moss,614,63
owing,597,102
brightness,593,47
bronze,584,54
splotch,584,69
ion,579,48
residue,570,57
lesion,560,426
sunlight,553,57
luster,549,409
membrane,547,273
drift,547,43
cream,536,110
chert,526,105
steam,526,79
skull,521,54
pouch,518,53
forehead,507,56
something,505,101
slime,498,45
feature,491,54
patina,485,130
eyeball,479,98
discolouration,456,499
pall,452,51
pallor,452,775
gray,443,537
mottling,436,357
lavender,433,324
abdomen,426,48
wound,403,47
temple,400,67
silt,397,53
scum,391,93
marsh,389,57
stubble,388,140
macule,388,117
anther,386,68
flagstone,381,61
