noun,cold,frosty
water,2131263,290
weather,686116,27925
air,537450,38200
winter,314640,7140
wind,281144,4308
night,222254,36628
climate,188377,553
day,164757,11706
hand,117842,531
front,105391,78
season,101907,1625
foot,91119,84
drink,86317,579
temperature,79713,260
room,79216,87
morning,75254,33003
rain,73510,43
beer,70594,679
eye,67477,1616
steel,61967,120
light,58893,2296
region,56036,561
stone,52443,187
spring,45470,501
surface,44485,592
country,43905,179
spell,42583,381
wave,40392,58
finger,40003,786
chill,39341,522
month,38676,335
place,37913,325
outside,37701,75
metal,37674,116
milk,37128,46
heart,36291,212
period,35228,521
reception,35047,3833
condition,33016,698
ground,32543,3452
blast,31072,321
stream,31025,43
shiver,30416,49
indifference,28095,272
snap,27235,70
call,26357,47
world,25492,238
glass,25309,3448
sea,25216,97
look,24962,1936
wall,24936,90
stare,24421,880
iron,24318,108
floor,23970,49
mountain,22734,571
treatment,22726,91
voice,21707,669
area,21200,434
start,19749,72
one,19512,134
earth,19356,565
breeze,19125,602
end,18941,76
face,18725,728
December,18655,964
evening,18250,2601
side,17935,449
fury,16675,97
smile,16589,2473
November,16494,778
breath,16478,3357
desert,16419,53
draft,15723,52
January,15258,592
feeling,14316,236
lip,14289,90
mist,13344,1497
atmosphere,13170,2431
river,12973,111
snow,12603,950
silence,12457,2470
fire,12216,218
bed,12117,69
sky,11995,4379
part,11832,50
land,11773,236
tone,11743,1063
bottle,11234,1141
word,11194,109
potato,11079,49
February,10947,327
darkness,10462,721
shadow,10432,255
nose,10404,121
chain,10316,96
soil,10170,217
moon,9956,1132
star,9791,2058
manner,9787,434
autumn,9749,1285
summer,9505,58
ice,9229,269
man,9157,83
afternoon,9150,998
state,9101,124
contempt,9095,68
touch,9032,198
cheek,9013,55
drizzle,8927,42
rock,8825,101
cloud,8611,731
fog,8587,570
March,8525,133
reserve,8236,247
dew,8186,457
dawn,8146,1360
formality,7859,64
clay,7774,92
glance,7697,584
street,7532,712
disdain,7450,137
spray,7448,63
window,7107,2467
nature,7066,101
beverage,6931,132
embrace,6927,51
way,6715,362
time,6404,235
truth,6371,48
color,6346,107
year,6307,124
woman,6244,61
gaze,6221,422
head,6211,202
North,6204,132
lemonade,6157,107
Arctic,5633,56
shade,5619,123
response,5554,540
expression,5468,244
figure,5447,81
moonlight,5425,1570
colour,5402,87
layer,5321,78
October,5312,550
ride,5300,55
sun,5228,542
can,5192,113
glare,5183,899
death,5118,95
exterior,5098,209
hour,5001,292
politeness,4995,260
arm,4880,44
civility,4859,53
reply,4856,426
mud,4827,78
gust,4785,105
hill,4650,350
trail,4522,50
latitude,4510,44
boot,4464,47
detachment,4462,65
Sunday,4401,277
blue,4193,109
New,4175,229
beauty,4155,202
dignity,4099,262
sand,3986,43
depth,3968,80
pavement,3943,349
site,3937,129
journey,3885,46
fall,3864,376
drive,3832,64
glitter,3793,422
edge,3776,363
vapour,3685,205
attitude,3527,389
vapor,3514,305
point,3491,48
kiss,3382,122
dust,3364,152
answer,3313,168
April,3308,63
district,3272,83
fruit,3253,101
grip,3253,110
wood,3241,286
letter,3226,180
gleam,3194,294
Christmas,3102,310
people,3092,119
brow,3083,211
walk,3003,217
sleep,2987,66
field,2981,1026
pole,2965,239
bit,2949,85
silver,2924,307
sunlight,2846,402
Saturday,2845,89
spirit,2754,59
bite,2752,180
scent,2671,69
courtesy,2664,78
forest,2642,152
grass,2506,2166
situation,2504,96
distance,2463,149
aloofness,2416,67
sunshine,2388,608
ray,2358,53
car,2356,47
grey,2354,54
neutrality,2322,50
clime,2269,124
scorn,2229,43
outdoors,2217,44
reaction,2157,113
bar,2118,64
sound,2011,194
height,2004,177
valley,2002,160
disapproval,1987,145
prison,1970,50
Winter,1970,172
smell,1967,70
term,1956,59
toe,1938,74
effect,1938,81
apple,1934,68
pane,1908,905
patch,1899,121
gloom,1890,134
ring,1877,86
mouth,1865,75
refusal,1860,48
gale,1847,84
streak,1840,60
note,1815,194
clarity,1809,53
twilight,1776,315
week,1767,43
needle,1758,51
smoke,1731,103
particle,1718,88
stillness,1661,416
brew,1652,61
welcome,1642,61
demeanor,1600,231
Weather,1598,267
plain,1577,154
roof,1572,193
shore,1538,102
September,1537,113
feel,1533,57
glint,1528,122
Friday,1528,169
isolation,1521,40
starlight,1506,1033
dessert,1495,43
friend,1492,42
relation,1474,790
dark,1472,90
steam,1446,251
greeting,1439,258
blanket,1439,49
brilliance,1430,297
image,1415,49
garden,1339,296
kind,1332,187
sort,1316,71
peak,1308,664
step,1299,54
heaven,1285,469
glow,1282,176
humour,1267,60
personality,1230,44
road,1224,1414
age,1219,308
bow,1218,43
crust,1218,512
appearance,1206,885
summit,1197,231
relationship,1185,629
midnight,1155,259
aspect,1148,55
nod,1118,153
background,1094,42
windowpane,1092,293
locality,1066,271
tide,1064,161
leaf,1062,235
root,1057,141
solitude,1050,142
seal,1033,61
Monday,1029,42
radiance,1025,87
imitation,1025,116
sting,1014,69
calm,996,84
pattern,982,157
garret,979,46
dusk,976,194
landscape,974,384
filament,962,41
lamp,959,130
slope,939,157
whiteness,921,60
demeanour,917,44
grin,915,69
location,914,96
crystal,901,217
top,894,133
audience,891,42
splendour,890,46
view,883,52
hauteur,872,67
farewell,862,43
plume,854,178
martini,843,76
turf,838,98
wing,835,70
sidewalk,824,42
ache,824,141
countenance,817,49
film,811,81
show,793,61
door,780,59
intellectuality,759,77
sigh,746,61
tree,734,327
splendor,734,82
gold,729,66
mug,722,1422
town,711,64
compliment,697,67
elegance,694,62
girl,690,45
prairie,686,42
apprehension,682,126
pitcher,671,463
bank,668,114
wilderness,665,60
brightness,636,165
sheen,617,143
tingle,612,81
rigor,602,57
foam,593,54
branch,588,191
rim,579,67
comment,576,45
nip,559,226
flower,559,166
mantle,557,97
path,552,267
pang,532,53
treat,527,56
affair,508,63
facade,506,64
eve,482,140
sign,481,49
rail,478,207
horizon,472,54
underfoot,461,43
clearness,457,194
scene,452,172
hair,441,504
yard,440,120
flake,431,70
hollow,427,57
courtyard,425,45
glimmer,418,46
puff,406,316
mood,400,78
meeting,396,207
gravel,393,70
haze,390,422
mile,386,41
cold,377,202
pine,375,123
fragment,373,106
sunset,360,210
fur,356,112
brilliancy,356,99
meadow,355,257
voyage,353,88
sparkle,339,381
Moscow,331,46
diamond,317,51
exchange,316,149
freshness,311,53
icicle,304,68
lustre,301,70
mornin,284,417
spear,277,42
sunrise,277,69
cocktail,275,44
park,274,65
morn,271,558
glaze,257,76
tang,255,64
interview,249,70
visage,248,100
god,236,41
piping,233,66
finish,232,52
lock,228,97
shyness,226,52
countryside,220,84
mint,217,125
noon,205,53
daybreak,204,48
crag,199,97
covering,199,73
Night,187,169
veil,186,71
conversation,184,44
artificiality,182,50
armor,180,88
bloom,180,277
fetter,178,87
margarita,176,247
crown,161,59
azure,157,90
sport,152,88
furrow,150,162
pink,149,90
coat,148,114
deposit,148,76
crispness,138,74
encounter,119,120
lawn,117,262
Morning,113,81
halo,109,74
rime,105,1326
stein,102,43
spine,101,111
Nights,99,77
firmament,93,61
nostril,87,67
coating,81,209
twinkle,79,195
windshield,64,118
twig,60,49
curl,57,48
lace,53,103
lane,53,117
bough,52,47
bachelor,50,138
foliage,50,47
pepper,49,146
fantasy,46,51
Caucasus,44,2137
coldness,40,112
