noun,damp,humid
air,59320,63114
weather,49834,27214
earth,49445,1620
place,46466,5074
ground,37764,891
soil,36656,7350
hair,33038,121
climate,28027,94643
sand,27313,379
grass,21522,157
condition,19149,44324
wood,18163,507
atmosphere,18103,35156
paper,17427,72
wall,17425,911
cellar,15437,522
night,15169,9123
heat,14540,14721
situation,12839,1441
day,12755,20162
spot,11863,830
wind,11360,2721
hand,10702,238
moss,10111,160
area,9978,34021
clay,9531,256
room,9490,2323
sheet,9377,73
floor,9302,373
patch,9286,44
stone,9211,130
chill,8857,163
skin,8651,157
leaf,7861,266
forest,7638,16393
basement,7600,229
surface,7355,837
meadow,7108,420
mist,7016,681
bed,6567,158
smell,6343,484
morning,6280,1980
straw,5692,69
fog,5573,649
house,5542,182
cotton,5520,110
cell,5076,283
winter,4971,1312
face,4967,195
location,4562,1117
environment,4443,23768
cold,4350,145
body,4195,596
rock,4103,298
state,3700,2338
cave,3695,391
evening,3686,2480
blanket,3579,157
dungeon,3489,134
finger,3472,56
darkness,3427,1295
breeze,3406,1533
eye,3387,3870
corner,2916,139
locality,2869,1059
field,2737,215
summer,2686,19564
chamber,2621,5775
hollow,2610,79
mud,2607,47
peat,2594,57
season,2440,2908
material,2438,110
region,2409,56758
vault,2408,107
valley,2307,1949
hay,2279,60
country,2239,3642
hole,2238,49
street,2151,400
breath,2125,665
shade,2088,407
woodland,2072,468
autumn,2043,244
land,1990,5444
spring,1982,642
kitchen,1917,226
sea,1879,467
warmth,1848,1530
garden,1845,305
habitat,1812,1721
cloud,1785,752
part,1771,5796
flesh,1709,173
pasture,1673,278
shadow,1582,342
salt,1552,243
site,1461,882
filter,1423,50
prison,1405,79
coolness,1398,130
odor,1362,196
side,1341,597
vapour,1308,924
mass,1296,479
surroundings,1250,649
November,1216,55
tunnel,1215,139
jungle,1215,2684
kiss,1193,186
one,1177,1118
fold,1130,45
inside,1109,168
afternoon,1094,2888
dust,1092,77
vegetation,1091,368
lowland,1084,4763
building,1071,102
lip,1047,318
gust,1034,41
quarter,1026,74
thing,1025,259
mountain,1024,1885
apartment,1020,62
cavern,1016,130
gloom,1006,183
sweat,1006,149
bank,1002,233
corridor,992,168
grassland,986,1215
thicket,970,49
box,944,402
river,874,393
feeling,873,42
position,873,79
depression,869,128
pine,863,83
ravine,848,119
tree,837,153
recess,829,58
oak,826,61
scent,823,249
outside,814,421
odour,809,116
period,806,5874
storage,802,335
bottom,745,56
plain,738,1694
tent,731,54
vapor,729,574
interior,727,464
foliage,715,64
crevice,708,60
slope,706,515
mine,678,63
exhalation,663,651
space,654,319
district,641,2017
mixture,639,154
edge,638,64
glass,627,68
layer,623,668
timber,622,80
tangle,621,42
undergrowth,613,56
end,599,123
arm,595,104
island,593,535
nature,591,1044
marsh,585,130
mouth,581,98
dog,577,66
home,568,76
December,563,57
October,559,93
pocket,545,50
wing,533,131
substance,530,423
silence,520,221
dawn,520,145
haze,514,569
spell,496,395
fire,494,110
light,493,530
month,489,2534
sky,476,892
steam,470,169
wheat,470,62
wave,463,58
twilight,459,150
weight,459,84
March,451,44
rain,448,1225
hill,441,280
warehouse,440,41
year,433,1274
way,430,3615
London,427,41
city,426,789
embrace,426,77
hall,425,75
portion,425,1713
touch,418,53
shelter,417,60
flower,412,286
freshness,408,76
depth,408,283
fragrance,394,180
bush,391,56
February,387,47
shore,385,257
decay,380,75
April,372,104
world,370,241
fall,367,67
cabin,361,63
medium,357,244
strip,355,151
grotto,351,40
gas,349,871
drizzle,346,44
flat,327,69
zone,325,10639
border,319,120
limestone,319,63
section,314,3870
stillness,313,269
subsoil,313,76
veil,306,300
green,306,77
bedroom,305,45
appearance,299,72
rice,290,106
nest,285,65
blackness,281,87
margin,281,485
bathroom,275,170
current,270,278
dusk,265,197
look,265,164
Sunday,264,489
hour,262,158
work,257,70
tongue,256,103
discomfort,255,48
time,247,534
plant,245,142
prairie,240,689
England,238,168
September,238,359
gallery,234,51
water,233,138
tropic,233,45114
horror,232,41
softness,228,91
swamp,227,520
gorge,220,46
burrow,217,194
hallway,217,43
form,215,267
dark,211,44
moisture,204,158
growth,203,67
stench,196,100
fringe,195,61
coast,191,2243
terrain,190,274
sort,187,42
spirit,184,166
temperature,183,1052
canyon,183,51
blast,181,65
heart,179,48
sample,178,56
Saturday,178,363
countryside,171,53
rainforest,165,727
confines,165,111
August,165,1846
nostril,163,45
today,162,334
June,160,552
clinging,156,71
landscape,154,612
kind,153,114
New,153,585
stream,152,80
phase,151,2744
tundra,149,43
town,147,103
savanna,147,1381
upland,146,497
character,141,474
wilderness,139,111
quality,134,136
north,131,425
setting,129,307
gleam,128,126
deposit,127,78
outdoors,126,62
belt,125,1368
perfume,125,63
dell,125,64
aroma,125,52
monsoon,123,704
clime,122,535
stratum,121,179
sleep,118,46
life,112,166
particle,111,265
station,111,136
type,111,898
July,110,1177
Pacific,108,612
bottomland,106,48
lake,103,49
desert,102,89
oxygen,101,248
pall,99,134
enclosure,98,53
sun,98,252
greenhouse,96,625
evergreen,96,459
week,96,135
microclimate,90,699
Fig,89,75
hell,88,60
glow,87,81
coastland,85,91
environs,85,126
front,83,157
Monday,82,142
niche,81,52
shed,80,66
stage,79,206
matter,78,281
sunlight,78,109
expanse,76,42
oven,75,89
method,72,431
Louisiana,71,170
hydrogen,69,119
Florida,69,488
element,69,626
acid,68,137
office,65,55
half,65,148
Friday,64,197
closeness,63,87
hothouse,63,81
San,62,58
case,60,46
northeast,59,155
process,57,498
factory,56,115
container,55,133
basin,55,383
gaze,55,102
cough,54,74
trade,54,87
North,53,232
beam,53,78
furnace,52,49
highland,52,587
South,52,994
Tuesday,52,92
exposure,51,53
sunshine,50,171
Northwest,50,80
Figure,48,58
star,48,40
flood,47,57
range,46,79
Virginia,45,114
dream,45,50
Gulf,44,485
May,44,57
sirocco,43,43
south,42,863
delta,41,213
East,41,2831
tonight,40,58
