существительное,damp,wet
cloth,89755,63804
air,59320,19347
weather,49834,212569
earth,49445,29249
place,46466,37310
ground,37764,59674
soil,36656,81469
hair,33038,62781
climate,28027,25918
sand,27313,85444
towel,24080,55390
grass,21522,67234
condition,19149,51735
wood,18163,23753
atmosphere,18103,2028
paper,17427,29490
wall,17425,5977
sponge,16889,23396
cellar,15437,1188
night,15169,28599
heat,14540,9849
clothes,14313,103164
situation,12839,4704
day,12755,72813
spot,11863,28324
wind,11360,11186
hand,10702,29358
moss,10111,10322
rag,10107,24091
area,9978,41757
clay,9531,46261
room,9490,2395
sheet,9377,33093
floor,9302,16007
patch,9286,8640
stone,9211,14475
chill,8857,982
forehead,8665,2489
skin,8651,14940
leaf,7861,27426
forest,7638,21152
basement,7600,2030
squib,7453,93
surface,7355,30460
meadow,7108,33301
mist,7016,4266
bed,6567,7243
smell,6343,1824
morning,6280,11233
straw,5692,7334
palm,5673,2833
fog,5573,3948
house,5542,617
cotton,5520,10831
clothing,5335,23480
curl,5126,2363
cell,5076,10546
winter,4971,27278
face,4967,21430
cheek,4623,16666
proof,4594,541
location,4562,8402
environment,4443,9709
course,4429,259
washcloth,4409,7397
cold,4350,924
handkerchief,4308,7958
body,4195,13155
rock,4103,17978
shirt,4078,10475
brow,3751,1487
state,3700,15380
cave,3695,1573
evening,3686,6299
blanket,3579,40688
dungeon,3489,218
finger,3472,18196
darkness,3427,3020
breeze,3406,1118
plaster,3401,14884
eye,3387,26636
wool,3330,8233
foot,3161,35219
strand,3014,4014
corner,2916,987
locality,2869,1371
brush,2762,8398
field,2737,14607
sawdust,2690,2567
summer,2686,26934
linen,2657,6076
chamber,2621,1452
hollow,2610,1606
mud,2607,16320
peat,2594,3386
tendril,2494,720
stain,2480,3868
snow,2479,38419
piece,2447,4192
pavement,2445,21155
season,2440,272010
material,2438,12438
region,2409,8549
vault,2408,102
valley,2307,2249
hay,2279,3082
newspaper,2253,5397
country,2239,3843
hole,2238,3221
coat,2172,10883
street,2151,16065
powder,2127,2824
breath,2125,1123
shade,2088,213
woodland,2072,2440
tissue,2069,12940
autumn,2043,5476
land,1990,46374
tea,1989,1861
spring,1982,14620
brick,1938,2502
kitchen,1917,586
sea,1879,2194
mop,1876,4663
warmth,1848,2045
garden,1845,2241
head,1830,6519
habitat,1812,4751
grain,1806,4703
dirt,1796,4218
cloud,1785,2801
part,1771,5532
flesh,1709,2969
pasture,1673,3871
leather,1670,7046
shadow,1582,654
dish,1582,1955
log,1568,2597
fabric,1553,3630
salt,1552,2259
mould,1509,941
garment,1469,11433
site,1461,10125
filter,1423,7204
flannel,1423,2441
prison,1405,101
coolness,1398,275
sphagnum,1383,1036
odor,1362,265
shoulder,1354,2277
sock,1353,6956
side,1341,7955
shoe,1341,11767
lock,1333,1277
lawn,1322,2871
path,1321,3036
napkin,1316,3126
vapour,1308,1359
neck,1306,1275
mass,1296,9165
nose,1268,10804
surroundings,1250,598
November,1216,1844
tunnel,1215,863
