noun,hot,warm
water,2069425,872198
weather,424397,293140
air,378818,326442
summer,355824,120116
day,339377,170890
spot,337374,28477
dog,335684,517
spring,328871,75443
iron,258784,9149
sun,252856,74877
bath,222280,155006
gas,180098,3984
climate,158558,192697
coffee,145172,5154
plate,142802,9081
tub,141832,4166
pursuit,140374,736
chocolate,134265,5282
tea,125099,9605
flash,123495,440
coal,120113,1204
season,97698,57978
metal,90901,2522
meal,89383,11718
shower,89147,16200
wind,86477,48744
oil,86184,11980
fire,79662,33149
food,77863,17514
milk,77350,73662
pepper,76453,61
line,73378,1493
drink,72980,20040
blood,71237,69454
country,69287,37727
stone,66098,7882
oven,65594,10835
afternoon,64915,27916
wire,63882,317
stove,60854,8185
solution,60488,18947
breath,58762,59473
body,57693,62293
tear,56120,13580
liquid,55626,14519
sauce,52903,2441
soup,52392,5862
topic,52071,52
sand,51920,22418
ash,49685,6944
potato,49362,2400
night,46821,56486
flush,44103,6468
surface,38736,22864
desert,38568,5132
rock,38363,7077
month,38341,31449
dish,35898,3156
temper,35851,3496
shot,34584,169
poker,34522,91
cake,33926,2744
room,33696,101626
rod,32448,151
blast,32074,1209
July,29336,5896
cup,28842,5029
seat,28829,2074
electron,28509,905
August,28494,5901
star,27940,581
stuff,27905,1339
zone,27739,5161
environment,27355,20579
work,27219,8015
issue,27039,106
flame,26726,1565
war,26383,302
bread,26198,12553
lunch,26150,1288
pack,25542,3676
biscuit,25504,1977
object,24594,4885
sunshine,24476,49019
roll,24219,2569
fluid,23594,9217
region,23559,26881
steam,23105,3141
wax,23071,3758
place,22683,150899
stage,22468,6664
cocoa,22407,912
debate,22152,22834
glue,22133,596
brick,21572,4370
bed,21500,66238
hand,21242,59997
face,20930,5102
fomentation,20600,9738
word,20130,16094
lava,20105,238
ember,19805,1195
money,19595,91
morning,19092,16203
application,19052,7474
junction,18614,321
rolling,18611,1029
filament,18561,128
alcohol,18119,4502
end,17881,4245
plasma,17779,1497
melt,17647,117
lead,17339,704
compress,17015,15206
steel,16970,568
skin,16483,23261
light,16362,38908
mixture,16316,3127
glass,16177,3900
condition,15963,15083
needle,15874,540
pan,15733,737
house,15711,25694
area,15695,16270
key,15464,198
anger,15448,150
breakfast,15386,3932
tip,15369,369
spell,15022,13332
cereal,14916,363
part,14811,14039
supper,14800,4213
towel,14735,9154
tap,14682,4486
pot,14593,871
wall,14489,6162
temperature,14427,45949
head,14399,2387
exhaust,14367,897
time,14096,5437
ball,14016,952
pant,13721,529
beverage,13514,2086
item,13477,218
press,13465,694
stream,13403,7787
box,13196,1502
tube,13104,690
thing,12904,8553
asphalt,12849,807
dinner,12846,3327
knife,12769,1172
cheek,12724,6753
furnace,12666,383
side,12665,15044
strip,12523,201
broth,12438,3079
land,12420,7697
working,12354,1194
June,12325,10158
news,12279,48
mineral,12242,3988
charcoal,12181,174
foot,11988,4912
material,11763,3538
evening,11540,36281
tar,11379,989
fudge,11258,219
today,11242,4679
toddy,11236,295
stock,11166,711
hour,10987,2424
dispute,10974,7868
wine,10857,7606
meat,10836,2516
fat,10754,486
grill,10744,82
vapor,10695,2945
ray,10687,18260
carrier,10660,127
wave,10424,9286
cinder,10250,413
discussion,10129,13337
eye,9947,7570
passion,9928,3467
band,9893,572
one,9886,10010
link,9745,762
sunlight,9686,18037
car,9677,3242
grease,9463,538
salt,9415,10622
butter,9290,2460
rice,9266,2124
well,9157,362
skillet,9145,176
griddle,9136,75
acid,9111,990
bottle,9077,3294
Sunday,9076,5486
engine,9015,2713
piece,9015,1500
plain,9010,1825
mustard,9001,839
copper,8918,774
jazz,8911,55
product,8892,478
reservoir,8844,474
fit,8842,128
platter,8803,6935
apple,8492,2765
combustion,8488,80
poultice,8450,5770
brine,8407,1070
desire,8400,6558
chicken,8392,1587
pool,8308,10897
dust,8286,3592
syrup,8253,2137
core,8109,5479
breeze,8099,40851
kiss,8078,13720
chili,8051,76
pipe,8003,879
street,7835,754
vapour,7818,2795
atmosphere,7774,22645
