существительное,humid,wet
climate,94643,25918
air,63114,19347
region,56758,8549
tropic,45114,9276
condition,44324,51735
atmosphere,35156,2028
area,34021,41757
weather,27214,212569
environment,23768,9709
day,20162,72813
summer,19564,26934
forest,16393,21152
heat,14721,9849
zone,10639,12406
night,9123,28599
soil,7350,81469
period,5874,25985
part,5796,5532
chamber,5775,1452
land,5444,46374
place,5074,37310
lowland,4763,4393
eye,3870,26636
section,3870,1763
country,3642,3843
way,3615,10392
season,2908,272010
afternoon,2888,8954
East,2831,111
phase,2744,6229
wind,2721,11186
jungle,2684,2195
month,2534,10431
evening,2480,6299
state,2338,15380
room,2323,2395
coast,2243,480
subtropics,2144,58
district,2017,2183
morning,1980,11233
valley,1949,2249
mountain,1885,2365
August,1846,936
habitat,1721,4751
portion,1713,1839
plain,1694,1446
earth,1620,29249
breeze,1533,1118
warmth,1530,2045
situation,1441,4704
savanna,1381,1836
belt,1368,1262
winter,1312,27278
darkness,1295,3020
year,1274,39382
rain,1225,2687
grassland,1215,4734
July,1177,741
one,1118,9275
location,1117,8402
locality,1059,1371
temperature,1052,392
nature,1044,832
South,994,98
vapour,924,1359
wall,911,5977
type,898,4588
sky,892,2071
ground,891,59674
site,882,10125
gas,871,11911
south,863,273
surface,837,30460
spot,830,28324
city,789,1153
volume,788,1192
cloud,752,2801
Tropics,738,109
rainforest,727,420
monsoon,704,5314
prairie,689,9602
mist,681,4266
layer,668,2427
breath,665,1123
fog,649,3948
surroundings,649,598
spring,642,14620
element,626,1201
landscape,612,899
Pacific,612,268
bow,603,237
side,597,7955
body,596,13155
highland,587,408
New,585,363
vapor,574,2407
haze,569,491
June,552,1005
island,535,647
clime,535,64
time,534,3923
light,530,1600
mid,528,106
cellar,522,1188
swamp,520,1943
slope,515,1714
wood,507,23753
process,498,27952
upland,497,720
Sunday,489,5832
Florida,488,66
Gulf,485,69
margin,485,775
smell,484,1824
mass,479,9165
character,474,238
woodland,468,2440
sea,467,2194
interior,464,430
evergreen,459,2802
Washington,449,75
method,431,16716
north,425,242
east,424,40
substance,423,1619
outside,421,2207
meadow,420,33301
West,419,149
shade,407,213
farming,404,470
box,402,813
street,400,16065
pampas,397,78
spell,395,6862
river,393,1084
cave,391,1573
train,385,67
basin,383,996
sand,379,85444
floor,373,16007
vegetation,368,1595
tract,368,409
Saturday,363,1750
episode,361,706
September,359,772
shadow,342,654
storage,335,2977
today,334,671
conductor,322,163
cycle,322,2420
space,319,654
lip,318,10151
setting,307,312
garden,305,2241
savannah,300,613
veil,300,512
assay,298,1377
Amazon,298,61
rock,298,17978
interval,293,562
flower,286,1736
transition,284,270
cell,283,10546
depth,283,395
matter,281,567
hill,280,1653
pasture,278,3871
terrain,274,821
stillness,269,73
form,267,4488
leaf,266,27426
particle,265,1568
thing,259,12940
shore,257,1192
clay,256,46261
sun,252,477
boundary,251,140
scent,249,471
oxygen,248,1414
autumn,244,5476
medium,244,2131
salt,243,2259
world,241,2386
hand,238,29358
bank,233,2856
North,232,123
basement,229,2030
kitchen,226,586
west,223,225
silence,221,197
field,215,14607
delta,213,191
regime,208,421
stage,206,1377
Texas,201,52
principle,199,57
dusk,197,429
Friday,197,547
odor,196,265
micro,195,76
face,195,21430
aging,187,117
epoch,186,137
kiss,186,16425
gangrene,185,1525
gloom,183,530
house,182,617
ecosystem,181,230
fragrance,180,203
nitrogen,179,453
stratum,179,333
agriculture,175,318
flesh,173,2969
sunshine,171,71
bathroom,170,372
steam,169,18668
corridor,168,153
England,168,172
inside,168,2692
life,166,701
States,165,286
look,164,2606
catchment,163,82
chill,163,982
moss,160,10322
hour,158,506
moisture,158,203
bed,158,7243
skin,157,14940
front,157,977
blanket,157,40688
grass,157,67234
fan,156,208
northeast,155,53
mixture,154,7037
tree,153,3882
strip,151,1712
twilight,150,363
sub,150,95
equatorial,149,215
sweat,149,300
half,148,562
tropical,145,181
cold,145,924
dawn,145,1026
formation,143,284
Monday,142,812
plant,142,1969
corner,139,987
exhaust,139,413
tunnel,139,863
water,138,2774
acid,137,1307
station,136,487
gloss,136,141
quality,136,300
week,135,1794
pall,134,60
dungeon,134,218
territory,133,369
container,133,184
ambient,132,280
wing,131,2681
marsh,130,3377
cavern,130,357
stone,130,14475
coolness,130,275
depression,128,1954
gleam,126,643
bubble,124,333
end,123,9097
hair,121,62781
border,120,554
ravine,119,535
hydrogen,119,2067
pearl,117,167
odour,116,87
Virginia,114,50
kind,114,415
wilderness,111,357
confines,111,51
cotton,110,10831
material,110,12438
fire,110,878
sunlight,109,177
analysis,108,1720
vault,107,102
rice,106,32207
April,104,1002
arm,104,3144
town,103,563
tongue,103,8470
building,102,296
effect,102,331
gaze,102,127
stench,100,118
biotopes,99,205
gale,98,285
mouth,98,7674
America,94,75
October,93,1343
Tuesday,92,391
circumstance,91,116
softness,91,303
coastland,91,76
foothill,91,48
lustre,90,77
erosion,90,50
drainage,90,116
brightness,90,108
oven,89,42
desert,89,946
past,89,78
trade,87,521
blackness,87,742
Wednesday,87,466
versus,86,1057
weight,84,95895
pine,83,2044
glow,81,88
timber,80,1277
Northwest,80,102
stream,80,803
prison,79,101
variety,79,437
range,79,406
position,79,522
hollow,79,1606
beam,78,151
deposit,78,727
dust,77,2229
embrace,77,585
specie,77,84
southwest,77,74
green,77,860
subsoil,76,875
system,76,4847
freshness,76,125
home,76,354
middle,75,108
hall,75,41
Fig,75,354
decay,75,241
quarter,74,364
cough,74,1350
Chicago,73,83
sheet,73,33093
appearance,72,834
paper,72,29490
Thursday,72,354
clinging,71,397
inland,71,60
work,70,6102
source,69,61
flat,69,792
straw,69,7334
glass,68,6145
growth,67,702
fall,67,1719
dog,66,13755
nest,65,497
blast,65,565
edge,64,3627
foliage,64,2682
perfume,63,93
cabin,63,140
limestone,63,1439
mine,63,1215
outdoors,62,170
wheat,62,626
damp,62,59
planet,62,362
fringe,61,236
oak,61,456
crevice,60,280
hell,60,173
paramo,60,75
hay,60,3082
shelter,60,177
Figure,58,269
laboratory,58,930
tonight,58,257
wave,58,633
littoral,58,153
recess,58,147
San,58,63
flood,57,251
swampland,57,40
May,57,676
December,57,972
peat,57,3386
sample,56,6344
undergrowth,56,688
bottom,56,2979
flatlands,56,52
bush,56,2196
finger,56,18196
weekend,55,958
November,55,1844
tent,54,2108
exposure,53,276
countryside,53,318
touch,53,712
Black,53,50
niche,52,191
aroma,52,54
montane,51,93
gallery,51,45
canyon,51,216
port,51,42
filter,50,7204
dream,50,30689
pocket,50,967
hole,49,3221
lake,49,333
furnace,49,88
thicket,49,973
discomfort,48,188
application,48,2083
interglacials,48,50
Atlantic,48,75
Table,48,222
bottomland,48,618
textile,48,235
heart,48,443
February,47,668
mud,47,16320
case,46,694
farm,46,283
flow,46,573
rainfall,46,103
sleep,46,85
nostril,45,448
fold,45,1806
dark,44,357
patch,44,8640
March,44,885
westerly,44,72
production,44,169
adj,44,53
glare,44,63
drizzle,44,286
tundra,43,2166
hallway,43,45
feeling,42,864
tangle,42,940
sort,42,178
lid,42,228
expanse,42,279
gust,41,446
moon,41,705
Boston,41,51
London,41,582
star,40,447
