noun,red,reddish
cell,1131800,148
blood,1127242,378
light,672447,11695
wine,509665,247
hair,484852,45964
color,350406,46469
brick,286112,1504
colour,274682,37211
line,213144,2669
spot,206258,11875
sandstone,193827,6131
eye,186570,3384
men,176563,49
ink,165924,205
clay,163343,12154
face,158946,3584
man,155169,280
flower,154476,4318
meat,138486,207
deer,130429,70
paint,123128,671
velvet,121286,87
lip,119248,380
cloth,116841,377
rose,114528,47
coat,114175,1240
silk,108819,150
cross,107316,49
ribbon,103481,68
glow,99675,12231
cap,92348,310
cedar,90776,75
carpet,87271,158
dress,86874,190
mark,85732,1275
earth,85123,4472
berry,84801,863
oak,79451,50
ochre,79270,1122
fox,78068,122
ball,78055,354
star,75556,2535
ray,74230,677
pigment,73825,2418
person,71575,78
people,71431,73
dot,71180,1351
shirt,70625,87
leather,67593,499
soil,66668,5906
stripe,64088,1845
stone,62851,4972
bell,61751,44
beard,59080,8766
tile,59038,436
rock,58983,3960
algae,58891,101
nucleus,58404,160
circle,57700,453
band,57472,2321
head,57328,1831
nose,56636,867
ware,56210,1487
cheek,56108,744
one,55949,830
end,55532,131
fruit,53798,1616
pine,53643,141
apple,53586,57
paper,53327,452
granite,52602,2701
part,51981,498
patch,50999,4412
flame,50310,1537
glass,48047,206
bed,47790,440
sun,47485,410
dye,47293,914
roof,46763,340
fire,45709,365
stain,45543,2897
form,44292,552
dust,43844,2872
feather,43836,613
hand,43718,560
leaf,43280,2207
sand,42918,4684
chalk,41498,98
area,41125,2898
streak,40811,3424
robe,40530,143
cloak,39760,52
thread,39745,214
skin,38325,3895
spider,38118,180
background,38076,1120
point,37864,820
filter,37831,131
tongue,37392,381
bean,37059,78
oxide,36821,155
field,36815,193
mouth,35998,104
handkerchief,35454,75
tie,35259,72
land,35152,144
object,34933,583
condition,34838,43
slip,34707,700
glare,34691,1086
edge,34588,614
lipstick,34560,43
curtain,34298,144
wall,34229,716
marble,34084,1081
house,33694,239
powder,32907,1979
ground,32644,1539
ant,31298,273
mud,30730,1666
