noun,small,tiny
amount,3537910,58058
number,3515079,22380
group,3404839,32121
town,1960549,38486
quantity,1860495,9903
part,1580274,44160
business,1418334,2341
piece,1200171,93710
child,1152432,35967
portion,1103997,26091
scale,961994,10947
intestine,932375,67
size,923854,12397
area,884761,17196
proportion,829097,24631
percentage,747007,22718
boy,687843,13167
fraction,663931,104480
farmer,647565,258
room,622193,86390
village,611003,77582
change,600312,9345
island,590066,74489
boat,546559,17333
sample,528384,8197
minority,512315,77592
house,489526,39077
firm,476599,1874
community,470647,17966
farm,448526,7609
hole,419527,61588
party,417274,2834
thing,416829,30522
country,402197,19118
one,401022,15747
volume,398146,7509
company,394520,4084
body,391195,33469
stream,390794,27775
vessel,390122,11235
circle,366912,15285
value,366106,647
degree,362893,1033
sum,358992,3290
animal,351731,21989
dos,346677,2681
table,345278,12632
way,329749,3433
difference,327679,6611
force,327384,8085
space,326769,28931
particle,321663,58694
arm,310030,9011
tree,307374,7368
talk,307168,106
state,305929,11819
band,303249,11720
city,295194,4355
cell,281987,25130
family,272316,2850
stone,270336,12817
matter,269685,2055
unit,266598,8272
fish,265864,21660
step,254953,17867
object,241166,12689
measure,240249,1553
section,231817,6594
extent,229374,404
bird,229008,22684
bowl,223984,3576
increase,222338,1714
population,221263,7085
voice,216771,27995
window,215407,37237
lake,208610,7439
shop,208437,17263
opening,207002,16908
molecule,206538,2565
man,201844,13307
river,198190,4655
fragment,197843,34894
hand,197526,64149
angle,191497,591
patch,190596,17124
place,189434,16839
distance,188805,2235
craft,186411,10549
box,181421,12720
school,178814,3672
army,178427,4885
book,177969,6539
enterprise,176647,1511
garden,172502,18863
nation,172324,8377
plant,169168,23664
grain,168427,15608
figure,168006,51371
branch,165117,5346
glass,164442,19232
plot,162155,17001
square,160298,18045
industry,159225,1425
building,157934,6028
mammal,155134,1305
share,152796,3601
holding,151625,4291
class,150728,1568
apartment,148673,27455
detail,148310,21985
fire,148064,10533
hour,146219,259
head,144877,20029
hill,144282,3114
office,143473,19493
variation,142067,3159
bit,141062,128829
set,134673,2387
diameter,134192,326
church,131041,14145
effect,130130,1712
fortune,130025,446
collection,129914,2002
region,129484,3916
store,127611,5039
importance,127176,81
fee,127033,471
wonder,126853,281
letter,126055,6363
price,125693,908
ship,124853,9186
segment,124167,7190
girl,122514,17756
item,122222,2321
car,121788,7645
settlement,120595,17632
beginning,120176,2382
cluster,119813,6449
field,119379,7089
producer,115032,271
hotel,111715,3368
capital,110314,2360
detachment,109369,581
mass,108416,3999
bottle,107052,9134
spot,105969,20965
range,105780,1029
contribution,105291,1756
bag,105004,4131
parcel,104860,4012
world,104034,10095
error,101743,2304
claim,100901,175
print,100087,6940
work,98230,1529
stock,97470,705
bone,97234,14876
gift,96130,2101
point,95920,15631
tube,95859,10843
lot,95381,2374
power,95196,1044
college,95000,1007
end,94618,913
aperture,94093,3803
market,93956,2642
library,93314,1525
income,92453,2884
drop,92437,29805
time,92393,1889
dimension,92180,1779
factory,92170,1781
artery,91936,1770
game,91009,396
pool,90588,8311
pond,89634,3814
block,89479,2496
estate,89160,1082
ball,87761,17058
door,87387,6019
eye,86282,15969
crowd,86258,689
picture,86089,7666
dose,85834,1515
peasant,85239,1025
chapel,84970,11545
blood,84951,15498
loan,84805,554
package,84795,3856
cost,84753,363
loss,83548,513
property,82895,667
bundle,82501,8138
cottage,81820,15436
majority,81794,2965
increment,80890,3466
saucepan,80816,283
role,80777,1901
computer,80633,4404
dog,80265,6337
profit,80155,1397
chance,80117,2034
pocket,79523,8101
metal,79330,7340
smile,79058,16978
colony,78849,5051
chamber,78770,4994
compass,77831,2049
staff,77295,2845
creek,76968,4008
fruit,76928,3760
article,76772,1106
crystal,76626,14143
study,76427,1833
plate,75954,2833
flock,74906,1256
organization,74069,1385
tract,73633,765
onion,73595,1329
team,73123,568
plane,72644,4140
concentration,72439,901
garrison,72197,3041
pot,72028,3667
mean,71352,126
problem,71327,1913
amplitude,71062,96
herd,70904,504
strip,70797,9636
district,70787,858
mountain,70530,5845
specie,70530,2230
insect,70355,23130
supply,70030,666
project,69022,453
task,68686,663
muscle,68622,8132
type,68514,2776
son,68510,3413
charge,68374,1742
specimen,68238,1859
bank,68161,894
hut,67863,9304
creature,67659,45800
addition,67631,578
rock,67511,4750
temple,67409,2521
fry,67288,880
cup,67260,18310
valley,67257,4141
seed,67108,31209
paper,66940,5222
account,66932,186
coin,66896,1782
silver,65739,16825
foot,65226,40201
incision,65054,3972
flower,64982,28303
restaurant,64836,5567
home,64349,5725
margin,64090,2424
side,63616,2300
people,63539,8606
park,63419,3419
salary,63356,1507
stick,63352,2799
kitchen,63215,26532
iron,63063,2293
leaf,62856,17536
fort,62709,1406
perturbation,62593,552
saving,62539,670
corner,62179,14131
stature,62149,1491
bay,62137,4888
fishing,62039,8664
element,61279,3472
system,61275,821
mirror,61272,11338
motor,61069,2399
museum,60873,2146
beer,60845,173
gap,60498,7545
clearing,60004,4072
vein,59939,4976
subset,59381,1516
arrow,59376,3966
frame,59176,6770
surface,59114,2015
handful,59042,14438
cabin,58675,17662
machine,58569,3429
tribe,58007,1058
screen,57926,6629
weight,57874,1362
deviation,57766,898
holder,57452,121
movement,56965,9322
manufacturer,56829,110
job,56375,439
brass,55623,4108
woman,55503,21677
expense,55443,79
note,55356,4165
steamer,55322,1717
moment,55124,4742
hamlet,55084,24339
water,54875,7632
hospital,54873,1773
gain,54861,602
wood,54784,2125
bar,54700,6803
men,54393,4044
structure,53708,6662
container,53276,1423
comfort,53093,202
pile,53041,2047
mouth,52764,11749
cavity,52676,2213
dot,52654,32022
bell,52651,15075
remnant,52332,5586
rise,52069,628
mound,52060,2984
elite,52006,7761
service,51979,627
society,51957,1109
merchant,51786,207
tool,51742,1408
port,51711,4568
workshop,51412,1823
baby,51336,45729
success,51033,540
press,50558,412
risk,50357,890
face,50328,14400
cross,50286,4437
territory,50210,2682
batch,50180,178
concern,49853,284
audience,49437,2342
displacement,49001,454
air,48965,12926
card,48611,1676
form,48603,9129
interval,48512,1284
telescope,48427,539
investment,48420,641
station,48418,3931
decrease,48412,203
packet,48411,3975
kingdom,48364,6330
crack,48335,16637
daughter,48110,4856
model,48100,4389
wave,48048,10634
war,48031,798
cut,47789,5328
bubble,47758,17631
sphere,47663,6122
lump,47662,3520
bunch,47659,2850
advantage,47586,714
bridge,47381,3647
bedroom,47315,12824
establishment,47190,1460
selection,47112,980
fleet,46995,2566
affair,46950,1665
series,46863,198
example,46795,2131
engine,46580,2436
flame,46388,19239
reduction,46254,278
log,46096,2467
rodent,46050,919
lamp,45906,7030
star,45609,12760
test,45464,594
cap,45459,2310
pebble,45442,6605
committee,45117,72
case,44820,1121
entrepreneur,44806,164
improvement,44674,883
pipe,44563,2408
component,44461,2199
sign,44286,2848
living,43911,13025
column,43850,1809
lesion,43811,1399
manufacturing,43551,373
ring,43284,4849
