noun,yellow,yellowish
flower,257779,5807
color,218401,34259
light,212420,9072
colour,179803,28274
hair,138361,8372
pine,105652,69
eye,98848,3192
spot,93713,11787
page,87860,206
leaf,84560,2190
sand,70543,2709
line,64196,2982
silk,61805,378
paper,58899,2605
pigment,57985,2560
ochre,55704,485
star,47307,788
stripe,46489,3100
dog,44227,177
brick,43895,1017
flame,42310,1657
clay,42030,4941
skin,40319,6267
teeth,38872,1521
band,38369,2843
face,37531,2562
robe,37529,78
precipitate,35535,1559
metal,35118,603
dress,34888,180
tint,34651,18152
jacket,33434,43
paint,33033,263
race,32778,40
blossom,30563,316
ribbon,30056,66
powder,30051,4556
glow,29390,2703
dye,29024,180
fruit,27899,1021
house,27769,211
wall,27504,1059
hue,26309,13032
patch,26211,4084
tinge,25892,23983
ground,25321,2121
water,25169,2007
gold,25053,424
ray,24837,376
one,24445,593
body,24100,2877
background,23897,1274
vegetable,23452,44
dust,23403,1179
streak,23182,2612
solution,22737,1405
bile,22695,211
oil,22692,2329
head,22090,1119
stone,21326,2453
bird,21318,278
liquid,21167,5716
grass,20475,1063
filter,20154,114
shirt,19223,76
stain,19114,2559
glass,19011,864
man,18833,346
crystal,18185,1351
cloth,17688,182
substance,17404,3629
sun,17239,155
variety,17156,523
men,16842,64
sheet,16680,214
fluid,16674,10204
ball,16564,305
feather,16443,211
wax,16186,443
wood,15842,1047
circle,15434,326
earth,15298,1101
sandstone,14822,2458
bell,14696,56
moon,14363,107
area,14339,3226
dot,14176,1284
petal,14060,286
seed,13797,582
field,13669,151
bill,13651,778
envelope,13554,138
center,13537,640
cat,13535,163
coat,13512,907
leg,13499,1013
coloration,13347,1765
bloom,13337,238
cloud,12666,1233
marking,12276,1168
ring,12236,1103
oxide,12167,101
curl,12160,56
mass,11959,4205
form,11955,299
square,11692,46
stamen,11441,120
grain,11434,917
smoke,11314,1064
discoloration,11192,5590
shade,11160,2803
soap,11049,56
warbler,10989,41
soil,10900,1136
leather,10749,173
fog,10536,554
marble,10533,625
complexion,10312,3562
sky,10216,409
ocher,10073,67
needle,10063,467
throat,10012,438
mud,9990,638
beak,9923,123
beard,9892,660
border,9860,768
curtain,9793,48
diamond,9652,187
scale,9546,3176
cotton,9408,232
shoe,9295,42
part,9198,357
cap,9130,175
flesh,8917,1452
rock,8750,935
tone,8732,3313
rain,8589,42
room,8519,54
centre,8482,622
wing,8447,565
coloring,8391,456
fluorescence,8372,599
slip,8352,646
glaze,8298,805
cast,8168,8190
appearance,8161,4542
sunlight,8156,122
glare,8092,512
cover,8073,64
hand,8060,372
egg,8018,1462
gas,7933,501
rice,7929,67
tile,7911,101
pollen,7903,347
river,7885,116
iris,7830,57
candle,7811,48
straw,7707,298
building,7664,225
pu,7626,1677
vein,7363,505
berry,7351,287
colouring,7272,313
material,7230,1896
bead,7219,142
waistcoat,7189,56
triangle,7138,46
thread,7108,308
thing,7077,144
discharge,7062,3260
horse,7058,61
coating,7015,1162
limestone,7008,1922
bar,6986,324
tip,6976,752
fire,6967,62
stuff,6960,341
beam,6893,198
belly,6871,746
crust,6818,3065
rust,6736,162
garment,6711,51
fur,6709,1515
anther,6703,116
breast,6602,301
disk,6551,345
tail,6535,231
matter,6519,1935
apple,6514,52
cheese,6420,79
haze,6363,1092
surface,6314,983
violet,6299,93
wine,6206,96
blotch,6200,760
object,6184,317
zone,6115,654
piece,6103,258
butter,6091,43
edge,6067,481
lock,6007,77
gleam,5964,260
foliage,5960,624
brown,5933,33028
lamp,5923,104
stream,5907,197
layer,5874,1420
side,5775,475
flash,5739,173
wash,5705,871
region,5673,73
mark,5664,516
bean,5663,82
finger,5642,94
suit,5626,43
cross,5626,111
base,5626,886
velvet,5620,78
sodium,5542,54
strip,5415,177
orange,5401,5730
rubber,5375,57
margin,5343,966
compound,5284,176
ear,5269,42
ware,5195,302
disc,5193,235
foot,5146,200
granule,5137,1700
skirt,5118,44
cup,5115,108
sea,5073,199
wool,5071,260
ink,5045,138
yolk,5030,81
fang,4976,76
linen,4961,218
boy,4924,49
loam,4870,478
foam,4862,624
plate,4851,149
deposit,4824,1564
tongue,4787,287
hill,4742,153
flood,4714,74
lace,4694,176
root,4693,312
urine,4648,231
fish,4644,92
fabric,4643,132
specie,4636,603
pigmentation,4567,744
woman,4564,64
halo,4564,362
point,4332,1342
cell,4280,374
wheat,4241,49
window,4234,44
block,4203,47
speck,4186,604
parchment,4164,174
snake,4141,99
copper,4118,223
mist,4074,391
chalk,4064,125
wave,4041,168
amber,4034,248
colony,4020,682
cheek,3981,150
portion,3977,333
uniform,3958,52
bark,3953,492
road,3938,83
cream,3875,1699
enamel,3873,90
bone,3864,123
iron,3844,126
gravel,3839,156
image,3810,159
nodule,3801,2231
tissue,3790,672
bulb,3772,161
mucus,3731,1297
stem,3699,378
desert,3674,56
bag,3658,44
pattern,3645,174
bud,3644,117
nail,3637,188
carpet,3635,88
tree,3603,53
tubercle,3588,401
residue,3574,527
plant,3570,274
lamplight,3560,64
trouser,3548,181
staining,3484,456
varnish,3445,267
plain,3440,102
globe,3428,69
type,3427,110
crown,3413,104
fringe,3404,304
wallpaper,3400,47
string,3398,51
inside,3383,218
juice,3320,295
collar,3295,146
raincoat,3294,58
figure,3234,87
solid,3211,196
crest,3209,51
wig,3164,49
moustache,3161,147
fleck,3151,397
product,3102,245
cliff,3081,247
rind,3040,132
resin,3014,439
particle,2987,436
shell,2982,488
pod,2923,98
mineral,2910,338
film,2898,569
fly,2870,400
veil,2861,173
kernel,2856,67
flare,2847,58
lichen,2810,54
sphere,2804,122
paste,2774,427
evening,2759,50
stubble,2755,63
mantle,2752,96
fin,2749,227
mottle,2738,152
pool,2733,89
moss,2730,323
kind,2721,281
sputum,2712,389
dirt,2702,68
plumage,2691,94
plaque,2679,1475
exudate,2679,1251
mustache,2654,161
pubescence,2640,1846
radiance,2625,84
silt,2603,343
meal,2545,74
fat,2544,205
crescent,2531,205
salt,2516,114
stucco,2515,209
canvas,2493,58
plaster,2484,300
highlight,2465,121
spark,2465,69
heart,2453,48
flake,2437,451
cluster,2434,86
stool,2399,289
ore,2367,66
stalk,2345,164
tube,2316,255
gum,2293,261
strand,2284,69
palm,2274,65
spine,2262,507
pile,2239,383
medium,2228,80
mane,2227,56
pulp,2224,471
tea,2211,45
ant,2199,48
colouration,2199,260
slime,2191,297
lump,2190,555
underpart,2186,410
sugar,2170,90
green,2165,1817
lip,2156,143
flannel,2147,68
tuft,2139,324
mixture,2118,234
neck,2076,132
mask,2065,51
reflection,2065,390
ivory,2043,357
quartz,2032,261
arm,2028,62
end,2024,50
rump,2021,202
claw,2019,50
softening,2015,44
look,2010,418
orb,1999,40
drop,1993,291
snow,1986,83
air,1979,81
street,1972,74
cocoon,1968,171
cone,1951,145
bed,1942,77
mottling,1931,474
prism,1924,84
grease,1919,101
serum,1915,1189
shape,1895,54
blood,1886,179
floor,1884,161
lens,1873,61
growth,1807,798
shale,1784,425
lustre,1761,135
liquor,1743,340
corolla,1743,62
dun,1742,134
space,1738,51
milk,1736,319
horn,1725,638
forehead,1722,145
sediment,1722,572
shadow,1713,205
interior,1712,76
rim,1708,114
catkin,1698,129
animal,1693,132
shaft,1678,42
lesion,1669,632
caterpillar,1665,194
spike,1655,56
creature,1654,80
mouth,1643,48
morning,1639,42
insect,1620,357
nose,1617,48
blur,1613,118
blob,1603,42
skull,1564,78
group,1558,74
land,1555,67
bruise,1532,218
fibre,1515,221
luminescence,1512,68
secretion,1504,1053
pustule,1493,302
moth,1484,234
membrane,1468,880
papule,1458,991
ointment,1450,58
facade,1441,119
fume,1441,154
pebble,1430,44
bristle,1419,402
flint,1419,127
vapour,1418,159
smile,1416,43
fiber,1412,198
sulfur,1411,43
marl,1400,405
vapor,1378,255
loess,1366,137
beast,1361,42
sort,1347,124
globule,1345,264
worm,1327,201
mound,1313,49
scum,1311,233
scab,1309,712
sheen,1308,285
sauce,1308,52
larva,1300,401
eyebrow,1299,154
dawn,1283,71
branch,1282,68
spore,1276,216
bract,1262,149
expanse,1257,47
phlegm,1251,138
pallor,1248,668
hide,1238,58
content,1229,544
splotch,1224,142
fatty,1222,437
discolouration,1209,334
chest,1207,71
dome,1198,52
pottery,1188,85
handle,1186,79
structure,1184,326
ash,1183,465
countenance,1171,79
mica,1169,102
winter,1168,62
illumination,1167,146
undertone,1166,134
Colour,1166,334
beetle,1161,88
ridge,1153,82
focus,1133,376
glimmer,1122,82
transverse,1114,169
protein,1106,67
sap,1066,163
gland,1061,342
ice,1056,110
incrustation,1055,245
character,1053,151
abdomen,1045,243
subsoil,1045,223
sepal,1042,110
tuff,1037,110
tooth,1031,44
core,1028,90
sublimate,1007,63
horizon,1007,76
shine,1006,54
flour,1001,101
slough,997,302
overcoat,997,43
filtrate,990,74
trunk,979,48
alloy,972,57
latex,964,65
suffusion,964,286
seta,963,345
ooze,947,106
liver,940,93
glint,936,95
silver,924,158
fungus,923,43
bronze,917,246
specimen,914,84
twilight,913,150
woollen,896,65
earthenware,894,76
underside,878,195
whisker,868,90
sol,868,64
shoot,866,125
waste,865,47
silty,861,170
edging,856,50
chromatophores,850,65
landscape,824,48
pearl,821,85
froth,820,132
owing,819,85
aura,817,58
eyeball,812,86
syrup,807,183
meat,799,48
tomentum,797,311
bread,796,43
lime,792,123
filament,791,99
droplet,788,116
fold,787,64
emulsion,786,77
mortar,783,132
shading,782,65
gloom,779,120
lymph,773,305
smear,763,63
grub,735,242
acid,733,65
brush,730,57
clump,729,75
fragment,729,144
sapwood,723,254
chert,721,183
tufa,718,198
twig,716,72
freestone,714,100
individual,714,43
White,710,88
expectoration,709,283
reflex,705,248
brightness,703,49
fuzz,702,89
blister,700,135
spotting,700,54
aspect,698,421
writing,698,43
dusk,697,54
London,695,67
stigma,689,102
photograph,688,40
brow,688,135
underneath,679,202
soup,668,73
scar,663,44
grin,655,49
granite,653,165
cut,646,87
