существительное,blau,blaulich
Auge,59813,68
Himmel,53678,89
Farbe,37691,4162
Licht,21241,2336
Färbung,10156,4097
Grund,10111,154
Flecken,7973,524
Dunst,7788,588
Berg,6461,124
Fleck,6018,382
Luft,5630,48
Linie,5445,51
Papier,4424,208
Streifen,4084,351
Ton,3806,1974
Wasser,3780,157
Ferne,3416,251
Schatten,2977,937
Flamme,2841,858
Ring,2207,367
Tinte,1946,53
Thon,1880,49
Flüssigkeit,1653,154
Masse,1539,160
Rauch,1402,421
Wolke,1395,192
Lippe,1251,456
Schleier,1083,123
Ader,1055,194
Farbton,1022,176
Schein,995,828
Schimmer,957,2106
Saum,929,71
Nebel,873,250
Zone,865,54
Duft,827,391
Farbenton,662,532
Stelle,652,159
Verfärbung,635,1603
Flämmchen,565,71
Gesicht,408,83
Leuchte,369,44
Glanz,327,220
Fluoreszenz,314,84
Dämmerung,240,107
Dufte,233,119
Haut,227,203
Funken,223,61
Vene,195,50
Tönung,194,100
Nuance,193,102
Hauch,179,133
Strang,142,77
Zunge,134,46
Aussehen,125,326
Marmor,124,72
Hof,121,44
Hautfarbe,108,73
Dampf,75,50
Anflug,74,226
Gesichtsfarbe,68,113
Lichtschein,65,51
