существительное,gelb,gelblich
Farbe,39371,12771
Fleck,15609,974
Licht,12778,1301
Körper,11884,324
Färbung,10594,9121
Zelle,6291,135
Farbstoff,6201,90
Flecken,5673,1523
Streifen,4808,884
Pigment,4648,428
Grund,4599,750
Sand,4133,290
Blatt,4081,209
Flüssigkeit,3772,5303
Niederschlag,3306,454
Blüte,3243,156
Linie,3210,117
Ton,3197,3489
Glas,3155,53
Masse,3058,2337
Band,2534,61
Punkt,2488,480
Papier,2426,1266
Haar,2350,296
Korn,1864,400
Auge,1792,77
Sandstein,1732,576
Eiter,1729,666
Ring,1649,61
Saum,1631,99
Gesicht,1556,417
Rand,1543,167
Fläche,1531,41
Körnchen,1472,744
Scheibe,1457,172
Erde,1446,42
Schein,1403,782
Pulver,1377,514
Lehm,1360,93
Kugel,1313,41
Substanz,1313,425
Hautfarbe,1307,803
Haut,1307,598
Zahn,1293,97
Lösung,1267,257
Stelle,1196,480
Wasser,1111,403
Schicht,1069,280
Blüthen,1027,67
Knötchen,1016,1009
Stein,914,97
Verfärbung,907,1472
Nadel,852,113
Wand,838,104
Zone,808,134
Herd,805,577
Farbton,782,482
Flocke,714,310
Gesichtsfarbe,697,826
Schleim,689,692
Farbenton,678,867
Knoten,636,287
Staub,629,45
Belag,627,474
Strich,609,50
Aussehen,597,1121
Marmor,592,304
Spitze,584,57
Grundfarbe,576,114
Tropfen,562,123
Serum,538,1056
Kristall,535,64
Pünktchen,533,179
Thon,496,172
Kalk,482,117
Fett,481,61
Kruste,471,364
Eiters,469,141
Wolke,467,45
Saft,463,58
Partie,459,140
Fleckchen,449,220
Schimmer,441,994
Faden,435,52
Mergel,434,154
Materie,419,166
Krystalle,417,61
Untergrund,371,50
Kalkstein,358,266
Stuhl,343,69
Rinde,320,65
Körperchen,317,117
Oel,310,116
Kügelchen,308,109
Anstrich,299,99
Ei,297,67
Granulationen,296,99
Schuppe,293,90
Inhalt,285,587
Kolonie,284,81
Teint,267,418
Pigmentkörnchen,253,50
Ader,240,54
Reflex,237,135
Rückstand,236,127
Nuance,199,277
Bodensatz,199,121
Behaarung,188,97
Fluoreszenz,184,48
Krystallen,182,48
Schaum,182,60
Kern,180,71
Farbentöne,178,47
Anflug,173,391
Trübung,172,230
Ausfluss,171,154
Tönung,168,363
Sediment,167,97
Brei,162,130
Infiltration,149,62
Membran,148,150
Öl,147,64
Borke,145,79
Einlagerung,135,161
Gewebe,123,134
Mergeln,122,47
Exsudat,118,201
Hautfärbung,113,58
Lymphe,111,43
Ansehen,110,229
Glanz,107,135
Sekret,105,104
Stich,104,362
Colorit,93,184
Oberfläche,90,98
Eigenfarbe,89,73
über,89,48
Grundton,86,53
Auswurf,83,125
Kalken,83,52
Ueberzug,75,42
Klumpen,71,46
Pigmentierung,70,50
Bläschen,67,53
Schorf,62,54
Feuchtigkeit,62,66
Gebilde,61,49
Plaques,59,113
Schleimes,58,113
Auflagerung,54,73
Fleckung,52,52
Filtrat,52,53
Auflagerungen,51,147
Hauch,49,46
Geschwulst,44,67
Beschaffenheit,41,77
