существительное,gross,riesig
Teil,3357942,557
Bedeutung,1604598,768
Zahl,1570542,4785
Anzahl,1159658,2389
Menge,951604,14185
Rolle,742437,350
Schwierigkeit,587921,879
Stadt,539604,1862
Umfang,501069,3188
Interesse,416755,234
Erfolg,394055,2588
Einfluss,393089,312
Masse,384244,3496
Wert,333645,278
Unterschied,308515,1970
Gefahr,300196,676
Werk,272963,1884
Mehrheit,260344,919
Gruppe,253835,354
Anteil,241655,188
Gewicht,237169,107
Mann,218379,795
Problem,217750,2123
Aufgabe,209181,2381
Entfernung,206750,2747
Vorteil,198651,643
Maß,192172,460
Ausdehnung,189373,2909
Anstrengung,186225,1513
Raum,168130,4695
Fortschritt,161165,2839
Freude,160580,529
Mühe,160568,98
Unternehmen,156291,1211
Nutzen,152922,64
Macht,137730,578
Ausmaß,137704,6917
Kreis,136884,276
Maßstab,134648,538
Gebiet,128704,8726
Zug,128226,223
Betrieb,126691,438
Summe,125528,7035
Schaden,119195,625
Leistung,116840,282
Verlust,116562,2599
Fläche,114619,3884
Ganze,108560,68
Stück,104236,780
Opfer,102725,1094
Aufwand,98851,1809
Fehler,98632,342
Verbreitung,98406,295
Höhe,97457,623
Wirkung,96979,129
Arbeit,94197,1683
Kraft,92729,1466
Publikum,91251,247
Veränderung,90479,240
Staat,89682,338
Gewinn,89658,2824
Sorge,89251,45
Chance,85875,509
Schritt,85262,1149
Abstand,84950,346
Geschwindigkeit,75681,340
Breite,75002,98
Mannigfaltigkeit,71748,98
Geist,70325,42
Hindernis,69196,152
Familie,68445,217
Herausforderung,66708,478
Land,66692,5851
Glück,65951,248
Eifer,65682,46
Welt,65636,270
Saal,64889,1611
Schwankung,64280,86
Verantwortung,62595,396
Quantität,62455,345
Gut,62077,485
Aufsehen,60703,256
Möglichkeit,60095,407
Strecke,59266,631
Haufe,58631,1151
Bewegung,58026,196
Haus,57685,1076
Kosten,57625,1036
Zelle,57490,404
Reich,56947,3590
Energie,56338,372
Unternehmung,56233,255
Differenz,56148,92
Kampf,55361,159
Dimension,54568,5066
Volk,54117,70
Tragweite,53584,43
Gesellschaft,53354,55
Mensch,53303,222
Erfahrung,53107,138
Nachteil,52886,47
Eindruck,52392,94
Bereich,51929,634
Lücke,51917,899
Rahmen,50102,53
Schiff,49901,828
Distanz,48291,384
Vermögen,47771,2822
Reichtum,47725,752
Angst,47332,336
Industrie,46124,423
Hilfe,45716,61
Thema,45510,171
Strom,45342,773
Mittel,43875,1618
Zeitraum,43790,532
Gemeinde,43653,54
Betrag,43645,938
Länge,43546,159
Ding,43486,89
Plan,42735,208
Spannung,42645,84
Aufschwung,42314,1223
Sache,41930,58
Form,41788,391
Auge,41636,919
Prozentsatz,41593,59
Vielfalt,41587,277
Anforderung,41201,232
Kapital,40798,1056
Fülle,40640,863
Fluss,39986,40
Platz,39703,980
Projekt,39579,407
Beitrag,39462,52
Markt,39412,1978
Gemeinschaft,39284,96
Stein,39161,958
Verband,39086,107
Vergnügen,38844,80
Stärke,38606,105
Bibliothek,38544,925
Bild,37163,903
Bedarf,36927,1225
Material,36682,2212
Aufregung,36541,96
Armee,36496,1523
Belastung,36183,214
Organisation,36077,649
Erwartung,35665,55
Schlacht,35472,57
Nachfrage,35461,447
Geschäft,34839,437
Versammlung,34686,366
Bogen,34675,677
Konzern,34129,659
Anlage,33895,1219
Fest,33676,193
Last,33515,685
Zukunft,33240,46
See,32390,883
Beifall,32317,193
Heer,32135,1828
Kern,31585,217
Ausgabe,31552,702
Gewalt,31115,109
Gebäude,31058,2159
Format,30873,388
Fabrik,30732,766
Sprung,30459,539
Sammlung,30301,797
Enttäuschung,30094,160
Erleichterung,29690,134
Kirche,29630,399
Anspruch,29215,53
Schar,29029,640
Druck,29026,116
Irrtum,28938,68
Begeisterung,28917,191
Schnelligkeit,28811,85
Umwälzung,28431,181
System,28430,458
Überraschung,28410,101
Errungenschaft,28333,42
Feld,28329,1448
Majorität,28206,64
Tier,27646,1115
Auswahl,27258,535
Exemplar,27054,585
Gestalt,26519,1554
Katastrophe,26368,127
Buch,26025,210
Baum,25867,2478
Roman,25800,41
Klasse,25787,52
Bestand,25660,793
Hof,25519,178
Insel,25311,235
Blatt,24088,522
Block,23855,1047
Garten,23639,625
Lust,23578,52
Grundbesitz,23490,558
Wohnung,23402,223
Fleiß,23340,53
Fenster,22919,912
Schuld,22582,464
Resonanz,22538,53
Verbrechen,22083,57
Maschine,22046,1378
Entwicklung,22007,705
Bandbreite,21889,104
Buchstabe,21347,493
Lager,21274,1030
Dorf,21085,68
Ausstellung,20984,45
Netz,20829,992
Bezirk,20826,56
Angebot,20702,992
Reserve,20642,487
Kopf,20502,863
Vorrat,20384,928
Bau,20370,1099
Auftrag,20232,208
Investition,20010,1204
Verhältnis,19750,445
Schatz,19401,538
Respekt,19159,102
Oberfläche,18830,152
Streik,18582,40
Komplex,18384,1188
Loch,18352,1495
Schule,18153,53
Gegner,18122,41
Herd,18084,944
Brand,17937,264
Bedürfnis,17814,93
Volumen,17785,166
Halle,17602,2308
Datenmenge,17477,1239
Konzentration,17433,113
Zimmer,17398,281
Steigerung,16965,481
Körper,16919,806
Potential,16511,1176
Ausbreitung,16314,65
Umriss,16124,42
Glocke,16096,159
Stückzahl,16076,126
Menschenmenge,15854,2393
Auflage,15844,840
Gesetz,15842,66
Demonstration,15798,659
Welle,15741,1082
Apparat,15717,2174
Orchester,15700,63
Wald,15694,1853
Literatur,15453,705
Wassermenge,15420,328
Ruf,15179,62
Quantum,15003,43
Besitz,14933,526
Einkommen,14785,94
Zuwachs,14714,135
Verkehr,14601,358
Kluft,14468,508
Beteiligung,14394,54
Zunahme,14119,471
Gehalt,14108,41
Weite,14023,629
Fisch,13907,563
Figur,13780,365
Arbeitslosigkeit,13765,380
Prozess,13600,42
Umweg,13537,327
Theater,13452,208
Gemälde,13425,580
Hund,13413,560
Ebene,13402,413
Geldsumme,13379,709
Spannweite,13336,74
Wissen,13280,72
Feuer,13232,567
Natur,13111,43
Tumor,13039,55
Herz,13030,56
Bevölkerung,13012,434
Hafen,12984,88
Stamm,12949,440
Defizit,12827,697
Zulauf,12749,175
Geschenk,12743,49
Diskrepanz,12719,105
Tisch,12662,401
Umsatz,12586,217
Territorium,12585,2432
Kapazität,12410,112
Thätigkeit,12355,49
Programm,12259,254
Nachbar,12108,159
Tafel,12069,398
Blüte,12064,55
Areal,11897,1227
Kugel,11886,262
Absatz,11790,74
Flotte,11786,433
Vorsprung,11773,193
Lärm,11753,64
Hotel,11593,381
Bühne,11254,398
Öffnung,11230,43
Grundstück,11164,231
Platte,11068,286
Schrecken,11015,64
Gefallen,10899,68
Tempel,10816,375
Vorhaben,10717,46
Streit,10694,48
Siedlung,10648,44
Kundgebung,10534,169
Höhle,10461,416
Erscheinung,10413,58
Rest,10408,57
Becken,10295,278
Konkurrenz,10081,84
Gefolge,9986,122
Einnahme,9983,240
Menschenmasse,9940,966
Überschuss,9908,208
Spiegel,9793,529
Erweiterung,9748,165
Diskussion,9679,54
Geschrei,9649,72
Portion,9646,293
Ring,9566,69
Hohlraum,9512,52
Zerstörung,9476,482
Produktion,9449,341
Haushalt,9441,60
Aufwendung,9419,363
Geld,9412,131
Anhäufung,9402,198
Geldmittel,9249,473
Spaß,9042,1133
Wunde,9006,215
Abmessung,8982,272
Topf,8918,424
Vogel,8837,709
Echo,8799,78
Kredit,8766,146
Kette,8763,150
Fragezeichen,8650,113
Organismus,8630,341
Anleihe,8602,144
Besitzungen,8545,349
Vermehrung,8509,371
Meer,8459,328
Blase,8439,123
Nachholbedarf,8350,469
Schicht,8192,44
Geschwulst,8162,54
Region,8114,274
Aktiengesellschaft,8075,42
Ansammlung,8047,403
Letter,8027,754
Museum,7968,97
Volksmasse,7954,48
Reservoir,7905,808
Gebilde,7884,436
Wagen,7823,174
Trommel,7712,150
Brücke,7704,204
Spektrum,7675,167
Frau,7673,69
Park,7423,711
Erbe,7389,85
Potenzial,7388,311
Arbeitsaufwand,7290,94
Überlegenheit,7276,58
Jubel,7255,45
Dampfer,7237,88
Kolonie,7214,330
Andrang,7205,47
Modell,7199,102
Wirtschaftsraum,7089,131
Profit,7077,1718
Fuß,7072,200
Tor,7012,440
Planet,6919,53
Hand,6896,1042
Warenhaus,6882,108
Kessel,6769,671
Rad,6643,277
Verbrauch,6599,122
Quelle,6590,59
Flut,6563,187
