существительное,klein,winzig
Teil,370540,6737
Gruppe,314870,1517
Kind,257940,265
Stadt,209127,190
Kreis,195235,448
Menge,159491,3588
Zahl,158237,944
Staat,148966,446
Schrift,130574,596
Schritt,108550,1796
Stück,107957,2570
Raum,104875,1934
Land,100400,391
Mädchen,94640,41
Mann,92167,49
Anzahl,91877,423
Theil,85867,384
Gemeinde,83951,188
Ort,82593,326
Einheit,67860,127
Insel,57403,1251
Minderheit,56777,4122
Dorf,55138,874
Partei,51041,112
Haus,51015,554
Finger,50106,80
Zelle,47513,980
Gebiet,45876,477
Dose,45359,185
Detail,45270,1919
Maßstab,42733,141
Ding,41456,494
Umfang,40514,164
Unterschied,39750,646
Fläche,38844,401
Wohnung,38502,880
Abweichung,38281,422
Welt,37301,195
Ausschnitt,37198,3261
Beitrag,34859,234
Betrag,34520,493
Rest,33342,1689
Theile,32960,110
Form,30743,202
Gehirn,30467,134
Änderung,30186,352
Teilchen,29248,1609
Zimmer,28598,1364
Veränderung,28526,606
Fehler,28216,251
Geschichte,27836,73
Bruchteil,27661,6051
Quantität,27557,132
Tier,27355,374
Gabe,26320,46
Stückchen,26273,1600
Loch,25771,1115
Stelle,25696,426
Schiff,25664,106
Anfang,25612,228
Schar,25299,207
Format,25224,250
Bild,25010,69
Winkel,24393,96
Stein,23736,54
Anteil,23639,492
Strecke,23372,133
Auswahl,23179,156
Verhältnis,22987,65
Summe,22556,401
Bezirk,22316,43
Abschnitt,21975,271
Hof,21365,148
Einzelheit,21131,423
Größe,21003,920
Beispiel,20860,190
Kern,20560,518
Pause,20492,229
Fenster,20453,1085
Differenz,20316,237
Bewegung,19930,566
Ortschaft,19921,42
Kirche,19474,97
Körper,19061,527
Rahmen,18760,51
Tisch,18681,199
Bereich,18650,169
Gegenstand,18005,147
Rolle,17923,357
Portion,17903,282
Figur,17837,664
Fisch,17831,137
Dimension,17671,680
Öffnung,17539,574
Kugel,17471,193
Garten,17312,348
Mittel,17095,58
Boot,16618,254
Vogel,16420,44
Prozentsatz,16347,413
Mensch,16193,707
Körnchen,15933,1631
Platz,15850,146
Städtchen,15713,223
Anlage,15385,59
Schwankung,15267,48
Schicht,15002,331
Blatt,14754,144
Theilchen,14736,49
Hügel,14635,52
Zeit,14571,65
Element,14542,88
Feld,14521,137
Exemplar,14413,46
Art,14404,53
Masse,14191,145
Parzelle,14071,553
Häuflein,13872,661
Punkt,13627,2228
Häuschen,13347,582
Laden,13344,265
Auflage,13264,205
Kopf,12836,437
Maß,12741,136
Oeffnung,12700,54
Planet,12610,397
Hand,12578,373
Korn,12287,298
Buchstabe,12272,241
Bruchstück,12193,781
Objekt,11820,224
Verschiebung,11702,187
Hütte,11587,343
Lücke,11572,193
Frau,11211,64
Kapelle,11106,137
Apparat,10951,53
Bläschen,10945,380
Territorium,10659,41
Wunde,10578,94
Hafen,10540,80
Siedlung,10479,42
Problem,10410,42
Republik,10300,45
Knötchen,10263,97
Wesen,10198,800
Fragment,10078,356
Probe,9986,86
Gestalt,9978,807
Ausmaß,9917,40
Verbesserung,9817,49
Sache,9681,48
Tropfen,9632,578
Szene,9552,92
Episode,9544,197
Flecken,9503,253
Grundstück,9431,42
Kammer,9341,481
Wagen,9289,51
Störung,9116,42
Welle,8862,221
Flamme,8828,63
Auge,8757,272
Spiegel,8641,77
Korrektur,8563,69
Tröpfchen,8429,843
Bühne,8382,218
Partikel,8313,565
Körperchen,8227,440
Fortschritt,8158,94
Bucht,8066,48
Bündel,7978,61
Elite,7937,210
