noun,warm,heiss
Wasser,69998,70968
Bad,29341,10588
Dank,26796,1939
Luft,22986,16875
Jahreszeit,22282,10634
Herz,20638,8716
Wort,16032,345
Klima,14450,8066
Tag,10846,22516
Land,10176,8532
Interesse,9950,98
Gefühl,9509,1216
Wetter,8953,3996
Quelle,8652,16754
Mahlzeit,7928,51
Zimmer,7914,350
Liebe,7235,9203
Gegend,6815,3859
Witterung,6786,1615
Sympathie,6766,382
Essen,6653,215
Blut,6536,5042
Monat,6437,4660
Körper,6388,2439
Umschlag,6086,2045
Sommer,5797,18087
Farbe,5339,49
Meer,4845,94
Stube,4711,157
Getränk,4479,2532
Speise,4158,891
Hand,4151,1356
Licht,4121,208
Wind,4107,3307
Zone,4102,17617
Gebiet,4061,611
Milch,4010,2443
Temperatur,4008,798
Ort,4004,426
Ofen,3961,2598
Raum,3958,693
Sonne,3852,5697
Leben,3787,644
Begeisterung,3630,153
Suppe,2996,1655
Freundschaft,2775,41
Verehrer,2749,57
Sommertag,2601,9869
Hauch,2596,394
Empfindung,2576,204
Sonnenschein,2431,474
Wunsch,2424,19083
Anteilnahme,2303,67
Tuch,2286,568
Nacht,2151,1172
Eifer,2111,626
Zeit,1967,5460
Atmosphäre,1922,589
Strahl,1822,1052
Strom,1802,481
Klimaten,1798,1735
Flüssigkeit,1777,2972
Region,1710,759
Sonnenstrahl,1641,860
Glückwunsch,1641,49
Stelle,1598,1584
Empfang,1591,296
Boden,1589,2753
Lösung,1519,3207
Periode,1485,2059
Jahr,1459,755
Sand,1449,3171
Teil,1418,757
Sommerabend,1380,319
Süden,1365,745
Luftstrom,1360,755
Gewässer,1340,43
Vaterlandsliebe,1338,731
Atem,1333,3840
Umgebung,1309,259
Sommernacht,1289,401
Dankbarkeit,1274,241
Mitgefühl,1252,71
Abend,1227,178
Zustimmung,1176,51
Haut,1139,1720
Dampf,1121,5088
Sache,1072,204
Seite,1047,111
Schicht,1033,103
Iahreszeit,1027,1389
Vollbad,997,195
Kochsalzlösung,985,349
Zustand,958,792
Platz,946,40
Dusche,918,1051
Breiumschläge,907,176
Küche,892,46
Wein,869,195
Kaffee,860,2984
Sommermonat,846,3636
Fuß,841,85
Gruß,837,427
Klimate,788,481
Patriotismus,769,116
Bewunderung,764,49
Alkohol,714,3071
Tee,711,3106
Wasserbad,696,284
Fleisch,678,46
Blick,676,344
Welle,668,764
Erde,661,407
Gericht,597,57
Douche,574,58
Kataplasma,570,210
Herbst,564,2314
Asche,558,2564
Stein,538,14842
Auge,533,639
Seele,502,682
Thee,493,257
Sitzbäder,483,246
Seifenwasser,483,225
Sonnenlicht,476,47
Freude,458,179
Herd,450,174
Neigung,436,96
Nahrung,427,54
Brust,418,134
Dunst,414,256
Feuer,407,656
Südwind,404,47
Oel,378,349
Mensch,363,71
Lötstelle,361,107
Sommerwetter,358,197
Schweiß,356,43
Nachmittag,350,991
Lippe,349,377
Gegenstand,339,716
Schwefelquellen,337,502
Klimazone,334,167
Theil,330,114
Würstchen,321,520
Weg,313,267
Clima,302,166
Masse,301,576
Schatten,298,57
Himmelsstrich,295,389
Mineralquelle,292,204
Himmel,291,410
Lust,290,227
Duft,290,42
Natur,287,116
Leib,283,56
Tropfen,279,266
Finger,271,65
Eisen,268,19826
Flut,267,75
Salzwasser,261,72
Eiser,258,46
Welt,257,60
Tal,256,57
Tageszeit,252,703
Salzsäure,248,851
Kompresse,247,435
Wasserdämpfe,243,807
Sommerluft,242,50
Ende,227,103
Essig,225,61
Amerika,223,50
Busen,223,63
Fußbad,208,151
Ebene,199,643
Tagesstunde,199,758
Fussbäder,199,196
Platte,198,732
Glaube,196,252
Wasserbade,193,69
Morgen,184,163
Brühe,184,383
Küste,183,169
Öl,177,928
Oberfläche,177,601
Wand,176,280
Stunde,176,1598
Thälern,173,101
Glut,173,982
Wässer,172,49
Arm,169,46
Leidenschaft,169,2122
Phantasie,164,59
Mittagssonne,162,549
Douchen,160,104
Wachs,160,553
Träne,158,3769
Erdstrichen,155,314
Odem,149,73
Landern,148,105
Mai,144,75
Fussbad,143,88
Kopf,143,2962
Climaten,140,239
Zunge,138,75
Bereich,138,78
Sonnentag,136,54
Bauch,134,79
Quell,131,171
Badewanne,127,45
Nachmittagssonne,127,49
Kartoffel,127,2034
Mischung,127,223
Umarmung,123,168
Fußbäder,123,199
Kühlwasser,123,56
Medium,119,481
Wasserdämpfen,118,289
Schlamm,113,112
Thränen,113,3584
Landstrich,113,227
Mittag,113,808
Segenswunsch,111,359
Punkt,111,546
Tropen,109,137
Wickel,108,95
Niederung,107,308
Sorge,106,230
Backofen,106,249
Wasserstrahl,104,70
Kakao,104,253
Athem,104,115
Sommerzeit,102,686
Brei,102,5641
Gas,102,4827
Metall,101,598
Sodalösung,101,517
Himmelsstriche,101,241
Einspritzungen,94,58
Tasse,94,427
Gedanke,92,146
Sinnlichkeit,92,172
Jahrszeit,89,49
Sommerszeit,89,298
Handbäder,88,56
Woge,87,65
Erdgürtel,86,444
Einpackungen,84,47
Mittagsstunde,84,804
Salpetersäure,84,368
Kalilauge,83,379
August,82,402
Saal,80,74
Felsen,79,62
Aether,78,80
Kern,78,320
Benzol,78,250
Juni,78,102
Sublimatlösung,77,74
Lauge,76,909
Mitleid,76,55
Mund,74,143
Wurst,72,154
Gesicht,72,753
Strand,70,52
Wolke,65,48
Butter,65,282
Phase,64,6628
Feder,64,122
Fleischbrühe,61,49
Lieb,60,65
Schwefelsäure,60,396
Rauch,59,123
Juli,59,349
Verlangen,58,4506
Gürtel,58,91
Sonntag,57,184
Innere,56,141
Schauer,56,129
Trank,54,68
Schokolade,53,1482
Sommernachmittag,52,430
Packung,52,119
Asphalt,51,307
Kuss,51,1198
Seifenlauge,51,51
Fläche,50,275
Temperament,50,445
Stille,49,51
Tiefland,48,242
Sehnsucht,46,5326
Sturm,46,42
Punsch,46,65
Wange,45,861
Junitag,45,232
Bitte,45,199
Kraft,45,123
Sodawasser,44,189
Stück,43,70
Wasserbädern,43,50
Andacht,42,108
Hoffnung,42,268
Stirn,40,1430
Julitag,40,735
Iahrszeit,40,48
