Farbe	4162
Färbung	4097
Licht	2336
Schimmer	2106
Ton	1974
Verfärbung	1603
Schatten	937
Flamme	858
Schein	828
Grün	735
Roth	668
Dunst	588
Farbenton	532
Flecken	524
Lippe	456
Rauch	421
Weiß	399
Duft	391
Fleck	382
Ring	367
Streifen	351
Aussehen	326
Ferne	251
Nebel	250
Rot	229
Anflug	226
Glanz	220
Papier	208
Haut	203
Ader	194
Wolke	192
Ansehen	192
Farbton	176
Stich	176
Masse	160
Stelle	159
Wasser	157
Flüssigkeit	154
Grund	154
Hauch	133
Berg	124
Schleier	123
Dufte	119
Geschwulst	115
Gesichtsfarbe	113
Dämmerung	107
Nuance	102
Tönung	100
Violett	96
Röthe	92
Himmel	89
Fluoreszenz	84
Gesicht	83
Strang	77
Orange	74
Hautfarbe	73
Marmor	72
Trübung	71
Flämmchen	71
Saum	71
Auge	68
Funken	61
Zone	54
Tinte	53
Lichtschein	51
Linie	51
Dampf	50
Vene	50
Entfärbung	49
Thon	49
Luft	48
Knoten	47
Zunge	46
Röthung	46
Hof	44
Leuchte	44
Quarz	43
