Kälte	9822
Wind	6897
Schweigen	3909
Wasser	1896
Luft	1451
Winter	1409
Hauch	1345
Ablehnung	1228
Höhe	1139
Ruhe	840
Sturm	836
Nacht	780
Atmosphäre	751
Norden	687
Hand	680
Schauer	606
Temperatur	521
Einsamkeit	476
Nordwind	446
Blick	433
Stille	426
Flut	417
Frost	383
Süden	377
Schneesturm	365
Miene	359
Regen	337
Klima	331
Winternacht	329
Region	303
Kühle	283
Stimme	270
Ostwind	267
Zurückhaltung	259
Verachtung	257
Hauche	252
Gipfel	240
Erstarrung	225
Winterkälte	216
Gleichgültigkeit	216
Ton	200
Schreck	181
Gefilde	178
Luftzug	170
Finsternis	168
Steppe	156
Nebel	152
Höflichkeit	151
Schrecken	149
Welt	147
Boden	146
Atem	139
Stillschweigen	135
Schnee	122
Einöde	121
Zugluft	117
Klarheit	117
Lächeln	113
Decke	112
Gefühl	107
Woge	107
Stimmung	104
Raum	101
Gewässer	96
Wüste	94
Weite	93
Zeit	93
Zone	93
Schatten	93
Nachtluft	88
Strahl	87
Leere	87
Berg	85
Aufnahme	81
Gesicht	78
Himmel	76
Empfang	74
Stillstande	74
Pol	71
Schärfe	70
Auge	66
Gegend	64
Rinde	63
Haltung	62
Gletscher	62
Schauder	61
Wintertag	61
Januar	61
Distanz	60
Hohn	60
See	57
Welle	55
Bora	55
Odem	55
Überlegung	54
Finger	54
Weltraum	53
Misstrauen	52
Felsen	50
Griff	50
Tag	49
Firnen	49
Umklammerung	48
Tod	48
Straße	47
Umarmung	47
Ufer	47
Fluss	47
Reif	47
Wintersturm	47
Alp	46
Ironie	46
Wintermorgen	46
Winterluft	45
Windstoß	45
Feld	44
Fels	44
Dusche	44
Ostsee	43
Küste	42
Strom	41
Nordwindes	40
