существительное	холодный	ледяной	прил1 // прил2
вода	202564	48654	4
воздух	62280	1719	36
ветер	46485	11472	4
период	32372	158	204
пот	23078	488	47
рука	18789	3352	5
зима	18673	169	110
дождь	18004	2486	7
месяц	16043	85	188
глаз	13978	2049	6
день	13537	74	182
взгляд	12234	2643	4
земля	8849	636	13
душа	8814	1339	6
звезда	8632	396	21
ночь	8540	407	20
комната	8431	244	34
свет	7775	116	67
камень	7676	495	15
расчет	7521	61	123
небо	6557	582	11
масса	6476	3097	2
палец	6303	1339	4
блеск	6286	558	11
туман	6208	872	7
тон	6162	5266	1
волна	5998	1446	4
стекло	5694	736	7
зона	5611	815	6
слой	5431	1358	3
почва	5366	88	60
прием	5254	226	23
лицо	4871	278	17
сердце	4808	1162	4
страна	4677	264	17
стена	4605	2687	1
струя	4500	2430	1
огонь	4434	529	8
металл	4385	165	26
поверхность	4336	4625	0
раствор	4249	261	16
море	4084	425	9
стенка	4028	471	8
солнце	3958	185	21
вид	3949	75	52
компресс	3940	404	9
капля	3856	512	7
поток	3815	3333	1
равнодушие	3521	737	4
дыхание	3461	2627	1
слово	3403	195	17
роса	3378	367	9
губа	3301	301	10
пиво	3242	304	10
камера	3203	42	76
снег	3183	83	38
ванна	3117	1008	3
презрение	3104	370	8
тело	3072	1817	1
кровь	2849	95	29
трещина	2749	163	16
молоко	2698	151	17
улыбка	2634	242	10
брызги	2628	1100	2
ключ	2612	258	10
вечер	2558	47	54
дом	2458	2002	1
испарина	2444	114	21
ужас	2403	517	4
река	2327	1544	1
облако	2318	1139	2
голос	2317	3427	0
душ	2312	478	4
пустота	2303	288	7
дрожь	2295	346	6
струйка	2271	576	3
квартира	2270	185	12
сырость	2201	429	5
мрак	2091	334	6
вежливость	2056	550	3
песок	2010	59	34
подвал	1942	46	42
пустыня	1890	7333	0
край	1878	325	5
ветерок	1871	362	5
спокойствие	1844	1945	0
коридор	1773	244	7
степь	1766	181	9
молчание	1752	1216	1
мгла	1738	886	1
железо	1733	101	17
север	1699	105	16
ярость	1666	59	28
луч	1653	109	15
сон	1618	161	10
лоб	1603	207	7
ручей	1581	400	3
пояс	1536	316	4
выражение	1504	233	6
луна	1498	94	15
могила	1485	560	2
глубина	1449	211	6
квас	1443	222	6
безразличие	1433	154	9
плита	1415	561	2
слеза	1352	304	4
мурашки	1350	255	5
сумрак	1300	42	30
фаза	1298	56	23
усмешка	1276	81	15
тьма	1264	404	3
объятие	1261	747	1
среда	1226	55	22
пространство	1203	1292	0
влага	1201	285	4
сибирь	1192	77	15
океан	1187	407	2
нога	1185	284	4
заря	1183	69	17
модель	1153	349	3
ненависть	1144	126	9
смерть	1128	193	5
ладонь	1127	148	7
напиток	1113	170	6
карцер	1060	244	4
город	1037	210	4
озеро	1026	493	2
простор	1018	2920	0
ирония	1016	68	14
прикосновение	1015	153	6
склад	1010	2081	0
синева	1002	115	8
тишина	1000	292	3
темнота	998	61	16
грязь	995	230	4
россия	983	65	15
частица	979	5655	0
ловушка	978	183	5
окно	975	688	1
взор	972	230	4
ливень	969	211	4
сияние	948	84	11
капли	938	121	7
печка	929	41	22
вихорь	929	297	3
тоска	927	81	11
атмосфера	914	215	4
ядро	914	3896	0
погреб	884	317	2
родник	833	129	6
пар	830	74	11
пленка	777	824	0
ясность	770	64	12
учтивость	763	58	13
речка	744	145	5
сумерки	743	48	15
бетон	740	52	14
крыло	737	51	14
эфир	725	91	7
ответ	725	61	11
цветок	713	406	1
рыба	709	165	4
сквозняк	707	659	1
форма	672	46	14
яма	659	63	10
вино	658	252	2
берег	643	1961	0
озноб	637	403	1
рассол	631	68	9
мысль	628	40	15
пыль	628	523	1
гора	626	11091	0
лужа	621	234	2
каша	613	1233	0
покой	609	53	11
тундра	598	104	5
вершина	595	1834	0
порыв	588	126	4
искра	572	62	9
скала	570	513	1
водка	554	212	2
поле	540	13908	0
водица	533	66	8
высота	532	333	1
чувство	509	62	8
полоса	496	279	1
серебро	473	60	7
дуло	465	41	11
баня	464	2858	0
язык	462	911	0
материал	457	558	0
лапа	444	106	4
кусок	441	111	3
бездна	440	248	1
одиночество	440	175	2
тяжесть	434	45	9
кухня	434	67	6
широта	433	55	7
пальчик	433	47	9
ток	432	46	9
цвет	432	47	9
окоп	427	197	2
стол	424	44	9
маска	415	282	1
игла	409	2485	0
отблеск	405	51	7
январь	395	43	9
грудь	393	52	7
оболочка	389	1317	0
жижа	388	135	2
сок	386	61	6
царство	384	386	0
смесь	377	82	4
кипяток	363	97	3
любезность	361	45	8
пучина	359	228	1
безмолвие	355	586	0
кора	352	6668	0
зеркало	348	236	1
свежесть	336	40	8
водичка	334	50	6
кольцо	333	371	0
бесстрастие	330	40	8
дуновение	330	105	3
ступень	326	83	3
глыба	319	7430	0
дерево	312	65	4
лимонад	309	167	1
одеяло	298	92	3
поцелуй	291	122	2
гряда	289	275	1
дно	279	210	1
болото	270	71	3
страсть	265	96	2
