существительное	крошечный	маленький	прил1 // прил2
кусочек	3213	26018	0
комнатка	2562	27739	0
комната	2247	42389	0
островок	1773	10380	0
фигурка	1696	16791	0
участок	1498	7505	0
домик	1432	38344	0
ребенок	1261	121793	0
окно	1073	10919	0
девочка	1052	58620	0
городок	1036	47451	0
окошко	944	8380	0
клочок	933	7221	0
точка	906	4982	0
человечек	836	23066	0
размер	827	9194	0
ручка	758	11093	0
ножка	758	8965	0
комнатушка	749	5334	0
квартирка	723	7409	0
глазок	711	14742	0
человек	686	119243	0
огонек	671	3020	0
садик	670	4285	0
головка	669	9862	0
уголок	667	3211	0
отверстие	643	8056	0
сцена	608	5355	0
частица	582	4756	0
кухня	535	2737	0
оконце	534	6785	0
каморка	529	2539	0
рука	515	19686	0
чашечка	511	3119	0
эпизод	494	6592	0
мальчик	486	37137	0
поселок	480	6471	0
окошечко	472	5346	0
пространство	449	2442	0
площадка	447	4241	0
часть	444	3694	0
пятачок	416	1378	0
тираж	414	2254	0
государство	394	9073	0
кабинет	388	5106	0
капелька	376	1521	0
личико	329	2043	0
осколок	323	1812	0
дворик	322	4421	0
помещение	320	3241	0
создание	319	807	0
глаз	319	11163	0
рассказ	318	12875	0
столик	317	19318	0
книжечка	315	7921	0
страна	306	13575	0
квартира	295	6803	0
остров	293	8163	0
деревушка	292	7699	0
прихожая	287	2429	0
доля	282	1441	0
комочек	279	2227	0
кучка	267	5702	0
пятнышко	264	1589	0
ротик	256	1226	0
лицо	252	4173	0
птичка	245	8034	0
рост	241	5630	0
носик	238	2167	0
пальчик	236	1309	0
клетушка	235	766	0
плацдарм	231	765	0
частичка	214	1743	0
надел	213	197	1
рюмка	212	1315	0
сын	211	27020	0
каюта	210	1092	0
порция	206	3205	0
заметка	202	5571	0
лампочка	196	3323	0
надежда	195	3197	0
листок	195	3236	0
место	194	1113	0
идейка	194	216	0
насекомое	189	609	0
избушка	186	3675	0
кабинетик	184	1108	0
фрагмент	182	2033	0
тело	182	4812	0
усик	179	2982	0
старушка	178	5627	0
дочка	178	12306	0
мастерская	177	511	0
узелок	177	2012	0
женщина	174	18710	0
меньшинство	173	199	0
планета	169	2242	0
город	168	21228	0
шажок	168	3987	0
щелочка	167	848	0
пузырек	165	1869	0
площадь	165	6069	0
полянка	165	1434	0
пруд	163	1727	0
цветок	163	1542	0
коробочка	163	2735	0
передняя	159	882	0
группа	159	18857	0
глоток	157	10033	0
шарик	156	3118	0
комнатенка	156	903	0
кусок	156	3453	0
ручеек	155	4403	0
чашка	155	1810	0
квадратик	155	1798	0
пауза	154	2005	0
звездочка	153	3030	0
шаг	153	3639	0
тельце	152	2444	0
буква	152	2706	0
капля	151	1910	0
отряд	151	8643	0
рот	149	6483	0
кулачок	144	2753	0
листочек	144	2968	0
камера	143	1736	0
пенсия	142	1586	0
котенок	142	1266	0
родинка	141	852	0
местечко	140	4756	0
букетик	138	1382	0
нос	137	2841	0
эстрада	137	1087	0
часы	134	592	0
хозяйство	131	3593	0
мушка	131	723	0
рассказик	129	1170	0
зверек	127	3065	0
истина	126	296	0
нога	125	4937	0
отрывок	125	2456	0
кухонька	124	1212	0
винтик	118	1408	0
переживание	117	90	1
часики	116	689	0
скамейка	116	729	0
старичок	116	6389	0
двор	115	2735	0
собачка	112	4687	0
платочек	112	527	0
ручонка	110	1380	0
оазис	110	811	0
ломтик	109	589	0
экран	108	1964	0
спальня	107	1183	0
городишко	107	3402	0
голова	107	11916	0
дом	104	8540	0
зернышко	103	881	0
рыбка	102	5222	0
язычок	101	1641	0
веснушка	101	85	1
самолет	100	3201	0
кружка	100	2535	0
гостиная	99	4599	0
флакончик	98	531	0
книжка	97	10012	0
слезинка	97	376	0
козырек	97	419	0
келья	94	988	0
фигура	92	3263	0
камешек	92	2365	0
пуговка	92	231	0
подбородок	92	1384	0
полоска	92	772	0
домишко	90	2553	0
дырочка	90	3069	0
шанс	89	555	0
театр	88	5001	0
рюмочка	88	1454	0
придаток	87	351	0
