noun,bednyj,nischij
человек,74508,3109
крестьянство,70753,322
крестьянин,64341,1815
слой,41929,44
семья,32694,988
женщина,28067,303
девушка,26403,47
страна,25474,3870
население,17904,744
часть,16355,41
ребенок,15152,954
народ,12837,1595
мать,12014,238
вдова,10209,358
мальчик,10054,721
девочка,9661,544
студент,9513,1232
люд,9305,234
чиновник,8724,159
старик,7919,2575
сирота,6867,94
жизнь,6519,1659
брат,6096,296
сердце,5766,51
родитель,5275,84
дворянин,5234,95
мужик,5227,1022
еврей,5201,282
житель,5057,43
квартал,4467,448
душа,4354,304
отец,4129,163
район,4032,62
дом,3915,405
старушка,3851,318
земля,3499,931
поэт,3432,567
хозяйство,3306,58
хижина,3122,200
старуха,3075,2495
труженик,2999,70
гражданин,2706,52
парень,2498,47
учитель,2452,137
россия,2246,3692
художник,2227,374
деревня,2106,2499
государство,2022,257
одежда,1996,129
юг,1987,63
раб,1867,174
рыбак,1853,97
странник,1776,1210
рабочий,1739,87
комната,1672,80
родина,1640,43
солдат,1529,118
деревушка,1521,323
пастух,1514,183
масса,1505,351
изба,1377,276
лазарь,1335,656
природа,1320,134
город,1250,247
мир,1233,88
князь,1214,83
край,1168,201
он,1155,246
ты,1060,54
я,1033,217
дочь,1001,56
хата,999,233
музыкант,990,364
баба,900,63
певец,886,485
мы,844,621
лачуга,839,177
пес,788,191
зверь,732,68
русь,712,863
литератор,657,42
монах,655,357
большинство,645,66
юность,622,175
эмигрант,608,252
село,589,126
детство,563,454
существование,545,260
мальчишка,542,191
слово,541,49
деревенька,521,45
старичок,520,136
царь,493,132
актер,474,65
горец,453,45
девчонка,422,65
племя,397,75
колхоз,391,44
провинция,390,84
старец,387,559
молодость,372,92
они,371,112
переселенец,364,101
дух,359,1613
мысль,350,89
поле,335,167
вид,329,160
доля,323,43
принц,294,47
скиталец,291,48
арендатор,290,45
память,281,48
быт,271,278
жилье,252,44
калека,249,552
дьячок,242,52
братия,240,4615
батрак,237,173
дед,234,52
время,225,65
странница,220,41
обитатель,202,157
сума,202,590
скарб,198,49
счастие,197,43
интеллигент,195,43
дикарь,190,54
окраина,186,169
каморка,179,54
грешница,164,106
гений,162,41
слепец,162,1208
философ,154,179
богач,147,57
москва,135,48
год,125,104
дура,124,57
дурак,121,259
цыганка,118,64
дервиш,110,231
угол,92,44
дурочка,85,53
образ,84,66
старость,76,312
богомолец,73,62
христос,68,76
пенсионер,68,114
скрипач,66,109
черница,65,173
толпа,56,202
усадьба,46,42
красота,40,96
