noun,holodnyj,ledyanoj
вода,202564,48654
воздух,62280,1719
ветер,46485,11472
период,32372,158
пот,23078,488
рука,18789,3352
зима,18673,169
дождь,18004,2486
месяц,16043,85
глаз,13978,2049
день,13537,74
взгляд,12234,2643
земля,8849,636
душа,8814,1339
звезда,8632,396
ночь,8540,407
комната,8431,244
свет,7775,116
камень,7676,495
расчет,7521,61
небо,6557,582
масса,6476,3097
палец,6303,1339
блеск,6286,558
туман,6208,872
тон,6162,5266
волна,5998,1446
стекло,5694,736
зона,5611,815
слой,5431,1358
почва,5366,88
прием,5254,226
лицо,4871,278
сердце,4808,1162
страна,4677,264
стена,4605,2687
струя,4500,2430
огонь,4434,529
металл,4385,165
поверхность,4336,4625
раствор,4249,261
море,4084,425
стенка,4028,471
солнце,3958,185
вид,3949,75
компресс,3940,404
капля,3856,512
поток,3815,3333
равнодушие,3521,737
дыхание,3461,2627
слово,3403,195
роса,3378,367
губа,3301,301
пиво,3242,304
камера,3203,42
снег,3183,83
ванна,3117,1008
презрение,3104,370
тело,3072,1817
кровь,2849,95
трещина,2749,163
молоко,2698,151
улыбка,2634,242
брызги,2628,1100
ключ,2612,258
вечер,2558,47
дом,2458,2002
испарина,2444,114
ужас,2403,517
река,2327,1544
облако,2318,1139
голос,2317,3427
душ,2312,478
пустота,2303,288
дрожь,2295,346
струйка,2271,576
квартира,2270,185
сырость,2201,429
мрак,2091,334
вежливость,2056,550
песок,2010,59
подвал,1942,46
пустыня,1890,7333
край,1878,325
ветерок,1871,362
спокойствие,1844,1945
коридор,1773,244
степь,1766,181
молчание,1752,1216
мгла,1738,886
железо,1733,101
север,1699,105
ярость,1666,59
луч,1653,109
сон,1618,161
лоб,1603,207
ручей,1581,400
пояс,1536,316
выражение,1504,233
луна,1498,94
могила,1485,560
глубина,1449,211
квас,1443,222
безразличие,1433,154
плита,1415,561
слеза,1352,304
мурашки,1350,255
сумрак,1300,42
фаза,1298,56
усмешка,1276,81
тьма,1264,404
объятие,1261,747
среда,1226,55
пространство,1203,1292
влага,1201,285
сибирь,1192,77
океан,1187,407
нога,1185,284
заря,1183,69
модель,1153,349
ненависть,1144,126
смерть,1128,193
ладонь,1127,148
напиток,1113,170
карцер,1060,244
город,1037,210
озеро,1026,493
простор,1018,2920
ирония,1016,68
прикосновение,1015,153
склад,1010,2081
синева,1002,115
тишина,1000,292
темнота,998,61
грязь,995,230
россия,983,65
частица,979,5655
ловушка,978,183
окно,975,688
взор,972,230
ливень,969,211
сияние,948,84
капли,938,121
печка,929,41
вихорь,929,297
тоска,927,81
атмосфера,914,215
ядро,914,3896
погреб,884,317
родник,833,129
пар,830,74
пленка,777,824
ясность,770,64
учтивость,763,58
речка,744,145
сумерки,743,48
бетон,740,52
крыло,737,51
эфир,725,91
ответ,725,61
цветок,713,406
рыба,709,165
сквозняк,707,659
форма,672,46
яма,659,63
вино,658,252
берег,643,1961
озноб,637,403
рассол,631,68
мысль,628,40
