noun,krasnyj,krasnovatyj
цвет,211226,14435
дерево,60328,52
пятно,57666,3821
краска,53128,329
свет,51442,6188
глина,38873,2993
звезда,37224,332
лицо,28208,1526
окраска,25192,3575
глаз,24286,1289
полоса,22978,920
цветок,22687,580
луч,18688,1316
огонь,17705,918
медь,17163,143
солнце,15336,509
песчаник,13170,903
фон,13068,536
нос,12954,594
охра,12916,227
водоросль,12319,46
огонек,11822,1285
гранит,10439,310
рука,10393,311
тон,9794,2428
точка,9765,588
полоска,9319,582
крыша,9008,46
черта,8951,66
пламень,8531,1011
камень,8373,725
язык,8268,79
ягода,8040,54
звездочка,7772,57
круг,7344,158
кожа,6937,333
окрашивание,6660,183
шар,6506,102
ангоб,6501,368
лампочка,6386,89
оттенок,6294,15038
золото,6273,169
лист,5938,506
плод,5869,58
песок,5167,1338
щека,5093,54
кайма,5010,309
зарево,4943,351
веко,4708,932
пигмент,4678,157
земля,4542,773
прожилка,4419,550
стена,4378,69
кристалл,4370,50
стекло,4177,43
отблеск,3887,2861
глазок,3885,526
свечение,3884,191
осадок,3748,134
искра,3545,211
жидкость,3388,816
пятнышко,3362,336
пыль,3292,1293
жилка,3118,474
скала,2642,655
отсвет,2604,1071
мрамор,2586,82
уголь,2570,56
диск,2515,200
небо,2463,256
порода,2410,90
румянец,2367,95
туман,2349,528
луна,2285,244
трава,2261,226
шерсть,2194,143
мергель,2173,66
вода,2147,523
почва,2119,212
борода,2099,43
облако,2093,317
палец,2067,88
след,2062,327
волос,2042,328
окно,1841,40
рубец,1836,131
блик,1737,582
известняк,1663,379
кольцо,1640,46
порошок,1633,41
крапинка,1444,159
сок,1404,72
гора,1403,127
край,1340,145
волна,1315,51
лес,1303,78
участок,1299,52
сосна,1285,69
ободок,1258,72
вспышка,1244,140
рисунок,1230,114
ствол,1184,551
блеск,1161,393
язычок,1139,88
масло,1113,89
суглинок,1065,631
носик,1047,52
масса,1024,132
дым,1002,186
кремень,1001,105
отлив,968,1206
поверхность,920,342
пена,901,105
сияние,874,271
мякоть,862,62
молния,853,110
плавник,847,90
слой,834,89
шрам,821,133
сыпь,813,45
обжиг,806,237
освещение,804,149
штрих,743,101
кора,728,370
туф,711,46
холм,699,47
налет,628,415
куст,614,62
тень,574,209
искорка,567,91
белка,485,195
жар,464,45
металл,401,86
основание,366,196
зрачок,360,40
волосок,342,189
вершина,335,176
марс,330,97
загар,305,265
обрыв,305,46
грязь,300,40
накал,289,164
мгла,275,381
сумрак,244,350
стебель,241,226
ветвь,220,123
древесина,219,90
побег,214,187
бронза,200,155
белок,191,63
кожица,179,44
сердцевина,170,47
листочек,154,76
корка,150,61
колорит,146,51
железка,145,62
подпалина,120,42
чешуйка,96,65
пар,95,47
щетина,93,42
полумрак,86,167
бородка,85,77
супесь,73,174
черешок,73,119
