noun,kroshechnyj,malenkij
кусочек,3213,26018
комнатка,2562,27739
комната,2247,42389
островок,1773,10380
фигурка,1696,16791
участок,1498,7505
домик,1432,38344
ребенок,1261,121793
окно,1073,10919
девочка,1052,58620
городок,1036,47451
окошко,944,8380
клочок,933,7221
точка,906,4982
человечек,836,23066
размер,827,9194
ручка,758,11093
ножка,758,8965
комнатушка,749,5334
квартирка,723,7409
глазок,711,14742
человек,686,119243
огонек,671,3020
садик,670,4285
головка,669,9862
уголок,667,3211
отверстие,643,8056
сцена,608,5355
частица,582,4756
кухня,535,2737
оконце,534,6785
каморка,529,2539
рука,515,19686
чашечка,511,3119
эпизод,494,6592
мальчик,486,37137
поселок,480,6471
окошечко,472,5346
пространство,449,2442
площадка,447,4241
часть,444,3694
пятачок,416,1378
тираж,414,2254
государство,394,9073
кабинет,388,5106
капелька,376,1521
личико,329,2043
осколок,323,1812
дворик,322,4421
помещение,320,3241
создание,319,807
глаз,319,11163
рассказ,318,12875
столик,317,19318
книжечка,315,7921
страна,306,13575
квартира,295,6803
остров,293,8163
деревушка,292,7699
прихожая,287,2429
доля,282,1441
комочек,279,2227
кучка,267,5702
пятнышко,264,1589
ротик,256,1226
лицо,252,4173
птичка,245,8034
рост,241,5630
носик,238,2167
пальчик,236,1309
клетушка,235,766
плацдарм,231,765
частичка,214,1743
надел,213,197
рюмка,212,1315
сын,211,27020
каюта,210,1092
порция,206,3205
заметка,202,5571
лампочка,196,3323
надежда,195,3197
листок,195,3236
место,194,1113
идейка,194,216
насекомое,189,609
избушка,186,3675
кабинетик,184,1108
фрагмент,182,2033
тело,182,4812
усик,179,2982
старушка,178,5627
дочка,178,12306
мастерская,177,511
узелок,177,2012
женщина,174,18710
меньшинство,173,199
планета,169,2242
город,168,21228
шажок,168,3987
щелочка,167,848
пузырек,165,1869
площадь,165,6069
полянка,165,1434
пруд,163,1727
цветок,163,1542
коробочка,163,2735
передняя,159,882
группа,159,18857
глоток,157,10033
шарик,156,3118
комнатенка,156,903
кусок,156,3453
ручеек,155,4403
чашка,155,1810
квадратик,155,1798
пауза,154,2005
звездочка,153,3030
шаг,153,3639
тельце,152,2444
буква,152,2706
капля,151,1910
отряд,151,8643
рот,149,6483
кулачок,144,2753
листочек,144,2968
камера,143,1736
пенсия,142,1586
котенок,142,1266
родинка,141,852
местечко,140,4756
букетик,138,1382
нос,137,2841
эстрада,137,1087
часы,134,592
хозяйство,131,3593
мушка,131,723
рассказик,129,1170
зверек,127,3065
истина,126,296
нога,125,4937
отрывок,125,2456
кухонька,124,1212
винтик,118,1408
переживание,117,90
часики,116,689
скамейка,116,729
старичок,116,6389
двор,115,2735
собачка,112,4687
платочек,112,527
ручонка,110,1380
оазис,110,811
ломтик,109,589
экран,108,1964
спальня,107,1183
городишко,107,3402
голова,107,11916
дом,104,8540
зернышко,103,881
рыбка,102,5222
язычок,101,1641
веснушка,101,85
самолет,100,3201
кружка,100,2535
гостиная,99,4599
флакончик,98,531
книжка,97,10012
слезинка,97,376
козырек,97,419
келья,94,988
фигура,92,3263
камешек,92,2365
пуговка,92,231
подбородок,92,1384
полоска,92,772
домишко,90,2553
дырочка,90,3069
шанс,89,555
театр,88,5001
рюмочка,88,1454
придаток,87,351
поле,87,1200
роль,87,6055
пакетик,87,1270
кружок,85,3327
кисть,85,704
растение,83,699
статейка,83,1170
дочь,83,7575
флигелек,80,765
номер,78,1126
шляпка,78,938
колокольчик,76,1938
палец,76,1532
губка,76,324
огород,75,1224
паровозик,75,662
реформа,75,144
движение,74,423
туфля,74,149
деревце,73,1566
деталь,73,3955
щель,71,411
соринка,70,53
стихотворение,70,4020
землянка,69,909
столовая,69,2209
ранка,69,694
мирок,68,3368
школьник,67,1559
уголек,66,290
ферма,66,1074
ключик,66,1193
волна,65,2009
буковка,65,380
сад,65,2527
республика,64,2944
личинка,64,431
след,64,947
копытце,64,262
деревенька,63,2965
щелка,63,640
оркестр,62,1608
песчинка,62,627
крепостца,62,302
сценка,61,2234
доза,61,1935
племянница,61,1151
микрофон,61,228
лапка,60,532
пылинка,60,235
самолетик,60,923
томик,60,2082
речка,60,7710
силуэт,59,354
зерно,59,563
состояние,59,489
облачко,58,1698
озерко,58,1487
звезда,57,1886
полустанок,57,1285
записка,57,2399
блокнотик,57,476
комок,57,612
срок,57,1094
песик,57,122
зарплата,56,1948
льдинка,56,313
палисадник,56,555
животное,56,1618
окурок,55,69
количество,55,1040
гостиница,55,3084
образок,54,763
факт,54,1386
санки,54,1448
лужайка,54,393
фонарик,54,1036
озеро,54,4627
искра,53,795
зрачок,53,209
чемоданчик,52,4352
ухо,52,3768
костер,52,1981
дитя,52,1152
червячок,52,608
морщинка,52,388
гарнизон,51,1860
холмик,51,2126
катер,50,1301
туфелька,50,193
член,50,503
кораблик,50,1266
искорка,50,1009
елочка,50,1700
трубочка,49,1082
заводик,49,943
станция,49,12455
стол,49,6187
лавчонка,47,1074
группка,47,2384
пятно,46,2641
территория,46,1166
письмо,46,2218
предмет,46,1582
селение,46,2746
мальчуган,46,485
магазинчик,46,1944
княжество,46,861
сказка,45,532
сумма,45,2080
болонка,45,156
зайчонок,45,399
отражение,45,66
горсточка,45,863
бугорок,45,3054
просвет,45,437
лодка,44,4804
крестик,44,1633
штучка,44,988
изображение,44,874
лодочка,44,1860
блокнот,44,908
туфельки,44,51
царство,44,884
лоскуток,43,611
флакон,43,303
балкон,43,518
ванная,43,65
мешочек,43,1901
племя,43,958
хата,43,454
башмачок,42,163
радуга,42,678
зеркальце,42,4489
усилие,42,714
подобие,42,260
минутка,42,136
муравей,42,350
лист,42,1224
коридорчик,42,921
здание,42,1055
кроватка,42,924
девчушка,41,948
палатка,41,1413
аппарат,41,540
тень,41,777
полуостров,41,270
цыпленок,41,720
кустик,40,1114
семя,40,74
значок,40,626
происшествие,40,1631
