noun,malenkij,kroshechnyj
ребенок,122709,1302
человек,120481,898
девочка,62541,1096
городок,51012,1036
комната,46267,2390
мальчик,39467,486
домик,39025,1432
рост,32830,707
комнатка,29222,2674
город,28535,168
сын,27884,211
столик,27766,559
кусочек,26102,3213
человечек,23441,836
группа,22128,245
рука,20736,563
женщина,19021,174
страна,18476,429
фигурка,17360,1736
рассказ,15307,318
глазок,15114,711
дочь,13816,135
глаз,13129,319
станция,12935,208
дочка,12703,178
голова,12415,157
дом,12138,104
ручка,11716,758
окно,11656,1125
книжка,11320,97
государство,11165,648
буква,10812,152
роль,10517,671
речка,10505,60
островок,10481,1773
головка,10218,721
глоток,10127,216
остров,9856,559
деревушка,9431,350
птичка,9405,317
ножка,9368,758
размер,9265,827
существо,9189,1443
отряд,8827,151
книжечка,8562,315
отверстие,8439,692
окошко,8380,944
участок,8110,1662
квартирка,7976,793
оконце,7796,1017
площадь,7617,347
церковь,7504,143
квартира,7414,295
клочок,7340,933
кучка,6908,315
поселок,6854,480
эпизод,6646,494
рот,6535,247
старичок,6520,116
стол,6406,49
часть,6386,741
кружок,6361,185
тело,6294,182
сцена,6177,664
заметка,6095,202
рыбка,6035,179
жизнь,5849,77
старушка,5692,178
мир,5638,133
комнатушка,5541,749
озеро,5474,54
окошечко,5418,472
кафе,5405,155
деталь,5393,235
точка,5365,983
зал,5291,206
сердце,5201,136
кабинет,5175,388
частица,5115,632
лодка,5105,44
театр,5105,88
нога,5072,125
зеркальце,5047,171
собачка,5034,112
гостиная,4948,99
местечко,4831,140
ухо,4761,52
площадка,4622,447
стихотворение,4558,70
дворик,4482,322
ручеек,4474,155
лицо,4436,252
садик,4400,670
чемоданчик,4352,52
мирок,4321,336
хозяйство,4227,131
избушка,4107,186
республика,4065,119
шажок,3987,168
шаг,3952,153
лампочка,3922,246
животное,3783,111
шарик,3771,219
солнце,3725,67
кусок,3677,156
гостиница,3674,55
порция,3590,206
чашечка,3551,575
городишко,3546,172
мастерская,3533,274
деревенька,3497,63
фигура,3489,92
помещение,3482,386
селение,3391,46
надежда,3378,195
уголок,3357,667
листок,3236,195
дырочка,3226,90
самолет,3201,100
звездочка,3163,153
кухня,3079,599
зверек,3065,127
бугорок,3054,45
усик,3045,179
