noun,syroj,vlazhnyj
земля,55379,15825
материал,52172,4238
вес,35400,1711
масса,20431,2479
вид,20250,601
продукт,18444,797
место,13678,12954
погода,13541,7762
вещество,12684,323
луг,10034,7399
руда,9622,204
глина,8909,2683
белок,7790,42
воздух,7650,36382
ветер,6188,8202
почва,5560,25636
кожа,5377,1296
песок,5105,12070
жир,4802,47
лес,4703,6380
трава,4548,3998
бензол,4399,122
стена,4261,881
туман,4039,1758
ткань,3703,2993
помещение,3485,671
ночь,3063,883
состояние,2795,14196
зерно,2581,3621
биомасса,2367,119
дерево,2295,407
штукатурка,2201,73
мгла,2176,694
уголь,2091,1154
лист,1912,1895
климат,1823,37088
снег,1773,2363
холод,1683,952
запах,1495,1963
участок,1446,2800
газ,1405,2045
грунт,1397,4004
низина,1379,435
берег,1361,1541
древесина,1319,1068
крахмал,1314,81
прохлада,1301,1976
смесь,1245,990
камера,1215,14947
мох,1197,2449
тьма,1155,520
корень,1099,158
соль,1079,3617
лето,1051,4470
год,1048,21190
осень,1030,1748
день,1026,966
ил,1016,356
доска,1014,102
камень,1000,1326
хлеб,986,547
время,985,931
угол,966,114
темнота,944,516
яма,894,62
бор,870,207
пятно,844,1809
солома,836,475
сок,828,53
одежда,818,440
утро,783,144
пища,779,52
ущелие,772,479
торф,751,736
шерсть,709,340
тряпка,684,3701
пол,675,227
местообитание,666,4137
ветка,661,261
вечер,633,203
скала,628,1286
белье,613,366
образец,597,2009
свежесть,581,1112
осадок,580,1193
местность,553,400
поле,530,599
листва,526,828
хлопок,511,292
небо,506,641
холодок,496,595
бумага,485,995
тень,482,657
грязь,440,107
ветерок,439,967
мрак,429,293
тишина,407,392
весна,395,2400
полумрак,394,63
поверхность,393,3244
топливо,391,500
кора,391,284
шинель,382,84
дорога,370,342
зима,366,1560
смола,353,110
сумерки,351,228
простыня,343,619
луговина,334,88
облако,327,422
сумрак,322,525
туча,309,172
пар,307,8019
концентрат,298,145
тундра,296,371
долина,293,597
хвоя,292,149
сено,283,489
семя,282,1157
постель,276,96
глубина,276,370
навоз,274,40
бетон,259,183
препарат,259,1103
известь,257,49
табак,256,106
дыхание,255,1936
полотенце,252,1715
эфир,241,1034
зелень,239,750
опилки,238,505
условие,237,7896
понижение,235,332
кусок,235,151
ком,235,345
улица,234,49
дорожка,225,229
скамья,218,74
асфальт,214,791
ложбина,212,65
атмосфера,212,8916
склон,211,1374
дым,211,467
лужайка,210,172
тип,204,1583
портянка,201,56
голос,200,297
клетка,200,121
гранула,198,127
опилка,197,1173
материя,196,136
тропинка,193,94
слой,191,4570
растение,191,90
початок,190,46
аргон,188,82
шихта,187,222
глаз,179,15482
грудь,174,219
сад,173,125
скамейка,173,45
рука,172,4027
ветвь,166,286
лицо,163,965
пастбище,163,84
заросль,161,124
комок,158,145
поляна,157,73
шкурка,155,85
ствол,153,266
дно,152,527
кукуруза,148,108
часть,144,1182
стебель,139,182
пласт,139,123
след,138,2151
корм,138,1315
тепло,137,1253
чернозем,137,242
ельник,136,127
снежок,131,47
сырье,129,199
хлопья,126,316
он,123,58
вата,122,795
ягода,121,41
тело,119,1775
пространство,117,347
сквозняк,116,47
степь,116,345
мицелий,115,104
сила,114,54
краска,113,41
мякоть,111,73
духота,109,987
клок,109,57
дух,106,195
пленка,106,630
боры,102,159
пелена,100,594
месяц,97,763
волос,96,3088
звук,95,263
порода,93,765
кристалл,92,202
стенка,92,246
кокс,82,75
борозда,81,179
суглинок,80,546
палуба,78,51
куст,76,208
проба,76,500
н,75,53
отходы,75,60
осадки,74,325
язык,73,647
волокно,73,46
мостовая,73,142
пыль,72,981
плащ,71,50
тяжесть,67,98
оттиск,66,79
струя,66,105
листок,65,40
прель,64,67
сукно,64,43
аромат,62,235
груда,61,41
перила,60,41
солончак,60,282
злак,59,115
полоса,59,447
отпечаток,58,96
гул,57,64
подстилка,57,437
газета,53,42
природа,53,126
платье,53,57
низменность,51,96
тропа,51,72
палец,51,1048
цветок,50,419
покров,50,176
страна,50,238
тряпочка,49,658
конец,49,41
брезент,48,51
испарение,47,557
красота,47,43
поток,46,252
она,46,45
голова,44,151
даль,44,78
теплота,43,445
равнина,42,149
пень,42,45
чернота,41,156
дерн,41,45
