noun,vlazhnyj,syroj
климат,36884,1494
воздух,35285,5208
почва,24578,5347
год,19443,1048
земля,15678,55379
состояние,14196,45
камера,14094,1093
место,11705,11086
песок,11142,4480
атмосфера,8916,212
глаз,8250,112
погода,7762,13541
ветер,7145,6188
условие,7014,237
луг,6174,7640
лес,5066,2043
слой,4520,191
материал,4174,51555
трава,3852,4497
местообитание,3602,582
зерно,3581,2500
тряпка,3484,684
соль,3448,787
грунт,3415,1241
рука,3308,118
волос,2763,96
лето,2651,919
глина,2609,8909
участок,2511,1446
поверхность,2459,393
мох,2335,1197
ткань,2292,3703
снег,2238,1704
масса,2138,20431
прохлада,1976,1301
запах,1963,1495
дыхание,1936,255
туман,1690,3227
газ,1688,1357
лист,1647,1912
полотенце,1629,135
вес,1625,33887
тип,1583,204
тело,1558,119
берег,1426,1178
весна,1401,395
склон,1374,211
опилки,1364,435
камень,1326,934
кожа,1296,3580
пятно,1235,590
образец,1186,597
день,1155,1026
уголь,1154,2091
препарат,1103,259
древесина,1068,1319
эфир,1034,241
часть,1022,71
бумага,995,485
духота,987,109
ветерок,967,439
скала,956,526
холод,952,1683
палец,937,51
время,931,912
лицо,920,163
свежесть,873,472
осень,872,465
смесь,835,1158
листва,828,526
пыль,828,72
асфальт,791,214
семя,755,193
торф,736,751
месяц,719,97
порода,713,93
мгла,694,2176
помещение,671,2259
зелень,662,185
тряпочка,658,49
язык,647,73
небо,641,439
след,638,86
ночь,606,2031
холодок,595,496
пелена,594,100
вата,548,122
хлеб,547,986
суглинок,546,80
сумрак,525,141
тьма,520,1155
стена,519,3238
темнота,516,944
пленка,512,106
топливо,500,391
сено,489,283
солома,475,836
дым,467,211
теплота,445,43
долина,441,293
одежда,440,818
подстилка,437,57
тень,436,313
простыня,421,239
ущелие,417,288
дерево,407,2295
местность,400,476
низина,388,1223
проба,385,76
испарение,375,47
глубина,370,223
белье,366,244
ил,356,1016
пространство,347,117
дно,338,152
осадки,325,74
вещество,323,12109
тундра,320,231
хлопья,316,126
поле,298,374
голос,297,200
продукт,296,18174
мрак,293,429
хлопок,292,511
дорога,289,246
бор,289,188
кора,284,391
понижение,283,235
шерсть,277,599
степь,273,116
ствол,266,153
звук,263,95
облако,253,175
цветок,250,50
чернозем,242,137
аромат,235,62
ком,233,235
сумерки,228,351
шихта,222,187
вечер,203,424
кристалл,202,92
сырье,199,129
стенка,199,92
солончак,197,60
страна,184,50
бетон,183,259
стебель,182,139
борозда,179,81
покров,176,50
лужайка,172,164
тишина,166,284
зима,165,321
куст,159,76
чернота,156,41
дорожка,155,151
кусок,151,235
поток,151,46
равнина,149,42
хвоя,149,292
концентрат,145,298
комок,145,158
утро,144,657
дух,143,106
материя,136,196
пол,129,491
гранула,127,198
руда,127,2629
природа,126,53
сад,125,173
пласт,123,139
бензол,122,4399
клетка,121,200
биомасса,119,2367
злак,115,59
угол,114,966
кто,112,41
ветвь,112,102
смола,110,353
кукуруза,108,148
грязь,107,440
табак,106,256
корень,106,1099
мицелий,104,115
отпечаток,96,58
тропинка,94,193
растение,90,191
луговина,88,278
пастбище,84,111
аргон,82,188
крахмал,81,1314
оттиск,79,66
ветка,75,371
скамья,74,218
штукатурка,73,2201
поляна,73,113
тропа,72,51
прель,67,64
ложбина,65,212
гул,64,57
полумрак,63,231
заросль,62,81
отходы,60,75
клок,57,109
ельник,55,136
грудь,54,174
сок,53,828
пища,52,779
брезент,51,48
палуба,51,78
струя,50,66
плащ,50,71
голова,49,44
улица,49,234
постель,49,276
известь,49,257
жир,47,4728
снежок,47,65
сквозняк,47,116
початок,46,190
пень,45,42
дерн,45,41
скамейка,45,173
сукно,43,64
красота,43,47
туча,42,54
тяжесть,42,67
газета,42,53
перила,41,60
груда,41,61
краска,41,113
конец,41,49
шинель,41,340
навоз,40,274
листок,40,65
