noun,bednyj,nischij,colour,code
человек,74508,3109,#1d0853,hum
крестьянство,70753,322,black,other
крестьянин,64341,1815,#1d0853,hum
слой,41929,44,#c2a38c,group
семья,32694,988,#1d0853,hum
женщина,28067,303,#1d0853,hum
девушка,26403,47,#8c19e9,hum:kin$/hum
страна,25474,3870,#1d472d,space
население,17904,744,#c5bf24,помещение объекта?
часть,16355,41,#703e83,poss
ребенок,15152,954,#1d0853,hum
народ,12837,1595,black,other
мать,12014,238,#1d0853,hum
вдова,10209,358,#1d0853,hum
мальчик,10054,721,#308430,animal$
девочка,9661,544,#308430,animal$
студент,9513,1232,#1d0853,hum
люд,9305,234,black,other
чиновник,8724,159,#1d0853,hum
старик,7919,2575,#1d0853,hum
сирота,6867,94,#1d0853,hum
жизнь,6519,1659,#08fc53,be:exist
брат,6096,296,#1d0853,hum
сердце,5766,51,#79acaa,psych:emot
родитель,5275,84,#807c99,hum:kin
дворянин,5234,95,#1d0853,hum
мужик,5227,1022,#1d0853,hum
еврей,5201,282,#2b7220,hum:etn
житель,5057,43,#1d0853,hum
квартал,4467,448,#1d472d,space
душа,4354,304,#1d0853,hum
отец,4129,163,#1d0853,hum
район,4032,62,#1d472d,space
дом,3915,405,#e96f47,org
старушка,3851,318,black,other
земля,3499,931,#1d472d,space
поэт,3432,567,#1d0853,hum
хозяйство,3306,58,#e96f47,org
хижина,3122,200,#78ae28,constr:@hut
старуха,3075,2495,#1d0853,hum
труженик,2999,70,#1d0853,hum
гражданин,2706,52,#1d0853,hum
парень,2498,47,#8c19e9,hum:kin$/hum
учитель,2452,137,#1d0853,hum
россия,2246,3692,black,other
художник,2227,374,#1d0853,hum
деревня,2106,2499,#1d0853,hum
государство,2022,257,#0ea7cc,org$/space
одежда,1996,129,#52865b,stuff
юг,1987,63,#1d472d,space
раб,1867,174,#1d0853,hum
рыбак,1853,97,#c9d7b6,hum/prof
странник,1776,1210,#1d0853,hum
рабочий,1739,87,#c9d7b6,hum/prof
комната,1672,80,#27d9f5,room
родина,1640,43,#1d472d,space
солдат,1529,118,#1d0853,hum
деревушка,1521,323,black,other
пастух,1514,183,#c9d7b6,hum/prof
масса,1505,351,#3ee231,quant:max
изба,1377,276,#f2719b,constr:@build
лазарь,1335,656,black,other
природа,1320,134,#1d472d,space
город,1250,247,#1d472d,space
мир,1233,88,#31e4b1,inter
князь,1214,83,#1d0853,hum
край,1168,201,#1d472d,space
он,1155,246,#8c19e9,hum:kin$/hum
ты,1060,54,black,other
я,1033,217,#1d0853,hum
дочь,1001,56,#308430,animal$
хата,999,233,black,other
музыкант,990,364,#c9d7b6,hum/prof
баба,900,63,#1d0853,hum
певец,886,485,#1d0853,hum
мы,844,621,black,other
лачуга,839,177,#7dae0d,constr
пес,788,191,#1d1d42,hum$
зверь,732,68,#1d1d42,hum$
русь,712,863,black,other
литератор,657,42,#c9d7b6,hum/prof
монах,655,357,#1d0853,hum
большинство,645,66,black,other
юность,622,175,#322d31,time:age
эмигрант,608,252,#1d0853,hum
село,589,126,#1d472d,space
детство,563,454,#0d34a1,time:period
существование,545,260,#08fc53,be:exist
мальчишка,542,191,#1d0853,hum
слово,541,49,#e93ddb,text
деревенька,521,45,black,other
старичок,520,136,black,other
царь,493,132,#1d0853,hum
актер,474,65,#1d0853,hum
горец,453,45,#1d0853,hum
девчонка,422,65,#1d0853,hum
племя,397,75,#e96f47,org
колхоз,391,44,#c2a38c,group
провинция,390,84,#1d472d,space
старец,387,559,#1d0853,hum
молодость,372,92,#322d31,time:age
они,371,112,black,other
переселенец,364,101,#1d0853,hum
дух,359,1613,#0b1d95,smell
мысль,350,89,#900c6f,ment
поле,335,167,#1d472d,space
вид,329,160,#900c6f,ment
доля,323,43,black,other
принц,294,47,#1d0853,hum
скиталец,291,48,#1d0853,hum
арендатор,290,45,#107aa2,hum/org
память,281,48,#900c6f,ment
быт,271,278,black,other
жилье,252,44,#27d9f5,room
калека,249,552,#1d0853,hum
дьячок,242,52,#1d0853,hum
братия,240,4615,black,other
батрак,237,173,#1d0853,hum
дед,234,52,#1d0853,hum
время,225,65,#0d34a1,time:period
странница,220,41,black,other
обитатель,202,157,#1d0853,hum
сума,202,590,#a46071,tool
скарб,198,49,black,other
счастие,197,43,black,other
интеллигент,195,43,#1d0853,hum
дикарь,190,54,#1d0853,hum
окраина,186,169,black,other
каморка,179,54,black,other
грешница,164,106,black,other
гений,162,41,#96b85e,hum:supernat
слепец,162,1208,#1d0853,hum
философ,154,179,#1d0853,hum
богач,147,57,#1d0853,hum
москва,135,48,black,other
год,125,104,#322d31,time:age
дура,124,57,#1d0853,hum
дурак,121,259,#262a82,game/cardgame
цыганка,118,64,black,other
дервиш,110,231,#1d0853,hum
угол,92,44,#1d472d,space
дурочка,85,53,black,other
образ,84,66,#204fa4,asp
старость,76,312,#1c93a6,concr
богомолец,73,62,#1d0853,hum
христос,68,76,#1d0853,hum
пенсионер,68,114,#1d0853,hum
скрипач,66,109,#c9d7b6,hum/prof
черница,65,173,black,other
толпа,56,202,#c2a38c,group
усадьба,46,42,#1d472d,space
красота,40,96,black,other
руда,13272,10,#52865b,stuff
родственник,11335,10,#807c99,hum:kin
класс,10736,10,#1187ed,hier/param
почва,10021,10,#47d12e,stuff/space
голова,5858,10,#1d0853,hum
друг,5091,10,#1d0853,hum
юноша,4545,10,#1d0853,hum
животное,4209,10,#1d1d42,hum$
жена,4147,10,#1d0853,hum
лиза,4064,10,black,other
группа,3829,10,#c2a38c,group
селение,3810,10,#1d472d,space
семейство,3705,10,#c2a38c,group
