noun,bednyj,nischij,colour,code
человек,74508,3109,#69445c,hum
крестьянство,70753,322,black,other
крестьянин,64341,1815,#69445c,hum
слой,41929,44,#671633,group
семья,32694,988,#69445c,hum
женщина,28067,303,#69445c,hum
девушка,26403,47,#22a063,hum:kin$/hum
страна,25474,3870,#aa66e3,space
население,17904,744,#719d92,помещение объекта?
часть,16355,41,#5623ce,poss
ребенок,15152,954,#69445c,hum
народ,12837,1595,black,other
мать,12014,238,#69445c,hum
вдова,10209,358,#69445c,hum
мальчик,10054,721,#0ed9af,animal$
девочка,9661,544,#0ed9af,animal$
студент,9513,1232,#69445c,hum
люд,9305,234,black,other
чиновник,8724,159,#69445c,hum
старик,7919,2575,#69445c,hum
сирота,6867,94,#69445c,hum
жизнь,6519,1659,#d4531c,be:exist
брат,6096,296,#69445c,hum
сердце,5766,51,#bb586e,psych:emot
родитель,5275,84,#74b801,hum:kin
дворянин,5234,95,#69445c,hum
мужик,5227,1022,#69445c,hum
еврей,5201,282,#14ba1f,hum:etn
житель,5057,43,#69445c,hum
квартал,4467,448,#aa66e3,space
душа,4354,304,#69445c,hum
отец,4129,163,#69445c,hum
район,4032,62,#aa66e3,space
дом,3915,405,#db1a90,org
старушка,3851,318,black,other
земля,3499,931,#aa66e3,space
поэт,3432,567,#69445c,hum
хозяйство,3306,58,#db1a90,org
хижина,3122,200,#f2466c,constr:@hut
старуха,3075,2495,#69445c,hum
труженик,2999,70,#69445c,hum
гражданин,2706,52,#69445c,hum
парень,2498,47,#22a063,hum:kin$/hum
учитель,2452,137,#69445c,hum
россия,2246,3692,black,other
художник,2227,374,#69445c,hum
деревня,2106,2499,#69445c,hum
государство,2022,257,#6e8dfe,org$/space
одежда,1996,129,#c4ec7e,stuff
юг,1987,63,#aa66e3,space
раб,1867,174,#69445c,hum
рыбак,1853,97,#864519,hum/prof
странник,1776,1210,#69445c,hum
рабочий,1739,87,#864519,hum/prof
комната,1672,80,#073bde,room
родина,1640,43,#aa66e3,space
солдат,1529,118,#69445c,hum
деревушка,1521,323,black,other
пастух,1514,183,#864519,hum/prof
масса,1505,351,#3bdece,quant:max
изба,1377,276,#1a32bc,constr:@build
лазарь,1335,656,black,other
природа,1320,134,#aa66e3,space
город,1250,247,#aa66e3,space
мир,1233,88,#53daa9,inter
князь,1214,83,#69445c,hum
край,1168,201,#aa66e3,space
он,1155,246,#22a063,hum:kin$/hum
ты,1060,54,black,other
я,1033,217,#69445c,hum
дочь,1001,56,#0ed9af,animal$
хата,999,233,black,other
музыкант,990,364,#864519,hum/prof
баба,900,63,#69445c,hum
певец,886,485,#69445c,hum
мы,844,621,black,other
лачуга,839,177,#fe2e0b,constr
пес,788,191,#b58bf2,hum$
зверь,732,68,#b58bf2,hum$
русь,712,863,black,other
литератор,657,42,#864519,hum/prof
монах,655,357,#69445c,hum
большинство,645,66,black,other
юность,622,175,#b58c69,time:age
эмигрант,608,252,#69445c,hum
село,589,126,#aa66e3,space
детство,563,454,#aafe8d,time:period
существование,545,260,#d4531c,be:exist
мальчишка,542,191,#69445c,hum
слово,541,49,#a52aa7,text
деревенька,521,45,black,other
старичок,520,136,black,other
царь,493,132,#69445c,hum
актер,474,65,#69445c,hum
горец,453,45,#69445c,hum
девчонка,422,65,#69445c,hum
племя,397,75,#db1a90,org
колхоз,391,44,#671633,group
провинция,390,84,#aa66e3,space
старец,387,559,#69445c,hum
молодость,372,92,#b58c69,time:age
они,371,112,black,other
переселенец,364,101,#69445c,hum
дух,359,1613,#bef282,smell
мысль,350,89,#ef7e93,ment
поле,335,167,#aa66e3,space
вид,329,160,#ef7e93,ment
доля,323,43,black,other
принц,294,47,#69445c,hum
скиталец,291,48,#69445c,hum
арендатор,290,45,#307359,hum/org
память,281,48,#ef7e93,ment
быт,271,278,black,other
жилье,252,44,#073bde,room
калека,249,552,#69445c,hum
дьячок,242,52,#69445c,hum
братия,240,4615,black,other
батрак,237,173,#69445c,hum
дед,234,52,#69445c,hum
время,225,65,#aafe8d,time:period
странница,220,41,black,other
обитатель,202,157,#69445c,hum
сума,202,590,#4e7b26,tool
скарб,198,49,black,other
счастие,197,43,black,other
интеллигент,195,43,#69445c,hum
дикарь,190,54,#69445c,hum
окраина,186,169,black,other
каморка,179,54,black,other
грешница,164,106,black,other
гений,162,41,#7f32c8,hum:supernat
слепец,162,1208,#69445c,hum
философ,154,179,#69445c,hum
богач,147,57,#69445c,hum
москва,135,48,black,other
год,125,104,#b58c69,time:age
дура,124,57,#69445c,hum
дурак,121,259,#baff66,game/cardgame
цыганка,118,64,black,other
дервиш,110,231,#69445c,hum
угол,92,44,#aa66e3,space
дурочка,85,53,black,other
образ,84,66,#7a3cdf,asp
старость,76,312,#2bd3cc,concr
богомолец,73,62,#69445c,hum
христос,68,76,#69445c,hum
пенсионер,68,114,#69445c,hum
скрипач,66,109,#864519,hum/prof
черница,65,173,black,other
толпа,56,202,#671633,group
усадьба,46,42,#aa66e3,space
красота,40,96,black,other
