noun,holodnyj,ledyanoj,colour,code
вода,280796,80109,#b02f3d,stuff/liq
воздух,64080,1719,#f8f0e3,space
ветер,62032,14249,#75bb40,weather
период,32372,158,#ac3977,text
зима,32011,425,#b869a8,time/time:season
пот,23568,488,#c64267,stuff
рука,19515,3447,#b8a02c,hum
дождь,18133,2486,#75bb40,weather
месяц,16460,85,#faa841,space/astr
ночь,16337,940,#5dd3cd,time
глаз,15569,2216,black,other
день,13954,116,#14c3a1,time:period
взгляд,12335,2643,#ab3785,ment
земля,10284,786,#f8f0e3,space
часть,10282,121,#5a9cd0,poss
звезда,9516,396,#fbb53f,sign/form
свет,9065,504,#b8a02c,hum
комната,8904,288,#606b2e,room
душ,8760,1722,#ae0a06,tool
камень,7730,495,#c07b5d,образование
расчет,7634,61,#dc5861,group
пламень,7549,198,black,other
небо,7406,663,#f8f0e3,space
струя,7235,2550,#5a117c,?
масса,7053,3751,#712856,quant:max
зона,7023,1436,#f8f0e3,space
палец,6921,1466,#ae0a06,tool
море,6860,1630,#712856,quant:max
тон,6742,5319,#2064ed,color
слой,6650,2144,#dc5861,group
туман,6484,973,#75bb40,weather
волна,6392,1508,#7f99c6,manif
блеск,6327,558,#c64267,stuff
стекло,6129,788,#c64267,stuff
почва,5730,264,#4f2333,stuff/space
стена,5506,4485,#869a6b,form/quant:max
сердце,5495,1414,#3f543e,psych:emot
поверхность,5490,5594,#f8f0e3,space
капля,5457,753,black,other
прием,5254,226,#9d05ed,action
страна,5240,412,#f8f0e3,space
пиво,5203,513,#3b723b,stuff/food/liq
лицо,5196,394,#f8f0e3,space
вид,5018,75,#ab3785,ment
солнце,4984,185,#f8f0e3,space
молоко,4948,225,#b02f3d,stuff/liq
стенка,4938,591,#eee8e0,tool:furn
пол,4910,757,#f8f0e3,space
область,4788,63,#f8f0e3,space
ванна,4506,1266,#ae0a06,tool
поток,4473,4054,#dc5861,group
тело,4451,2515,#27a431,thing
огонь,4434,529,#d2c6ef,manif:disease
металл,4385,165,#c64267,stuff
раствор,4348,261,#c64267,stuff
равнодушие,4230,900,black,other
роса,4139,466,#c64267,stuff
слово,3962,195,#ac3977,text
компресс,3940,404,#ae0a06,tool
кровь,3922,95,#b02f3d,stuff/liq
снег,3829,83,#75bb40,weather
дыхание,3794,2916,#ee4b5d,physiol
презрение,3733,443,#ac8b87,psych:emot?
пустыня,3535,8140,#f8f0e3,space
камера,3454,42,#f8f0e3,space
душа,3368,151,#b8a02c,hum
губа,3301,301,#606b2e,room
человек,3256,64,#b8a02c,hum
мир,3248,281,#fa2ec2,inter
эпоха,3101,80,#f7eb69,time:age/time:period
вечер,3067,47,#9d05ed,action
вод,3025,42,black,other
