noun,holodnyj,ledyanoj,colour,code
вода,280796,80109,#6ddbf8,stuff/liq
воздух,64080,1719,#35fce3,space
ветер,62032,14249,#b116de,weather
период,32372,158,#bef83e,text
зима,32011,425,#db83b9,time/time:season
пот,23568,488,#86c2f3,stuff
рука,19515,3447,#62d13f,hum
дождь,18133,2486,#b116de,weather
месяц,16460,85,#e3ecb6,space/astr
ночь,16337,940,#5db356,time
глаз,15569,2216,black,other
день,13954,116,#f9be73,time:period
взгляд,12335,2643,#394b42,ment
земля,10284,786,#35fce3,space
часть,10282,121,#4038a3,poss
звезда,9516,396,#471744,sign/form
свет,9065,504,#62d13f,hum
комната,8904,288,#5f6347,room
душ,8760,1722,#de17be,tool
камень,7730,495,#de33e7,образование
расчет,7634,61,#48cea7,group
пламень,7549,198,black,other
небо,7406,663,#35fce3,space
струя,7235,2550,#b0036f,?
масса,7053,3751,#ac34c7,quant:max
зона,7023,1436,#35fce3,space
палец,6921,1466,#de17be,tool
море,6860,1630,#ac34c7,quant:max
тон,6742,5319,#91b2aa,color
слой,6650,2144,#48cea7,group
туман,6484,973,#b116de,weather
волна,6392,1508,#7fa966,manif
блеск,6327,558,#86c2f3,stuff
стекло,6129,788,#86c2f3,stuff
почва,5730,264,#798d06,stuff/space
стена,5506,4485,#516c90,form/quant:max
сердце,5495,1414,#a2db00,psych:emot
поверхность,5490,5594,#35fce3,space
капля,5457,753,black,other
прием,5254,226,#ae89e2,action
страна,5240,412,#35fce3,space
пиво,5203,513,#e50b81,stuff/food/liq
лицо,5196,394,#35fce3,space
вид,5018,75,#394b42,ment
солнце,4984,185,#35fce3,space
молоко,4948,225,#6ddbf8,stuff/liq
стенка,4938,591,#887d12,tool:furn
пол,4910,757,#35fce3,space
область,4788,63,#35fce3,space
ванна,4506,1266,#de17be,tool
поток,4473,4054,#48cea7,group
тело,4451,2515,#8edaad,thing
огонь,4434,529,#1d87c2,manif:disease
металл,4385,165,#86c2f3,stuff
раствор,4348,261,#86c2f3,stuff
равнодушие,4230,900,black,other
роса,4139,466,#86c2f3,stuff
слово,3962,195,#bef83e,text
компресс,3940,404,#de17be,tool
кровь,3922,95,#6ddbf8,stuff/liq
снег,3829,83,#b116de,weather
дыхание,3794,2916,#f6db81,physiol
презрение,3733,443,#9f77b8,psych:emot?
пустыня,3535,8140,#35fce3,space
камера,3454,42,#35fce3,space
душа,3368,151,#62d13f,hum
губа,3301,301,#5f6347,room
человек,3256,64,#62d13f,hum
мир,3248,281,#dc318f,inter
эпоха,3101,80,#5165d3,time:age/time:period
вечер,3067,47,#ae89e2,action
вод,3025,42,black,other
дом,2913,2715,#0d6a62,org
дрожь,2896,430,#f6db81,physiol
река,2827,1832,#ac34c7,quant:max
трещина,2749,163,#35fce3,space
пустота,2706,337,#35fce3,space
ключ,2694,258,#4bcc7a,sign
улыбка,2686,288,#4d92ac,manif:emot
брызги,2628,1100,#86c2f3,stuff
испарина,2590,114,#86c2f3,stuff
ужас,2532,517,#a2db00,psych:emot
луч,2512,109,#35fce3,space
облако,2506,1221,black,other
край,2480,444,#35fce3,space
сырость,2442,511,black,other
пояс,2441,635,#35fce3,space
степь,2397,269,#35fce3,space
голос,2385,3470,#394b42,ment
квартира,2371,185,#35fce3,space
ладонь,2342,342,black,other
пар,2279,74,#86c2f3,stuff
струйка,2271,576,black,other
вежливость,2210,594,black,other
железо,2191,101,#86c2f3,stuff
зал,2169,79,#5f6347,room
мрак,2144,334,#fd7810,light/neg
постель,2118,373,#0c7aa7,tool:@bedding
лоб,2072,207,#62d13f,hum
спокойствие,2011,2193,#a2db00,psych:emot
песок,2010,59,#9cf90b,stuff/food
изба,1964,51,#9d541a,constr:@build
жидкость,1951,43,#6ddbf8,stuff/liq
подвал,1942,46,#5f6347,room
ярость,1937,59,#a2db00,psych:emot
сибирь,1900,140,black,other
безразличие,1899,206,black,other
мгла,1881,886,#fd7810,light/neg
ветерок,1871,362,black,other
молчание,1867,1392,black,other
север,1823,105,#35fce3,space
коридор,1773,244,#35fce3,space
луна,1767,94,#e3ecb6,space/astr
среда,1659,55,#35fce3,space
могила,1641,691,#62d13f,hum
плита,1638,801,#35fce3,space
фаза,1625,681,black,other
сон,1618,161,#f6db81,physiol
пленка,1609,1069,#86c2f3,stuff
глубина,1587,211,#f7bf85,degr
ручей,1581,400,#3c8cdc,space/reservoir
тьма,1561,404,#0eb506,numcoll
выражение,1549,233,#bef83e,text
влага,1487,341,#86c2f3,stuff
квас,1443,222,#e50b81,stuff/food/liq
грязь,1407,296,#86c2f3,stuff
пространство,1342,1457,#35fce3,space
смерть,1340,193,#ac34c7,quant:max
прикосновение,1318,219,#dd226d,контакт
ядро,1306,4670,#de17be,tool
ненависть,1301,126,black,other
сумрак,1300,42,#fbe290,light
печка,1286,41,#0443a5,tool:device
пыль,1283,1205,#86c2f3,stuff
усмешка,1276,81,#4d92ac,manif:emot
объятие,1261,747,#dd226d,контакт
слеза,1242,304,#86c2f3,stuff
вино,1218,336,#e50b81,stuff/food/liq
мурашки,1203,205,black,other
заря,1198,69,#8910fd,sound
ловушка,1198,258,#de17be,tool
озеро,1197,640,#3c8cdc,space/reservoir
мысль,1193,40,#394b42,ment
город,1187,210,#35fce3,space
океан,1187,407,#3c8cdc,space/reservoir
нога,1185,284,black,other
модель,1153,349,#8294f1,hum/prof
атмосфера,1138,215,#0b9026,unit
напиток,1113,170,#e50b81,stuff/food/liq
цвет,1088,47,#91b2aa,color
окно,1087,688,#5db356,time
водка,1084,425,#e50b81,stuff/food/liq
поле,1082,36639,#35fce3,space
сияние,1074,84,#fbe290,light
синева,1063,209,#91b2aa,color
карцер,1060,244,#5f6347,room
тоска,1041,81,#a2db00,psych:emot
простор,1018,2920,#b0036f,?
ирония,1016,68,#7d586a,psych
склад,1010,2081,#2e1957,constr:@hut
тишина,1000,402,#8a174d,sound/neg
темнота,998,61,#62d13f,hum
россия,983,65,black,other
частица,979,5903,black,other
взор,972,230,#abc734,ment?
ливень,969,211,#86c2f3,stuff
погреб,968,398,#da7b22,constr/room
родник,936,129,#9aa60d,space/spring
вихорь,929,297,black,other
смесь,926,175,#86c2f3,stuff
даль,924,44,#35fce3,space
водица,920,135,black,other
страх,890,114,#ac34c7,quant:max
температура,883,46,#56d2e8,temper/physiol
ясность,880,64,black,other
баня,880,3782,#58043d,org/constr:@build
высота,868,333,#97e4c3,size/param
речка,854,145,#3c8cdc,space/reservoir
учтивость,810,58,black,other
скала,797,999,#35fce3,space
каша,762,1508,#394b42,ment
сумерки,743,48,#06bcaa,weather/light
бетон,740,52,#86c2f3,stuff
тундра,737,149,#35fce3,space
крыло,737,51,black,other
ответ,725,61,#bef83e,text
эфир,725,91,#86c2f3,stuff
форма,722,46,#de17be,tool
цветок,713,406,#c06349,plant
рыба,709,508,#bef83e,text
сквозняк,707,659,#b116de,weather
лужа,699,234,#35fce3,space
полоса,686,341,#f9be73,time:period
тяжесть,686,45,#8edaad,thing
гора,678,15209,#35fce3,space
водичка,669,50,black,other
яма,659,141,#ce6721,room/constr:@build
грудь,654,118,black,other
берег,643,2394,#35fce3,space
шампанское,638,316,#e50b81,stuff/food/liq
озноб,637,403,#011910,physiol/manif:disease
рассол,631,68,#86c2f3,stuff
покой,609,204,#20b9da,psych/neg
жижа,597,294,#6ddbf8,stuff/liq
вершина,595,1960,black,other
оболочка,590,1918,#86c2f3,stuff
порыв,588,126,#76e8c4,impact
искра,572,62,#7fa966,manif
чувство,552,62,#a2db00,psych:emot
одиночество,533,265,black,other
прослойка,525,1094,#48cea7,group
кухня,503,67,#c1d783,food
безмолвие,487,1032,#18b38b,отсутствие
дуновение,480,105,#afb471,move
маска,476,282,#86c2f3,stuff
серебро,473,60,#86c2f3,stuff
спутник,467,469,#0443a5,tool:device
дуло,465,41,black,other
поцелуй,464,164,#b3154e,воздействие на человека
язык,462,911,#62d13f,hum
материал,457,558,#86c2f3,stuff
лапа,444,106,black,other
кусок,441,111,black,other
бездна,440,248,#ac34c7,quant:max
широта,433,55,#35fce3,space
пальчик,433,47,black,other
ток,432,46,#35fce3,space
окоп,427,197,#afbb37,space/constr
стол,424,44,#35fce3,space
дно,420,210,black,other
игла,409,2485,#2d3a06,hair$
отблеск,405,51,black,other
зеркало,402,319,#654075,param$
ступень,401,151,#8910fd,sound
бесстрастие,398,40,#85a834,humq
январь,395,43,#42f4c9,time:month
сок,386,61,#e50b81,stuff/food/liq
свежесть,385,115,#12fbf8,weather/temper
царство,384,634,#155d7c,org$/space
гладь,382,914,#c48d15,pattern
кипяток,363,97,#62d13f,hum
любезность,361,45,#29c8fa,speech
нева,359,57,black,other
пучина,359,228,#35fce3,space
кора,352,6668,#86c2f3,stuff
страсть,336,96,#f77dc7,workmus
кольцо,333,456,#3bcb0d,put
купание,331,67,black,other
ком,327,406,black,other
болото,321,143,#35fce3,space
глыба,319,7996,#839f14,stone
пластина,316,792,#e23ac1,form
дерево,312,65,#86c2f3,stuff
лимонад,309,167,#e50b81,stuff/food/liq
пещера,298,2637,#35fce3,space
одеяло,298,92,#0c7aa7,tool:@bedding
неподвижность,295,72,black,other
оцепенение,292,171,black,other
гряда,289,275,#e23ac1,form
ложе,288,209,#35fce3,space
он,278,150,#a387b9,hum:kin$/hum
тюрьма,277,202,#8fa5b7,constr
диск,270,70,#bc0582,tool/supporttext$
порода,264,461,#86c2f3,stuff
высь,261,55,#35fce3,space
образец,259,156,#62d13f,hum
броня,258,1609,#86c2f3,stuff
паркет,257,51,#35fce3,space
одежда,255,51,#86c2f3,stuff
купель,251,1312,black,other
крашение,249,101,black,other
твердость,246,51,black,other
комок,243,254,black,other
кровать,241,74,#887d12,tool:furn
плащ,233,43,#08055c,tool:cloth
нож,233,43,#18b812,tool:instr/tablesetting
равнина,218,1461,#35fce3,space
дорога,217,4929,#afb471,move
долина,213,49,#35fce3,space
площадь,209,60,#725be9,room/space
сфера,205,451,#f7a309,form:geom
глазок,200,46,#35fce3,space
бассейн,199,114,#35fce3,space
покров,197,97940,#0c7aa7,tool:@bedding
склон,196,883,#35fce3,space
кирпич,194,47,#4bcc7a,sign
путь,192,158,#0e60a9,asp
дыра,175,44,#35fce3,space
жилье,172,51,#5f6347,room
окрошка,166,84,#e50b81,stuff/food/liq
норд,164,108,#b116de,weather
звон,159,40,#29c8fa,speech
статуя,156,355,#923a2a,workart:скульт
вал,153,2080,#e23ac1,form
глубь,151,55,#35fce3,space
восторг,149,53,#a2db00,psych:emot
столб,148,854,#8fa5b7,constr
мурашка,147,50,#8c380b,animal
колонна,142,75,#8fa5b7,constr
решетка,142,66,#de17be,tool
холм,142,613,#35fce3,space
грань,142,42,#35fce3,space
свод,138,346,#bef83e,text
шар,137,307,#e23ac1,form
иголка,137,567,#2d3a06,hair$
колодец,134,149,#4fe9a4,constr/space
материк,132,1048,#35fce3,space
арктика,131,58,#35fce3,space
остров,127,6802,#35fce3,space
невозмутимость,119,46,black,other
дворец,117,1145,#8fa5b7,constr
кристалл,115,12699,black,other
образование,115,2951,#5a1761,spot
месиво,114,257,#b7cb02,stuff/food:fodder
твердь,114,170,#35fce3,space
муть,114,47,#86c2f3,stuff
осколок,113,955,black,other
комочек,111,152,black,other
омут,108,43,#35fce3,space
ад,108,379,#35fce3,space
саван,107,49,#049f29,tool:cloth$
чашка,106,42,#e23ac1,form
столбик,106,40,#e23ac1,form
поднебесье,104,44,#35fce3,space
