noun,hudoj,toschij,colour,code
лицо,18191,1152,#835bb4,space
земля,17166,1244,#835bb4,space
человек,15734,2297,#eae03e,hum
рука,13021,2332,#eae03e,hum
плечо,6370,622,#835bb4,space
дело,5409,53,#3b5c33,org
нога,5296,2429,black,other
женщина,4856,684,#eae03e,hum
шея,4612,2150,black,other
старик,3926,1104,#eae03e,hum
тело,3889,2330,#9a7f2b,thing
палец,3408,333,#f67963,tool
фигура,2716,3605,#eae03e,hum
мужчина,2559,451,#eae03e,hum
спина,1968,764,black,other
парень,1603,702,#f5d266,hum:kin$/hum
лошадь,1438,1192,#19444a,hum$
колено,1338,94,#f5869e,move
жена,1222,103,#eae03e,hum
мужик,1155,483,#eae03e,hum
грудь,1013,2120,black,other
мысль,905,114,#28a201,ment
старуха,873,283,#eae03e,hum
трава,857,376,#346b8e,plant
юноша,771,199,#eae03e,hum
собака,567,781,#205274,animal
конь,519,595,#f67963,tool
дерево,518,322,#4dc984,stuff
мальчик,503,87,#495137,animal$
бок,474,525,#835bb4,space
лошаденка,458,1385,black,other
он,444,136,#f5d266,hum:kin$/hum
баба,442,201,#eae03e,hum
кляча,431,1586,#19444a,hum$
ребенок,416,113,#eae03e,hum
пища,403,60,#4f3c3d,food
дама,382,252,#70f32d,tool/tool:card
год,376,148,#6aafda,time:age
коленка,367,52,black,other
корова,359,1727,#19444a,hum$
господин,339,65,#eae03e,hum
блондин,327,95,#eae03e,hum
солдат,309,173,#eae03e,hum
мешок,307,512,#eae03e,hum
офицер,278,59,#3027cb,tool/tool:game
подросток,278,58,#eae03e,hum
немец,272,190,#0893ba,hum:etn
мальчишка,263,60,#eae03e,hum
карман,262,550,#835bb4,space
живот,238,1277,#b35e86,be:exist
паренек,234,96,black,other
зад,225,1425,#835bb4,space
ребро,222,204,#835bb4,space
ножка,220,181,#f67963,tool
овца,196,206,#205274,animal
кошка,192,358,#205274,animal
старичок,179,200,black,other
фигурка,177,462,#9a7f2b,thing
старушка,176,45,black,other
плод,158,423,#dab053,результат?
крестьянин,156,44,#eae03e,hum
кобыла,153,61,#19444a,hum$
тельце,150,74,#4dc984,stuff
девица,144,246,#eae03e,hum
скотина,131,83,#19444a,hum$
птица,128,504,#19444a,hum$
монах,127,169,#eae03e,hum
человечек,124,256,black,other
бедро,120,387,black,other
пес,118,385,#19444a,hum$
почва,111,1487,#ff1ad6,stuff/space
кулак,102,93,#eae03e,hum
скот,93,530,#eae03e,hum
ляжка,91,187,black,other
кот,83,301,#19444a,hum$
еврей,76,95,#0893ba,hum:etn
волк,71,192,#205274,animal
мужичок,70,58,black,other
