noun,hudoj,toschij,colour,code
лицо,18191,1152,#689194,space
земля,17166,1244,#689194,space
человек,15734,2297,#3791e8,hum
рука,13021,2332,#3791e8,hum
плечо,6370,622,#689194,space
дело,5409,53,#b87ff5,org
нога,5296,2429,black,other
женщина,4856,684,#3791e8,hum
шея,4612,2150,black,other
старик,3926,1104,#3791e8,hum
тело,3889,2330,#d9cd3c,thing
палец,3408,333,#583f05,tool
фигура,2716,3605,#3791e8,hum
мужчина,2559,451,#3791e8,hum
спина,1968,764,black,other
парень,1603,702,#ca7e0c,hum:kin$/hum
лошадь,1438,1192,#4974df,hum$
колено,1338,94,#c8c3be,move
жена,1222,103,#3791e8,hum
мужик,1155,483,#3791e8,hum
грудь,1013,2120,black,other
мысль,905,114,#1d7d71,ment
старуха,873,283,#3791e8,hum
трава,857,376,#4ac124,plant
юноша,771,199,#3791e8,hum
собака,567,781,#cc2655,animal
конь,519,595,#583f05,tool
дерево,518,322,#811935,stuff
мальчик,503,87,#7f6fac,animal$
бок,474,525,#689194,space
лошаденка,458,1385,black,other
он,444,136,#ca7e0c,hum:kin$/hum
баба,442,201,#3791e8,hum
кляча,431,1586,#4974df,hum$
ребенок,416,113,#3791e8,hum
пища,403,60,#233f4a,food
дама,382,252,#b67647,tool/tool:card
год,376,148,#539c3d,time:age
коленка,367,52,black,other
корова,359,1727,#4974df,hum$
господин,339,65,#3791e8,hum
блондин,327,95,#3791e8,hum
солдат,309,173,#3791e8,hum
мешок,307,512,#3791e8,hum
офицер,278,59,#5d090a,tool/tool:game
подросток,278,58,#3791e8,hum
немец,272,190,#a38b87,hum:etn
мальчишка,263,60,#3791e8,hum
карман,262,550,#689194,space
живот,238,1277,#880b69,be:exist
паренек,234,96,black,other
зад,225,1425,#689194,space
ребро,222,204,#689194,space
ножка,220,181,#583f05,tool
овца,196,206,#cc2655,animal
кошка,192,358,#cc2655,animal
старичок,179,200,black,other
фигурка,177,462,#d9cd3c,thing
старушка,176,45,black,other
плод,158,423,#7712ee,результат?
крестьянин,156,44,#3791e8,hum
кобыла,153,61,#4974df,hum$
тельце,150,74,#811935,stuff
девица,144,246,#3791e8,hum
скотина,131,83,#4974df,hum$
птица,128,504,#4974df,hum$
монах,127,169,#3791e8,hum
человечек,124,256,black,other
бедро,120,387,black,other
пес,118,385,#4974df,hum$
почва,111,1487,#5916bf,stuff/space
кулак,102,93,#3791e8,hum
скот,93,530,#3791e8,hum
ляжка,91,187,black,other
кот,83,301,#4974df,hum$
еврей,76,95,#a38b87,hum:etn
волк,71,192,#cc2655,animal
мужичок,70,58,black,other
лошадка,67,150,#4e03e0,toy
икра,66,68,#87d04e,stuff/food
кость,64,46,#811935,stuff
скелет,63,45,black,other
верзила,63,87,#3791e8,hum
тень,62,194,#3791e8,hum
вид,61,218,#1d7d71,ment
студент,59,45,#3791e8,hum
девчонка,57,59,#3791e8,hum
кадык,56,41,black,other
свинья,53,86,#4974df,hum$
тип,50,58,#3791e8,hum
коза,45,279,#7f6fac,animal$
курица,43,209,#233f4a,food
сердце,42,280,#e80780,psych:emot
вол,40,101,#cc2655,animal
вещмешок,40,475,#583f05,tool
