noun,krasnyj,krasnovatyj,colour,code
цвет,211226,14435,#2effcc,color
дерево,60328,52,#dc7886,stuff
пятно,57666,3821,black,other
краска,53128,329,#600d96,impact
свет,51442,6188,#447e07,hum
глина,38873,2993,#dc7886,stuff
звезда,37224,332,#30ac6e,sign/form
лицо,28208,1526,#3ae1ff,space
окраска,25192,3575,#2effcc,color
глаз,24286,1289,black,other
полоса,22978,920,#16069c,time:period
цветок,22687,580,#e5935c,plant
луч,18688,1316,#3ae1ff,space
огонь,17705,918,#65f683,manif:disease
медь,17163,143,#dc7886,stuff
солнце,15336,509,#3ae1ff,space
песчаник,13170,903,#dc7886,stuff
фон,13068,536,#42c2b7,unit
нос,12954,594,black,other
охра,12916,227,#dc7886,stuff
водоросль,12319,46,#e5935c,plant
огонек,11822,1285,#dc7886,stuff
гранит,10439,310,#dc7886,stuff
рука,10393,311,#447e07,hum
тон,9794,2428,#2effcc,color
точка,9765,588,#179aa3,предел
полоска,9319,582,black,other
крыша,9008,46,black,other
черта,8951,66,#179aa3,предел
пламень,8531,1011,black,other
камень,8373,725,#e05478,образование
язык,8268,79,#447e07,hum
ягода,8040,54,#447e07,hum
звездочка,7772,57,#447e07,hum
круг,7344,158,#337194,form
кожа,6937,333,#dc7886,stuff
окрашивание,6660,183,black,other
шар,6506,102,#337194,form
ангоб,6501,368,black,other
лампочка,6386,89,#ac27ab,tool:device:@light
оттенок,6294,15038,#2effcc,color
золото,6273,169,#447e07,hum
лист,5938,506,#13fd9b,doc
плод,5869,58,#7781cd,результат?
песок,5167,1338,#9f4193,stuff/food
щека,5093,54,black,other
кайма,5010,309,#3ae1ff,space
зарево,4943,351,#7818ff,light
веко,4708,932,black,other
пигмент,4678,157,#dc7886,stuff
земля,4542,773,#3ae1ff,space
прожилка,4419,550,black,other
стена,4378,69,#edc788,form/quant:max
кристалл,4370,50,black,other
стекло,4177,43,#dc7886,stuff
отблеск,3887,2861,black,other
глазок,3885,526,#3ae1ff,space
свечение,3884,191,black,other
осадок,3748,134,#dc7886,stuff
искра,3545,211,#0f0ae2,manif
жидкость,3388,816,#c83e15,stuff/liq
пятнышко,3362,336,black,other
пыль,3292,1293,#dc7886,stuff
жилка,3118,474,black,other
скала,2642,655,#3ae1ff,space
отсвет,2604,1071,black,other
мрамор,2586,82,#dc7886,stuff
уголь,2570,56,#8bd31e,tool
диск,2515,200,#d2304e,tool/supporttext$
небо,2463,256,#3ae1ff,space
порода,2410,90,#dc7886,stuff
румянец,2367,95,#2effcc,color
туман,2349,528,#336b9b,weather
луна,2285,244,#3578fb,space/astr
трава,2261,226,#e5935c,plant
шерсть,2194,143,#dc7886,stuff
мергель,2173,66,#dc7886,stuff
вода,2147,523,#c83e15,stuff/liq
почва,2119,212,#1faba8,stuff/space
борода,2099,43,#4a0010,hair
облако,2093,317,black,other
палец,2067,88,#8bd31e,tool
след,2062,327,#325ef6,остаток
волос,2042,328,#dc7886,stuff
окно,1841,40,#72b286,time
рубец,1836,131,#56eaa7,food/блюдо
блик,1737,582,#7818ff,light
известняк,1663,379,#dc7886,stuff
кольцо,1640,46,#591e96,put
порошок,1633,41,#dc7886,stuff
крапинка,1444,159,black,other
сок,1404,72,#df96be,stuff/food/liq
гора,1403,127,#3ae1ff,space
край,1340,145,#3ae1ff,space
волна,1315,51,#0f0ae2,manif
лес,1303,78,#337194,form
участок,1299,52,#af7d78,org
сосна,1285,69,#e5935c,plant
ободок,1258,72,#3ae1ff,space
вспышка,1244,140,#ac27ab,tool:device:@light
рисунок,1230,114,#f3ca9a,внешний вид
ствол,1184,551,#8bd31e,tool
блеск,1161,393,#dc7886,stuff
язычок,1139,88,#8bd31e,tool
масло,1113,89,#dc7886,stuff
суглинок,1065,631,#dc7886,stuff
носик,1047,52,black,other
масса,1024,132,#d353af,quant:max
дым,1002,186,#dc7886,stuff
кремень,1001,105,#447e07,hum
отлив,968,1206,#2effcc,color
поверхность,920,342,#3ae1ff,space
пена,901,105,#dc7886,stuff
сияние,874,271,#7818ff,light
мякоть,862,62,#dc7886,stuff
молния,853,110,#8bd31e,tool
плавник,847,90,black,other
слой,834,89,#9bf24f,group
шрам,821,133,black,other
сыпь,813,45,black,other
