noun,krasnyj,krasnovatyj,colour,code
цвет,211226,14435,#5d7ac9,color
дерево,60328,52,#5c003d,stuff
пятно,57666,3821,black,other
краска,53128,329,#ffa0ff,impact
свет,51442,6188,#947060,hum
глина,38873,2993,#5c003d,stuff
звезда,37224,332,#fe2055,sign/form
лицо,28208,1526,#65b548,space
окраска,25192,3575,#5d7ac9,color
глаз,24286,1289,black,other
полоса,22978,920,#284dc6,time:period
цветок,22687,580,#0daa13,plant
луч,18688,1316,#65b548,space
огонь,17705,918,#019684,manif:disease
медь,17163,143,#5c003d,stuff
солнце,15336,509,#65b548,space
песчаник,13170,903,#5c003d,stuff
фон,13068,536,#89d9de,unit
нос,12954,594,black,other
охра,12916,227,#5c003d,stuff
водоросль,12319,46,#0daa13,plant
огонек,11822,1285,#5c003d,stuff
гранит,10439,310,#5c003d,stuff
рука,10393,311,#947060,hum
тон,9794,2428,#5d7ac9,color
точка,9765,588,#b1f118,предел
полоска,9319,582,black,other
крыша,9008,46,black,other
черта,8951,66,#b1f118,предел
пламень,8531,1011,black,other
камень,8373,725,#cba014,образование
язык,8268,79,#947060,hum
ягода,8040,54,#947060,hum
звездочка,7772,57,#947060,hum
круг,7344,158,#cf7af2,form
кожа,6937,333,#5c003d,stuff
окрашивание,6660,183,black,other
шар,6506,102,#cf7af2,form
ангоб,6501,368,black,other
лампочка,6386,89,#e4b31b,tool:device:@light
оттенок,6294,15038,#5d7ac9,color
золото,6273,169,#947060,hum
лист,5938,506,#9ed349,doc
плод,5869,58,#ef7217,результат?
песок,5167,1338,#8b3342,stuff/food
щека,5093,54,black,other
кайма,5010,309,#65b548,space
зарево,4943,351,#0757f4,light
веко,4708,932,black,other
пигмент,4678,157,#5c003d,stuff
земля,4542,773,#65b548,space
прожилка,4419,550,black,other
стена,4378,69,#7c0492,form/quant:max
кристалл,4370,50,black,other
стекло,4177,43,#5c003d,stuff
отблеск,3887,2861,black,other
глазок,3885,526,#65b548,space
свечение,3884,191,black,other
осадок,3748,134,#5c003d,stuff
искра,3545,211,#688a39,manif
жидкость,3388,816,#e8dc02,stuff/liq
пятнышко,3362,336,black,other
пыль,3292,1293,#5c003d,stuff
жилка,3118,474,black,other
скала,2642,655,#65b548,space
отсвет,2604,1071,black,other
мрамор,2586,82,#5c003d,stuff
уголь,2570,56,#f198fe,tool
диск,2515,200,#831096,tool/supporttext$
небо,2463,256,#65b548,space
порода,2410,90,#5c003d,stuff
румянец,2367,95,#5d7ac9,color
туман,2349,528,#fd3fce,weather
луна,2285,244,#467160,space/astr
трава,2261,226,#0daa13,plant
шерсть,2194,143,#5c003d,stuff
мергель,2173,66,#5c003d,stuff
вода,2147,523,#e8dc02,stuff/liq
почва,2119,212,#7f708b,stuff/space
борода,2099,43,#9493a5,hair
облако,2093,317,black,other
палец,2067,88,#f198fe,tool
след,2062,327,#9f72ed,остаток
волос,2042,328,#5c003d,stuff
окно,1841,40,#15da08,time
рубец,1836,131,#64f852,food/блюдо
блик,1737,582,#0757f4,light
известняк,1663,379,#5c003d,stuff
кольцо,1640,46,#d6d0a6,put
порошок,1633,41,#5c003d,stuff
крапинка,1444,159,black,other
сок,1404,72,#f21b65,stuff/food/liq
гора,1403,127,#65b548,space
край,1340,145,#65b548,space
волна,1315,51,#688a39,manif
лес,1303,78,#cf7af2,form
участок,1299,52,#e4f7c7,org
сосна,1285,69,#0daa13,plant
ободок,1258,72,#65b548,space
вспышка,1244,140,#e4b31b,tool:device:@light
рисунок,1230,114,#da83d7,внешний вид
ствол,1184,551,#f198fe,tool
блеск,1161,393,#5c003d,stuff
язычок,1139,88,#f198fe,tool
масло,1113,89,#5c003d,stuff
суглинок,1065,631,#5c003d,stuff
носик,1047,52,black,other
масса,1024,132,#acab6f,quant:max
дым,1002,186,#5c003d,stuff
кремень,1001,105,#947060,hum
отлив,968,1206,#5d7ac9,color
поверхность,920,342,#65b548,space
пена,901,105,#5c003d,stuff
сияние,874,271,#0757f4,light
мякоть,862,62,#5c003d,stuff
молния,853,110,#f198fe,tool
плавник,847,90,black,other
слой,834,89,#2ca7ad,group
шрам,821,133,black,other
сыпь,813,45,black,other
обжиг,806,237,black,other
освещение,804,149,#e2b1ff,ment
штрих,743,101,black,other
кора,728,370,#5c003d,stuff
туф,711,46,#5c003d,stuff
холм,699,47,#65b548,space
налет,628,415,#47185d,дополнитель
куст,614,62,#e4f7c7,org
тень,574,209,#947060,hum
искорка,567,91,black,other
белка,485,195,#8080f9,animal
жар,464,45,#94ee16,psych:emot
металл,401,86,#5c003d,stuff
основание,366,196,#5c003d,stuff
зрачок,360,40,black,other
волосок,342,189,#9493a5,hair
вершина,335,176,black,other
марс,330,97,black,other
загар,305,265,#a202f1,stuff$
обрыв,305,46,#65b548,space
грязь,300,40,#5c003d,stuff
накал,289,164,black,other
мгла,275,381,#796ec7,light/neg
сумрак,244,350,#0757f4,light
стебель,241,226,black,other
ветвь,220,123,black,other
древесина,219,90,#5c003d,stuff
побег,214,187,#9e7f8a,move
бронза,200,155,#5c003d,stuff
белок,191,63,#6ac760,stuff/thing
кожица,179,44,#5c003d,stuff
сердцевина,170,47,#5c003d,stuff
листочек,154,76,black,other
корка,150,61,#5c003d,stuff
колорит,146,51,#5d7ac9,color
железка,145,62,black,other
подпалина,120,42,black,other
чешуйка,96,65,#631dae,hair$
пар,95,47,#5c003d,stuff
щетина,93,42,#9493a5,hair
полумрак,86,167,#0757f4,light
бородка,85,77,#9493a5,hair
супесь,73,174,#5c003d,stuff
черешок,73,119,black,other
