noun,malenkij,kroshechnyj,colour,code
ребенок,122709,1302,#e7cb93,hum
человек,120481,898,#e7cb93,hum
девочка,62541,1096,#14cdea,animal$
городок,51012,1036,#a62bc2,tool
комната,46267,2390,#682f9d,room
мальчик,39467,486,#14cdea,animal$
домик,39025,1432,#178b72,constr:@build
рост,32830,707,#cc7cb0,physiol/param
комнатка,29222,2674,black,other
город,28535,168,#bcabd8,space
сын,27884,211,#b69e50,animal$@
столик,27766,559,#a8c140,tool:furn
кусочек,26102,3213,black,other
человечек,23441,836,black,other
группа,22128,245,#ef5046,group
рука,20736,563,#e7cb93,hum
женщина,19021,174,#e7cb93,hum
страна,18476,429,#bcabd8,space
фигурка,17360,1736,#a374e2,thing
рассказ,15307,318,#7b558d,speech
глазок,15114,711,#bcabd8,space
дочь,13816,135,#14cdea,animal$
глаз,13129,319,black,other
станция,12935,208,#6d5eff,tool:transp$/constr
дочка,12703,178,#e7cb93,hum
голова,12415,157,#e7cb93,hum
дом,12138,104,#d77d8b,org
ручка,11716,758,#4277c6,tool:instr
окно,11656,1125,#0e1f43,time
книжка,11320,97,#3907c2,doc
государство,11165,648,#495f97,org$/space
буква,10812,152,#022343,ment
роль,10517,671,#59f0b4,text
речка,10505,60,#1e8d3e,space/reservoir
островок,10481,1773,black,other
головка,10218,721,#ef5046,group
глоток,10127,216,black,other
остров,9856,559,#bcabd8,space
деревушка,9431,350,black,other
птичка,9405,317,#5f109c,sign
ножка,9368,758,#a62bc2,tool
размер,9265,827,#4fc2dc,degr
существо,9189,1443,#507e46,hum$/animal$/hum:supernat$/living
отряд,8827,151,#ef5046,group
книжечка,8562,315,black,other
отверстие,8439,692,#bcabd8,space
окошко,8380,944,#274f18,tool/space
участок,8110,1662,#d77d8b,org
квартирка,7976,793,black,other
оконце,7796,1017,black,other
площадь,7617,347,#174474,room/space
церковь,7504,143,#a406c3,constr
квартира,7414,295,#bcabd8,space
клочок,7340,933,black,other
кучка,6908,315,black,other
поселок,6854,480,#bcabd8,space
эпизод,6646,494,#59f0b4,text
рот,6535,247,#e7cb93,hum
старичок,6520,116,black,other
стол,6406,49,#bcabd8,space
часть,6386,741,#492150,poss
кружок,6361,185,#ef5046,group
тело,6294,182,#a374e2,thing
сцена,6177,664,#08fd61,speech/inter
заметка,6095,202,#59f0b4,text
рыбка,6035,179,#e7cb93,hum
жизнь,5849,77,#f3f721,be:exist
старушка,5692,178,black,other
мир,5638,133,#d99aac,inter
комнатушка,5541,749,black,other
озеро,5474,54,#1e8d3e,space/reservoir
окошечко,5418,472,black,other
кафе,5405,155,#d77d8b,org
деталь,5393,235,black,other
точка,5365,983,#7ce6e9,предел
зал,5291,206,#682f9d,room
сердце,5201,136,#7d7ae0,psych:emot
кабинет,5175,388,#ef5046,group
частица,5115,632,black,other
лодка,5105,44,#75a92c,tool:transp
театр,5105,88,#d77d8b,org
нога,5072,125,black,other
зеркальце,5047,171,black,other
собачка,5034,112,#a62bc2,tool
гостиная,4948,99,#682f9d,room
местечко,4831,140,#bcabd8,space
ухо,4761,52,#a62bc2,tool
площадка,4622,447,#bcabd8,space
стихотворение,4558,70,#59f0b4,text
дворик,4482,322,black,other
ручеек,4474,155,black,other
лицо,4436,252,#bcabd8,space
садик,4400,670,#d77d8b,org
чемоданчик,4352,52,black,other
мирок,4321,336,#ef5046,group
хозяйство,4227,131,#d77d8b,org
избушка,4107,186,black,other
республика,4065,119,#495f97,org$/space
шажок,3987,168,black,other
шаг,3952,153,#1c0892,param
лампочка,3922,246,#b2c94f,tool:device:@light
животное,3783,111,#478faf,hum$
шарик,3771,219,#702dab,animal
солнце,3725,67,#bcabd8,space
кусок,3677,156,black,other
гостиница,3674,55,#8ebdf4,org/constr:@build
порция,3590,206,#d66cb6,food
чашечка,3551,575,#aceef8,form
городишко,3546,172,black,other
мастерская,3533,274,#682f9d,room
деревенька,3497,63,black,other
фигура,3489,92,#e7cb93,hum
помещение,3482,386,#9e89b3,put
селение,3391,46,#bcabd8,space
надежда,3378,195,#e7cb93,hum
уголок,3357,667,#5f109c,sign
листок,3236,195,#3907c2,doc
дырочка,3226,90,black,other
самолет,3201,100,#75a92c,tool:transp
звездочка,3163,153,#e7cb93,hum
кухня,3079,599,#d66cb6,food
зверек,3065,127,#702dab,animal
бугорок,3054,45,black,other
усик,3045,179,#6ea0e5,hair
огонек,3020,671,#db9b1f,stuff
тельце,3018,434,#db9b1f,stuff
двор,2983,115,#d77d8b,org
листочек,2968,144,black,other
коробочка,2920,163,#31f886,fruit
планета,2918,169,#b57e28,space/astr
пауза,2882,206,#5f109c,sign
столовая,2874,69,#d77d8b,org
нос,2841,137,black,other
костер,2809,52,#bcabd8,space
пятно,2790,46,black,other
капля,2719,151,black,other
сад,2712,65,#d77d8b,org
каморка,2710,579,black,other
группка,2668,47,black,other
машина,2634,55,#75a92c,tool:transp
домишко,2593,90,black,other
пространство,2545,497,#bcabd8,space
записка,2515,57,#59f0b4,text
счастие,2511,62,black,other
пузырек,2462,210,#79a298,tool:dish
отрывок,2456,125,#59f0b4,text
прихожая,2429,287,#f1b107,room/tool:furn
подробность,2419,155,black,other
поле,2405,378,#bcabd8,space
камешек,2365,92,black,other
сценка,2345,61,#58ae77,workdram
школьник,2342,67,#e7cb93,hum
письмо,2310,46,#e1d614,asp
кулачок,2274,101,black,other
тираж,2254,414,black,other
сумма,2242,45,#84ea3a,результат
комочек,2227,279,black,other
носик,2167,238,black,other
узелок,2135,177,black,other
холмик,2126,51,black,other
лаборатория,2126,41,#d77d8b,org
зарплата,2115,56,black,other
личико,2109,329,black,other
томик,2082,60,black,other
волна,2076,65,#41db34,manif
доза,2035,61,#9db008,количество
фрагмент,2033,182,#59f0b4,text
звезда,2028,57,#c7e178,sign/form
чашка,2004,155,#aceef8,form
лодочка,1985,44,#439117,tool:cloth:@boot
экран,1964,108,#a62bc2,tool
собачонка,1949,42,black,other
магазинчик,1944,46,black,other
колокольчик,1938,76,#eb239e,plant
гарнизон,1910,51,#01dfc3,org/space
мешочек,1901,43,black,other
камера,1890,143,#bcabd8,space
капелька,1877,376,#e7cb93,hum
елочка,1861,50,#a69be8,pattern
облачко,1853,58,black,other
частичка,1842,214,black,other
озерко,1836,58,black,other
осколок,1812,323,black,other
доля,1809,369,black,other
квадратик,1798,155,black,other
происшествие,1781,40,#a6668d,?
деревце,1771,73,#eb239e,plant
пруд,1770,163,#1e8d3e,space/reservoir
палец,1769,76,#a62bc2,tool
сверток,1762,70,black,other
пенсия,1715,142,black,other
оркестр,1688,62,#ce82ff,space$
передняя,1657,159,#682f9d,room
язычок,1641,101,#a62bc2,tool
крестик,1633,44,black,other
цветок,1601,163,#eb239e,plant
пятнышко,1589,264,black,other
предмет,1582,46,#022343,ment
палатка,1573,41,#a406c3,constr
рюмочка,1556,148,black,other
полянка,1540,165,#bcabd8,space
племя,1513,43,#d77d8b,org
катер,1460,50,#75a92c,tool:transp
рюмка,1457,212,#79a298,tool:dish
санки,1448,54,#75a92c,tool:transp
ферма,1442,66,#d77d8b,org
спальня,1438,107,#682f9d,room
жалование,1430,60,black,other
винтик,1408,118,#e7cb93,hum
он,1401,121,#96b684,hum:kin$/hum
факт,1386,54,#022343,ment
подбородок,1384,92,black,other
букетик,1382,138,black,other
пристань,1381,41,#bece90,space/constr
ручонка,1380,110,black,other
пятачок,1378,416,#bcabd8,space
лист,1348,42,#3907c2,doc
кухонька,1345,124,black,other
статейка,1335,83,black,other
пальчик,1309,236,black,other
полустанок,1285,57,#bcabd8,space
пакетик,1270,87,black,other
котенок,1266,142,#478faf,hum$
кораблик,1266,50,black,other
