noun,malenkij,kroshechnyj,colour,code
ребенок,122709,1302,#78dbe9,hum
человек,120481,898,#78dbe9,hum
девочка,62541,1096,#07f262,animal$
городок,51012,1036,#74c0b1,tool
комната,46267,2390,#4dfa58,room
мальчик,39467,486,#07f262,animal$
домик,39025,1432,#bed186,constr:@build
рост,32830,707,#e846cd,physiol/param
комнатка,29222,2674,black,other
город,28535,168,#2f28fd,space
сын,27884,211,#958c69,animal$@
столик,27766,559,#67bafe,tool:furn
кусочек,26102,3213,black,other
человечек,23441,836,black,other
группа,22128,245,#e2e6a3,group
рука,20736,563,#78dbe9,hum
женщина,19021,174,#78dbe9,hum
страна,18476,429,#2f28fd,space
фигурка,17360,1736,#d997de,thing
рассказ,15307,318,#973955,speech
глазок,15114,711,#2f28fd,space
дочь,13816,135,#07f262,animal$
глаз,13129,319,black,other
станция,12935,208,#425c75,tool:transp$/constr
дочка,12703,178,#78dbe9,hum
голова,12415,157,#78dbe9,hum
дом,12138,104,#aa1df6,org
ручка,11716,758,#f4cc46,tool:instr
окно,11656,1125,#18631e,time
книжка,11320,97,#e81367,doc
государство,11165,648,#95febd,org$/space
буква,10812,152,#561551,ment
роль,10517,671,#75d18d,text
речка,10505,60,#c16cc0,space/reservoir
островок,10481,1773,black,other
головка,10218,721,#e2e6a3,group
глоток,10127,216,black,other
остров,9856,559,#2f28fd,space
деревушка,9431,350,black,other
птичка,9405,317,#23b4a1,sign
ножка,9368,758,#74c0b1,tool
размер,9265,827,#a6d2e0,degr
существо,9189,1443,#868524,hum$/animal$/hum:supernat$/living
отряд,8827,151,#e2e6a3,group
книжечка,8562,315,black,other
отверстие,8439,692,#2f28fd,space
окошко,8380,944,#cc7af0,tool/space
участок,8110,1662,#aa1df6,org
квартирка,7976,793,black,other
оконце,7796,1017,black,other
площадь,7617,347,#06e69b,room/space
церковь,7504,143,#ee6fde,constr
квартира,7414,295,#2f28fd,space
клочок,7340,933,black,other
кучка,6908,315,black,other
поселок,6854,480,#2f28fd,space
эпизод,6646,494,#75d18d,text
рот,6535,247,#78dbe9,hum
старичок,6520,116,black,other
стол,6406,49,#2f28fd,space
часть,6386,741,#107a35,poss
кружок,6361,185,#e2e6a3,group
тело,6294,182,#d997de,thing
сцена,6177,664,#6b9049,speech/inter
заметка,6095,202,#75d18d,text
рыбка,6035,179,#78dbe9,hum
жизнь,5849,77,#bac487,be:exist
старушка,5692,178,black,other
мир,5638,133,#40fa35,inter
комнатушка,5541,749,black,other
озеро,5474,54,#c16cc0,space/reservoir
окошечко,5418,472,black,other
кафе,5405,155,#aa1df6,org
деталь,5393,235,black,other
точка,5365,983,#bfcdd9,предел
зал,5291,206,#4dfa58,room
сердце,5201,136,#12128b,psych:emot
кабинет,5175,388,#e2e6a3,group
частица,5115,632,black,other
лодка,5105,44,#600980,tool:transp
театр,5105,88,#aa1df6,org
нога,5072,125,black,other
зеркальце,5047,171,black,other
собачка,5034,112,#74c0b1,tool
гостиная,4948,99,#4dfa58,room
местечко,4831,140,#2f28fd,space
ухо,4761,52,#74c0b1,tool
площадка,4622,447,#2f28fd,space
стихотворение,4558,70,#75d18d,text
дворик,4482,322,black,other
ручеек,4474,155,black,other
лицо,4436,252,#2f28fd,space
садик,4400,670,#aa1df6,org
чемоданчик,4352,52,black,other
мирок,4321,336,#e2e6a3,group
хозяйство,4227,131,#aa1df6,org
избушка,4107,186,black,other
республика,4065,119,#95febd,org$/space
шажок,3987,168,black,other
шаг,3952,153,#192e47,param
лампочка,3922,246,#8602c8,tool:device:@light
животное,3783,111,#5f5f3b,hum$
шарик,3771,219,#8bbbe1,animal
солнце,3725,67,#2f28fd,space
кусок,3677,156,black,other
гостиница,3674,55,#cdf79b,org/constr:@build
порция,3590,206,#ac4605,food
чашечка,3551,575,#f63392,form
городишко,3546,172,black,other
мастерская,3533,274,#4dfa58,room
деревенька,3497,63,black,other
фигура,3489,92,#78dbe9,hum
помещение,3482,386,#360613,put
селение,3391,46,#2f28fd,space
надежда,3378,195,#78dbe9,hum
уголок,3357,667,#23b4a1,sign
листок,3236,195,#e81367,doc
дырочка,3226,90,black,other
самолет,3201,100,#600980,tool:transp
звездочка,3163,153,#78dbe9,hum
кухня,3079,599,#ac4605,food
зверек,3065,127,#8bbbe1,animal
бугорок,3054,45,black,other
усик,3045,179,#468b4a,hair
огонек,3020,671,#eec5b0,stuff
тельце,3018,434,#eec5b0,stuff
двор,2983,115,#aa1df6,org
листочек,2968,144,black,other
коробочка,2920,163,#639374,fruit
планета,2918,169,#b80f29,space/astr
пауза,2882,206,#23b4a1,sign
столовая,2874,69,#aa1df6,org
нос,2841,137,black,other
костер,2809,52,#2f28fd,space
пятно,2790,46,black,other
капля,2719,151,black,other
сад,2712,65,#aa1df6,org
каморка,2710,579,black,other
группка,2668,47,black,other
машина,2634,55,#600980,tool:transp
домишко,2593,90,black,other
пространство,2545,497,#2f28fd,space
записка,2515,57,#75d18d,text
счастие,2511,62,black,other
пузырек,2462,210,#178a59,tool:dish
отрывок,2456,125,#75d18d,text
прихожая,2429,287,#aaaf3d,room/tool:furn
подробность,2419,155,black,other
поле,2405,378,#2f28fd,space
камешек,2365,92,black,other
сценка,2345,61,#f4b8b3,workdram
школьник,2342,67,#78dbe9,hum
письмо,2310,46,#e0db52,asp
кулачок,2274,101,black,other
тираж,2254,414,black,other
сумма,2242,45,#09c364,результат
комочек,2227,279,black,other
носик,2167,238,black,other
узелок,2135,177,black,other
холмик,2126,51,black,other
лаборатория,2126,41,#aa1df6,org
зарплата,2115,56,black,other
личико,2109,329,black,other
томик,2082,60,black,other
волна,2076,65,#646b70,manif
доза,2035,61,#369131,количество
фрагмент,2033,182,#75d18d,text
звезда,2028,57,#3182d8,sign/form
чашка,2004,155,#f63392,form
лодочка,1985,44,#d52881,tool:cloth:@boot
экран,1964,108,#74c0b1,tool
собачонка,1949,42,black,other
магазинчик,1944,46,black,other
колокольчик,1938,76,#96ca56,plant
гарнизон,1910,51,#23f1fd,org/space
мешочек,1901,43,black,other
камера,1890,143,#2f28fd,space
капелька,1877,376,#78dbe9,hum
елочка,1861,50,#a19454,pattern
облачко,1853,58,black,other
частичка,1842,214,black,other
озерко,1836,58,black,other
осколок,1812,323,black,other
доля,1809,369,black,other
квадратик,1798,155,black,other
происшествие,1781,40,#5c64af,?
деревце,1771,73,#96ca56,plant
пруд,1770,163,#c16cc0,space/reservoir
палец,1769,76,#74c0b1,tool
сверток,1762,70,black,other
пенсия,1715,142,black,other
оркестр,1688,62,#cdc1ae,space$
передняя,1657,159,#4dfa58,room
язычок,1641,101,#74c0b1,tool
крестик,1633,44,black,other
цветок,1601,163,#96ca56,plant
пятнышко,1589,264,black,other
предмет,1582,46,#561551,ment
палатка,1573,41,#ee6fde,constr
рюмочка,1556,148,black,other
полянка,1540,165,#2f28fd,space
племя,1513,43,#aa1df6,org
катер,1460,50,#600980,tool:transp
рюмка,1457,212,#178a59,tool:dish
санки,1448,54,#600980,tool:transp
ферма,1442,66,#aa1df6,org
спальня,1438,107,#4dfa58,room
жалование,1430,60,black,other
винтик,1408,118,#78dbe9,hum
он,1401,121,#81707a,hum:kin$/hum
факт,1386,54,#561551,ment
подбородок,1384,92,black,other
букетик,1382,138,black,other
пристань,1381,41,#647c12,space/constr
ручонка,1380,110,black,other
пятачок,1378,416,#2f28fd,space
лист,1348,42,#e81367,doc
кухонька,1345,124,black,other
статейка,1335,83,black,other
пальчик,1309,236,black,other
полустанок,1285,57,#2f28fd,space
пакетик,1270,87,black,other
котенок,1266,142,#5f5f3b,hum$
кораблик,1266,50,black,other
трубочка,1262,49,#5acf4a,food/изделие
дитя,1244,52,#78dbe9,hum
лавчонка,1240,47,black,other
здание,1239,42,#ee6fde,constr
тень,1238,107,#78dbe9,hum
ротик,1226,256,black,other
огород,1224,75,#934ea6,space/plot
княжество,1219,46,#95febd,org$/space
каюта,1215,210,#4dfa58,room
эстрада,1215,137,#2f28fd,space
территория,1211,190,#2f28fd,space
место,1211,194,#74c0b1,tool
номер,1208,78,#c72b88,sign/tool
ключик,1193,66,black,other
племянница,1192,61,#3350f2,hum:kin
царство,1181,44,#95febd,org$/space
рассказик,1170,129,black,other
искорка,1166,50,black,other
количество,1154,55,#799977,quant
щель,1153,71,#647c12,space/constr
отрезок,1139,83,#2f28fd,space
кустик,1114,40,black,other
кабинетик,1108,184,black,other
штучка,1099,44,#78dbe9,hum
срок,1094,57,#6b5af6,time:moment
искра,1076,117,#646b70,manif
кроватка,1068,42,black,other
келья,1060,94,#4dfa58,room
землянка,1038,69,#4dfa58,room
фонарик,1036,54,black,other
девчушка,1035,41,black,other
кисть,1030,85,#ac4605,food
пламень,1009,119,black,other
горсточка,992,45,black,other
шляпка,980,78,#1b9e19,tool:cloth
комнатенка,948,156,black,other
след,947,64,#ff0659,остаток
заводик,943,49,black,other
изображение,928,44,#e2e43a,workart
самолетик,923,60,black,other
коридорчик,921,42,black,other
родинка,917,141,black,other
блокнот,908,44,#fde8b4,book
щелочка,896,167,black,other
зернышко,881,103,black,other
создание,876,364,#724182,hum:supernat
ранка,860,69,black,other
образок,836,54,black,other
полоска,820,92,black,other
оазис,811,110,#2f28fd,space
усилие,776,42,#5c64af,?
растение,773,83,#96ca56,plant
мушка,767,131,#708ce1,spot
клетушка,766,235,#4dfa58,room
плацдарм,765,231,#2f28fd,space
флигелек,765,80,black,other
скамейка,729,116,#3ed3ed,tool:furn/tool
