noun,syroj,mokryj,colour,code
земля,55379,13888,#afed9d,space
масса,20431,131,#8ce06a,quant:max
вид,20250,999,#3b3124,ment
место,13678,12946,#8784a7,tool
погода,13541,1772,#e81d24,weather
луг,10034,3358,#afed9d,space
глина,8909,4651,#619d85,stuff
вода,8898,176,#ef8c92,stuff/liq
воздух,7650,522,#afed9d,space
ветер,6188,2548,#e81d24,weather
почва,5560,938,#a4a468,stuff/space
кожа,5377,1104,#619d85,stuff
песок,5105,11426,#97b3fc,stuff/food
лес,4703,1533,#081625,form
трава,4548,15054,#8f42a9,plant
подвал,4283,46,#741f29,room
стена,4261,1900,#82678c,form/quant:max
дрова,4114,374,black,other
туман,4039,955,#e81d24,weather
ткань,3703,952,#619d85,stuff
помещение,3485,130,#e85785,put
ночь,3063,458,#86fa21,time
состояние,2795,2251,#129e08,psych/physiol
зерно,2581,116,#84cc4d,food
дерево,2295,3009,#619d85,stuff
штукатурка,2201,671,#619d85,stuff
мгла,2176,387,#e093b1,light/neg
уголь,2091,216,#8784a7,tool
лист,1912,4988,#1ae91f,doc
снег,1773,40380,#e81d24,weather
картошка,1766,74,#8f42a9,plant
холод,1683,344,#e380fb,manif:emot
зола,1679,102,#619d85,stuff
комната,1662,40,#741f29,room
запах,1495,112,#2704eb,smell
участок,1446,142,#18e076,org
грунт,1397,1016,#619d85,stuff
низина,1379,94,#afed9d,space
берег,1361,342,#afed9d,space
древесина,1319,241,#619d85,stuff
кирпич,1277,116,#b4a669,sign
окоп,1273,298,#d82724,space/constr
резина,1208,103,#619d85,stuff
мох,1197,786,#8f42a9,plant
тьма,1155,582,#43dee8,numcoll
корень,1099,110,black,other
соль,1079,332,#619d85,stuff
лето,1051,622,#bce303,time/time:season
год,1048,229,#252eaf,time:age
осень,1030,661,#bce303,time/time:season
день,1026,573,#b9b2b1,time:period
ил,1016,116,#619d85,stuff
доска,1014,2356,#8784a7,tool
камень,1000,3848,#f9b4c4,образование
хлеб,986,454,#338c66,poss$
время,985,320,#b9b2b1,time:period
угол,966,254,#afed9d,space
темнота,944,286,#3e126a,hum
шкура,926,197,#3e126a,hum
яма,894,154,#365778,room/constr:@build
пятно,844,3960,black,other
полено,839,230,black,other
солома,836,1237,#396663,food:fodder
одежда,818,9684,#619d85,stuff
овраг,807,52,#afed9d,space
утро,783,156,#04b960,action
торф,751,176,#619d85,stuff
шерсть,709,1530,#619d85,stuff
тряпка,684,15560,#3e126a,hum
пол,675,1849,#afed9d,space
ветка,661,2356,#afed9d,space
вечер,633,111,#04b960,action
бревно,629,1134,#8784a7,tool
скала,628,641,#afed9d,space
белье,613,4661,black,other
образец,597,77,#3e126a,hum
свежесть,581,53,#061b1c,weather/temper
капуста,575,44,#8f42a9,plant
поле,530,1268,#afed9d,space
листва,526,2295,black,other
небо,506,848,#afed9d,space
холодок,496,66,black,other
бумага,485,1253,#619d85,stuff
тень,482,42,#3e126a,hum
грязь,440,818,#619d85,stuff
мрак,429,43,#e093b1,light/neg
весна,395,249,#bce303,time/time:season
поверхность,393,684,#afed9d,space
кора,391,590,#619d85,stuff
шинель,382,2117,#602a14,tool:cloth
дом,371,144,#18e076,org
дорога,370,2044,#52da2b,move
зима,366,182,#bce303,time/time:season
железо,359,412,#619d85,stuff
шелк,358,97,#619d85,stuff
сумерки,351,129,#dd41c8,weather/light
простыня,343,2489,#6a4116,tool:@bedding/linen
яблоко,338,98,#03179a,fruit/food
луговина,334,41,#afed9d,space
облако,327,332,black,other
сумрак,322,48,#734f4b,light
туча,309,320,#8ce06a,quant:max
пар,307,167,#619d85,stuff
металл,303,42,#619d85,stuff
тундра,296,434,#afed9d,space
болото,295,384,#afed9d,space
хвоя,292,372,black,other
сено,283,514,#b7b758,stuff/food:fodder
темень,283,90,#e093b1,light/neg
постель,276,226,#e1f390,tool:@bedding
навоз,274,144,#619d85,stuff
овчина,272,196,#619d85,stuff
сук,262,245,black,other
человек,260,943,#3e126a,hum
бетон,259,415,#619d85,stuff
препарат,259,114,#619d85,stuff
табак,256,71,#8f42a9,plant
полотенце,252,9187,#eb8e38,linen/tool
шахта,244,55,#afed9d,space
зелень,239,803,#84cc4d,food
опилки,238,313,black,other
условие,237,379,#0baa82,причина
кусок,235,271,black,other
ком,235,483,black,other
улица,234,2046,#afed9d,space
сапог,232,2165,#6d05af,tool:cloth:@boot
товар,231,48,#5024a9,thing
дорожка,225,1050,#8784a7,tool
кустарник,220,217,#8f42a9,plant
скамья,218,400,#d30018,tool:furn/tool
асфальт,214,8151,#afed9d,space
склон,211,72,#afed9d,space
тип,204,442,#3e126a,hum
портянка,201,905,#602a14,tool:cloth
голос,200,69,#3b3124,ment
опилка,197,252,black,other
тропинка,193,162,#afed9d,space
слой,191,124,#8aaf6d,group
водоросль,187,181,#8f42a9,plant
известка,182,66,#619d85,stuff
глаз,179,7363,black,other
тайга,179,52,#afed9d,space
хворост,178,99,#954c29,food/изделие
грудь,174,414,black,other
сад,173,917,#18e076,org
скамейка,173,689,#d30018,tool:furn/tool
рука,172,7897,#3e126a,hum
ветвь,166,1373,black,other
лицо,163,11559,#afed9d,space
заросль,161,187,#afed9d,space
траншея,158,202,#d82724,space/constr
комок,158,387,black,other
ствол,153,904,#8784a7,tool
сахар,152,179,#619d85,stuff
дно,152,252,black,other
рассвет,148,72,#86fa21,time
часть,144,446,#dc0fa8,poss
гниль,142,2256,#97b3fc,stuff/food
город,139,222,#afed9d,space
стебель,139,138,black,other
пласт,139,52,black,other
след,138,4097,#32d765,остаток
снежок,131,588,#8784a7,tool
хлопья,126,1986,#97b3fc,stuff/food
он,123,193,#e705f2,hum:kin$/hum
вата,122,939,#619d85,stuff
рожь,122,212,#21b2d1,fruit
ягода,121,49,#3e126a,hum
тело,119,2713,#5024a9,thing
степь,116,200,#afed9d,space
щепка,112,81,black,other
валежник,110,56,black,other
клок,109,162,black,other
пленка,106,139,#619d85,stuff
пелена,100,343,#619d85,stuff
волос,96,12148,#619d85,stuff
звук,95,57,#4b0d11,speech?
шпала,93,42,#b4a669,sign
стенка,92,122,#0358ce,tool:furn
аллея,88,164,#afed9d,space
крупа,88,64,#619d85,stuff
карцер,87,48,#741f29,room
тротуар,84,1697,#afed9d,space
береза,83,156,#8f42a9,plant
изба,82,59,#663bc3,constr:@build
щель,81,49,#d82724,space/constr
суглинок,80,92,#619d85,stuff
валенок,79,863,#6d05af,tool:cloth:@boot
палуба,78,1212,#94d61c,constr:настил
палатка,77,140,#0d1d2d,constr
куст,76,2258,#18e076,org
отходы,75,110,black,other
лестница,74,111,#0d1d2d,constr
язык,73,478,#3e126a,hum
мостовая,73,1655,#afed9d,space
пыль,72,983,#619d85,stuff
плащ,71,2786,#602a14,tool:cloth
нога,71,3671,black,other
брюки,69,665,#602a14,tool:cloth
сосна,68,294,#8f42a9,plant
я,67,89,#3e126a,hum
курица,67,6331,#84cc4d,food
тяжесть,67,69,#5024a9,thing
рубаха,65,1642,#602a14,tool:cloth
