noun,vlazhnyj,mokryj,colour,code
воздух,36382,522,#2e58bf,space
почва,25636,938,#9e1aa6,stuff/space
год,21190,229,#a25f2e,time:age
земля,15825,13888,#2e58bf,space
глаз,15482,7363,black,other
состояние,14196,2251,#4cc757,psych/physiol
место,12954,12946,#51e41b,tool
песок,12070,11426,#6559ee,stuff/food
ветер,8202,2548,#f6d59c,weather
пар,8019,167,#555aa4,stuff
условие,7896,379,#2514f1,причина
погода,7762,1772,#f6d59c,weather
луг,7399,3358,#2e58bf,space
лес,6380,1533,#e2beb4,form
губа,5407,4679,#a736da,room
слой,4570,124,#2b5fa4,group
лето,4470,622,#2143b2,time/time:season
рука,4027,7897,#ed5c19,hum
грунт,4004,1016,#555aa4,stuff
трава,3998,15054,#78a304,plant
тряпка,3701,15560,#ed5c19,hum
зерно,3621,116,#f71b76,food
соль,3617,332,#555aa4,stuff
поверхность,3244,684,#2e58bf,space
волос,3088,12148,#555aa4,stuff
блеск,3025,400,#555aa4,stuff
ткань,2993,952,#555aa4,stuff
лоб,2955,3972,#ed5c19,hum
участок,2800,142,#94eec9,org
глина,2683,4651,#555aa4,stuff
уборка,2577,190,#a48547,action
масса,2479,131,#92b011,quant:max
мох,2449,786,#78a304,plant
весна,2400,249,#2143b2,time/time:season
снег,2363,40380,#f6d59c,weather
след,2151,4097,#bedad1,остаток
образец,2009,77,#ed5c19,hum
запах,1963,112,#e527c6,smell
ладонь,1922,2521,black,other
лист,1895,4988,#3f5d54,doc
пятно,1809,3960,black,other
тело,1775,2713,#291491,thing
туман,1758,955,#f6d59c,weather
осень,1748,661,#2143b2,time/time:season
полотенце,1715,9187,#b67e0d,linen/tool
тип,1583,442,#ed5c19,hum
зима,1560,182,#2143b2,time/time:season
берег,1541,342,#2e58bf,space
склон,1374,72,#2e58bf,space
нос,1362,3084,black,other
камень,1326,3848,#e119e3,образование
кожа,1296,1104,#555aa4,stuff
скала,1286,641,#2e58bf,space
рот,1211,943,#ed5c19,hum
часть,1182,446,#1a378e,poss
опилка,1173,252,black,other
уголь,1154,216,#51e41b,tool
способ,1128,7293,#9ea46b,asp
свежесть,1112,53,#efb3dd,weather/temper
препарат,1103,114,#555aa4,stuff
древесина,1068,241,#555aa4,stuff
палец,1048,2273,#51e41b,tool
бумага,995,1253,#555aa4,stuff
пыль,981,983,#555aa4,stuff
день,966,573,#1b98c1,time:period
лицо,965,11559,#2e58bf,space
холод,952,344,#7d1f52,manif:emot
время,931,320,#1b98c1,time:period
ночь,883,458,#297e92,time
стена,881,1900,#a31326,form/quant:max
губка,869,1538,#51e41b,tool
салфетка,849,481,#4e5f9a,linen
листва,828,2295,black,other
хранение,824,220,black,other
вата,795,939,#555aa4,stuff
зуб,792,76,#51e41b,tool
асфальт,791,8151,#2e58bf,space
зелень,750,803,#f71b76,food
торф,736,176,#555aa4,stuff
режим,730,223,#fd9087,time?
ноздря,716,214,black,other
мгла,694,387,#2a1583,light/neg
термометр,684,1747,#978439,tool:device:@measur:metr
помещение,671,130,#601802,put
тряпочка,658,752,black,other
тень,657,42,#ed5c19,hum
язык,647,478,#ed5c19,hum
небо,641,848,#2e58bf,space
марля,634,251,#555aa4,stuff
пленка,630,139,#555aa4,stuff
простыня,619,2489,#12a82f,tool:@bedding/linen
щека,601,4128,black,other
вид,601,999,#04a42e,ment
поле,599,1268,#2e58bf,space
холодок,595,66,black,other
пелена,594,343,#555aa4,stuff
хлеб,547,454,#04333e,poss$
суглинок,546,92,#555aa4,stuff
дно,527,252,black,other
сумрак,525,48,#210adb,light
тьма,520,582,#fce51a,numcoll
темнота,516,286,#ed5c19,hum
опилки,505,313,black,other
платок,494,2990,#73469a,linen/access
сено,489,514,#fbbffd,stuff/food:fodder
солома,475,1237,#48fa4f,food:fodder
обработка,475,1975,black,other
осаждение,475,81,black,other
ресница,458,1531,#d30a63,hair
полоса,447,567,#1b98c1,time:period
одежда,440,9684,#555aa4,stuff
подстилка,437,108,#555aa4,stuff
низина,435,94,#2e58bf,space
облако,422,332,black,other
цветок,419,486,#78a304,plant
дерево,407,3009,#555aa4,stuff
тундра,371,434,#2e58bf,space
поцелуй,368,196,#bcca1a,воздействие на человека
белье,366,4661,black,other
свет,358,55,#ed5c19,hum
ил,356,116,#555aa4,stuff
спина,346,2988,black,other
степь,345,200,#2e58bf,space
ком,345,483,black,other
дорога,342,2044,#8197da,move
шерсть,340,1530,#555aa4,stuff
бурка,336,149,#2fc8f3,tool:cloth
повязка,332,356,#51e41b,tool
глазок,329,96,#2e58bf,space
хлопья,316,1986,#6559ee,stuff/food
фильтр,312,192,#51e41b,tool
стекло,301,1849,#555aa4,stuff
голос,297,69,#04a42e,ment
мрак,293,43,#2a1583,light/neg
звезда,293,57,#fd0753,sign/form
прядь,287,1400,#d30a63,hair
ветвь,286,1373,black,other
кора,284,590,#555aa4,stuff
кашель,282,105,#28ffb7,disease
солончак,282,1836,black,other
мешковина,281,277,#555aa4,stuff
ствол,266,904,#51e41b,tool
шея,264,779,black,other
звук,263,57,#fe8912,speech?
ветка,261,2356,#2e58bf,space
стенка,246,122,#2cb39f,tool:furn
полоска,244,181,black,other
дорожка,229,1050,#51e41b,tool
сумерки,228,129,#cc3880,weather/light
пол,227,1849,#2e58bf,space
морда,223,492,black,other
прессование,221,129,black,other
грудь,219,414,black,other
сирень,218,473,#2beb59,plant:@bush
прикосновение,216,44,#c577dd,контакт
веко,212,162,black,other
куст,208,2258,#94eec9,org
кудри,207,168,#6e4398,hair/form
вечер,203,111,#a48547,action
крыльцо,195,162,black,other
тряпица,194,574,black,other
полотно,194,326,#9d3e6f,workart
компресс,190,48,#51e41b,tool
лепесток,188,43,#e2beb4,form
бетон,183,415,#555aa4,stuff
стебель,182,138,black,other
крыша,180,2504,black,other
протравливание,175,473,black,other
туча,172,320,#92b011,quant:max
выпадение,170,124,black,other
гора,170,156,#2e58bf,space
корень,158,110,black,other
чернота,156,44,black,other
галька,152,1000,#bb75c7,stone
