noun,vlazhnyj,mokryj,colour,code
воздух,36382,522,#ae3fbc,space
почва,25636,938,#afaaea,stuff/space
год,21190,229,#60fe67,time:age
земля,15825,13888,#ae3fbc,space
глаз,15482,7363,black,other
состояние,14196,2251,#a9751b,psych/physiol
место,12954,12946,#e3c3d7,tool
песок,12070,11426,#824e68,stuff/food
ветер,8202,2548,#bf0892,weather
пар,8019,167,#b8645f,stuff
условие,7896,379,#9f7c3c,причина
погода,7762,1772,#bf0892,weather
луг,7399,3358,#ae3fbc,space
лес,6380,1533,#5d01e6,form
губа,5407,4679,#347df4,room
слой,4570,124,#bb10c7,group
лето,4470,622,#29e83a,time/time:season
рука,4027,7897,#ddbf3d,hum
грунт,4004,1016,#b8645f,stuff
трава,3998,15054,#ecfa3c,plant
тряпка,3701,15560,#ddbf3d,hum
зерно,3621,116,#769447,food
соль,3617,332,#b8645f,stuff
поверхность,3244,684,#ae3fbc,space
волос,3088,12148,#b8645f,stuff
блеск,3025,400,#b8645f,stuff
ткань,2993,952,#b8645f,stuff
лоб,2955,3972,#ddbf3d,hum
участок,2800,142,#f0c227,org
глина,2683,4651,#b8645f,stuff
уборка,2577,190,#ef118c,action
масса,2479,131,#0a2da9,quant:max
мох,2449,786,#ecfa3c,plant
весна,2400,249,#29e83a,time/time:season
снег,2363,40380,#bf0892,weather
след,2151,4097,#12cc8e,остаток
образец,2009,77,#ddbf3d,hum
запах,1963,112,#e38530,smell
ладонь,1922,2521,black,other
лист,1895,4988,#464217,doc
пятно,1809,3960,black,other
тело,1775,2713,#78a60d,thing
туман,1758,955,#bf0892,weather
осень,1748,661,#29e83a,time/time:season
полотенце,1715,9187,#bb9e34,linen/tool
тип,1583,442,#ddbf3d,hum
зима,1560,182,#29e83a,time/time:season
берег,1541,342,#ae3fbc,space
склон,1374,72,#ae3fbc,space
нос,1362,3084,black,other
камень,1326,3848,#581c3c,образование
кожа,1296,1104,#b8645f,stuff
скала,1286,641,#ae3fbc,space
рот,1211,943,#ddbf3d,hum
часть,1182,446,#8e4d3e,poss
опилка,1173,252,black,other
уголь,1154,216,#e3c3d7,tool
способ,1128,7293,#148f12,asp
свежесть,1112,53,#871803,weather/temper
препарат,1103,114,#b8645f,stuff
древесина,1068,241,#b8645f,stuff
палец,1048,2273,#e3c3d7,tool
бумага,995,1253,#b8645f,stuff
пыль,981,983,#b8645f,stuff
день,966,573,#cd2b14,time:period
лицо,965,11559,#ae3fbc,space
холод,952,344,#583b5b,manif:emot
время,931,320,#cd2b14,time:period
ночь,883,458,#5dba16,time
стена,881,1900,#3133cc,form/quant:max
губка,869,1538,#e3c3d7,tool
салфетка,849,481,#e64ed1,linen
листва,828,2295,black,other
хранение,824,220,black,other
вата,795,939,#b8645f,stuff
зуб,792,76,#e3c3d7,tool
асфальт,791,8151,#ae3fbc,space
зелень,750,803,#769447,food
торф,736,176,#b8645f,stuff
режим,730,223,#eba7ea,time?
ноздря,716,214,black,other
мгла,694,387,#5599ac,light/neg
термометр,684,1747,#7cc874,tool:device:@measur:metr
помещение,671,130,#717fed,put
тряпочка,658,752,black,other
тень,657,42,#ddbf3d,hum
язык,647,478,#ddbf3d,hum
небо,641,848,#ae3fbc,space
марля,634,251,#b8645f,stuff
пленка,630,139,#b8645f,stuff
простыня,619,2489,#d53f88,tool:@bedding/linen
щека,601,4128,black,other
вид,601,999,#803080,ment
поле,599,1268,#ae3fbc,space
холодок,595,66,black,other
пелена,594,343,#b8645f,stuff
хлеб,547,454,#02860b,poss$
суглинок,546,92,#b8645f,stuff
дно,527,252,black,other
сумрак,525,48,#5b347c,light
тьма,520,582,#fedd42,numcoll
темнота,516,286,#ddbf3d,hum
опилки,505,313,black,other
платок,494,2990,#de1449,linen/access
сено,489,514,#58ce2f,stuff/food:fodder
солома,475,1237,#f26f55,food:fodder
обработка,475,1975,black,other
осаждение,475,81,black,other
ресница,458,1531,#9843dd,hair
полоса,447,567,#cd2b14,time:period
одежда,440,9684,#b8645f,stuff
подстилка,437,108,#b8645f,stuff
низина,435,94,#ae3fbc,space
облако,422,332,black,other
цветок,419,486,#ecfa3c,plant
дерево,407,3009,#b8645f,stuff
тундра,371,434,#ae3fbc,space
поцелуй,368,196,#916947,воздействие на человека
белье,366,4661,black,other
свет,358,55,#ddbf3d,hum
ил,356,116,#b8645f,stuff
спина,346,2988,black,other
степь,345,200,#ae3fbc,space
ком,345,483,black,other
дорога,342,2044,#8992ff,move
шерсть,340,1530,#b8645f,stuff
бурка,336,149,#13dc2c,tool:cloth
повязка,332,356,#e3c3d7,tool
глазок,329,96,#ae3fbc,space
хлопья,316,1986,#824e68,stuff/food
фильтр,312,192,#e3c3d7,tool
стекло,301,1849,#b8645f,stuff
голос,297,69,#803080,ment
мрак,293,43,#5599ac,light/neg
звезда,293,57,#bcf00e,sign/form
прядь,287,1400,#9843dd,hair
ветвь,286,1373,black,other
кора,284,590,#b8645f,stuff
кашель,282,105,#929a36,disease
солончак,282,1836,black,other
мешковина,281,277,#b8645f,stuff
ствол,266,904,#e3c3d7,tool
шея,264,779,black,other
звук,263,57,#b89e2e,speech?
ветка,261,2356,#ae3fbc,space
стенка,246,122,#7cc8c1,tool:furn
полоска,244,181,black,other
дорожка,229,1050,#e3c3d7,tool
сумерки,228,129,#4d3d6c,weather/light
пол,227,1849,#ae3fbc,space
морда,223,492,black,other
прессование,221,129,black,other
грудь,219,414,black,other
сирень,218,473,#2342ec,plant:@bush
прикосновение,216,44,#2cddff,контакт
веко,212,162,black,other
куст,208,2258,#f0c227,org
кудри,207,168,#8d695c,hair/form
вечер,203,111,#ef118c,action
крыльцо,195,162,black,other
тряпица,194,574,black,other
полотно,194,326,#a4471b,workart
компресс,190,48,#e3c3d7,tool
лепесток,188,43,#5d01e6,form
бетон,183,415,#b8645f,stuff
стебель,182,138,black,other
крыша,180,2504,black,other
протравливание,175,473,black,other
туча,172,320,#0a2da9,quant:max
выпадение,170,124,black,other
гора,170,156,#ae3fbc,space
корень,158,110,black,other
чернота,156,44,black,other
галька,152,1000,#6b95d3,stone
метод,152,1047,black,other
власы,151,40,#9843dd,hair
кусок,151,271,black,other
голова,151,3840,#ddbf3d,hum
хвоя,149,372,black,other
ватка,148,89,#b8645f,stuff
огонь,147,90,#3472e7,manif:disease
комок,145,387,black,other
утро,144,156,#ef118c,action
прах,143,46,#b8645f,stuff
мостовая,142,1655,#ae3fbc,space
кисть,142,219,#769447,food
мир,133,91,#af0a67,inter
бок,131,1099,#ae3fbc,space
ладошка,128,142,black,other
хруст,127,64,#bfb8ec,sound
комочек,126,202,black,other
сад,125,917,#f0c227,org
заросль,124,187,#ae3fbc,space
пласт,123,52,black,other
рубашка,122,1569,#b8645f,stuff
край,122,250,#ae3fbc,space
солнце,117,89,#ae3fbc,space
угол,114,254,#ae3fbc,space
грязь,107,818,#b8645f,stuff
табак,106,71,#ecfa3c,plant
доска,102,2356,#e3c3d7,tool
тяжесть,98,69,#78a60d,thing
пасть,98,47,black,other
постель,96,226,#1e31db,tool:@bedding
отпечаток,96,145,#ae3fbc,space
рельс,95,379,#e3c3d7,tool
тропинка,94,162,#ae3fbc,space
луговина,88,41,#ae3fbc,space
воротник,86,152,black,other
ветошь,85,59,black,other
шинель,84,2117,#13dc2c,tool:cloth
лед,79,389,#b8645f,stuff
даль,78,46,#ae3fbc,space
кисточка,77,68,black,other
дол,75,298,#ae3fbc,space
скамья,74,400,#a159a9,tool:furn/tool
штукатурка,73,671,#b8645f,stuff
поручень,73,65,#e3c3d7,tool
тропа,72,202,#ae3fbc,space
щетка,72,435,#e3c3d7,tool
подушка,70,619,#e3c3d7,tool
глыба,68,42,#6b95d3,stone
очистка,67,2215,#84cc41,changest
пашня,66,64,#502bb5,space/plot
ус,65,1709,#9843dd,hair
плечо,65,825,#ae3fbc,space
борода,65,1086,#9843dd,hair
весло,63,338,#100e65,tool:instr
яма,62,154,#b10be4,room/constr:@build
отходы,60,110,black,other
