noun,zolotoj,zolotistyj,colour,code
буква,33987,349,#ee3441,ment
рука,32635,69,#42be89,hum
рыбка,32196,153,#42be89,hum
кольцо,25375,43,#90ad13,put
россыпь,15503,212,#f8eda9,quant:max
звезда,13835,329,#71001f,sign/form
гора,13715,89,#1f05e5,space
песок,13617,2208,#32791b,stuff/food
нить,12986,829,#b176e8,form
волос,11336,13034,#95212d,stuff
дождь,11055,235,#b09543,weather
оправа,11040,206,black,other
дно,10879,46,black,other
фон,10443,1163,#439d8f,unit
купол,10371,132,black,other
луч,9835,2907,#1f05e5,space
корона,9060,55,#621f77,tool:cloth$
осень,8937,282,#a2dc18,time/time:season
пуговица,8769,111,#8814ea,tool
погон,8763,190,#794840,access
слиток,8666,47,black,other
галун,8512,89,#71001f,sign/form
яблоко,8250,72,#fe8735,fruit/food
поле,8250,793,#1f05e5,space
парча,8168,257,#95212d,stuff
лист,7616,759,#057694,doc
фольга,7481,149,#95212d,stuff
перо,6997,306,#ffec83,tool:instr
рог,5679,53,#9814c3,форма
голова,5477,734,#42be89,hum
пыль,5290,1948,#95212d,stuff
шар,5207,416,#b176e8,form
цвет,4797,15905,#380553,color
солнце,4767,417,#1f05e5,space
день,4640,160,#2517af,time:period
кисть,4542,191,#85d1cd,food
кайма,4481,244,#1f05e5,space
ободок,4335,319,#1f05e5,space
свет,4253,4546,#42be89,hum
цветок,4243,956,#95f3c1,plant
узор,4200,305,#325505,pattern
колечко,4132,41,black,other
зерно,4119,1149,#85d1cd,food
бахрома,3934,317,#95212d,stuff
коса,3899,2176,#1f05e5,space
искра,3884,913,#dfe321,manif
сияние,3837,1502,#6bcfb6,light
надпись,3789,125,#8c222c,text
нитка,3748,215,#b176e8,form
полоса,3693,947,#2517af,time:period
венок,3680,44,black,other
огонь,3618,340,#787a1d,manif:disease
звездочка,3593,328,#42be89,hum
кудри,3457,1628,#7c0d1a,hair/form
полоска,3353,695,black,other
блеск,3156,1996,#95212d,stuff
плод,3153,878,#d50c30,результат?
поток,3065,304,#5e6a00,group
колос,2962,484,black,other
глаз,2946,2099,black,other
краска,2926,716,#b4bbad,impact
сережка,2813,114,#794840,access
нашивка,2752,48,#b4bbad,impact
блестка,2745,689,#6bcfb6,light
карась,2706,687,#df14ee,animal:@fish/food
лента,2605,285,#4f1956,workcin
птица,2583,42,#f09f26,hum$
точка,2537,358,#af43c8,предел
небо,2382,427,#1f05e5,space
одежда,2355,115,#95212d,stuff
конь,2345,484,#8814ea,tool
головка,2281,979,#5e6a00,group
бумага,2280,51,#95212d,stuff
пятно,2253,967,black,other
крыло,2164,196,black,other
шапка,2008,127,#8c222c,text
орнамент,1941,71,#325505,pattern
дерево,1861,102,#95212d,stuff
облако,1847,960,black,other
пшеница,1826,805,#95f3c1,plant
волна,1824,604,#dfe321,manif
диск,1762,77,#1aed7a,tool/supporttext$
столб,1735,52,#b433f0,constr
искорка,1683,681,black,other
ткань,1601,284,#95212d,stuff
игла,1547,67,#efe01e,hair$
заря,1545,178,#82c903,sound
шарик,1534,48,#237265,animal
нимб,1530,186,black,other
платье,1505,264,#e43167,tool:cloth
пчела,1448,234,#237265,animal
ус,1428,375,#e883b2,hair
море,1424,307,#f8eda9,quant:max
туман,1423,829,#b09543,weather
круг,1387,151,#b176e8,form
пленка,1387,118,#95212d,stuff
линия,1352,82,#439d8f,unit
сноп,1321,283,black,other
листва,1309,475,black,other
вино,1297,922,#f9fe92,stuff/food/liq
отлив,1271,2656,#380553,color
край,1268,265,#1f05e5,space
блик,1240,727,#6bcfb6,light
рыба,1217,139,#8c222c,text
нива,1187,316,#3d93a3,space/plot
грива,1166,245,#1f05e5,space
огонек,1155,332,#95212d,stuff
пыльца,1074,584,#95212d,stuff
закат,1060,156,#6bcfb6,light
развод,1058,52,#e40994,inter:прекращение
змея,1034,118,#f09f26,hum$
листочек,1034,40,black,other
струя,1033,312,#99b309,?
ковер,1028,321,#95212d,stuff
вода,1024,217,#6e5fce,stuff/liq
тесьма,1019,82,#95212d,stuff
луна,999,125,#372f4f,space/astr
стена,965,167,#8756e6,form/quant:max
пламень,961,536,black,other
капля,956,107,black,other
прядь,928,699,#e883b2,hair
локон,892,1059,#7c0d1a,hair/form
серп,890,53,#b176e8,form
туфелька,853,53,black,other
дорожка,850,143,#8814ea,tool
пляж,847,247,#1f05e5,space
кружево,840,56,#325505,pattern
крона,824,46,#7111eb,money:banknote
трава,817,86,#95f3c1,plant
сетка,811,44,#8814ea,tool
отблеск,805,865,black,other
ресница,787,786,#e883b2,hair
змейка,718,93,#237265,animal
тон,700,2808,#380553,color
песчинка,699,105,black,other
хлеб,695,397,#ea890b,poss$
каемка,693,53,black,other
чешуя,684,198,#efe01e,hair$
лес,674,54,#b176e8,form
поверхность,656,214,#1f05e5,space
ореол,655,222,#6bcfb6,light
свечение,654,273,black,other
рожь,631,560,#11afb4,fruit
наряд,623,73,#5e6a00,group
волосок,614,2177,#e883b2,hair
луковица,605,46,#fe8735,fruit/food
лук,605,81,#95f3c1,plant
петух,600,113,#f09f26,hum$
солома,589,637,#05ffca,food:fodder
пылинка,581,64,black,other
брызги,563,51,#95212d,stuff
рисунок,540,64,#4b333d,внешний вид
береза,539,45,#95f3c1,plant
камень,534,207,#a5867f,образование
след,529,76,#ef3561,остаток
шерсть,522,584,#95212d,stuff
крапинка,521,248,black,other
лепесток,519,168,#b176e8,form
хвост,515,155,#42be89,hum
борода,514,588,#e883b2,hair
жук,496,82,#f09f26,hum$
обивка,495,41,#95212d,stuff
язык,488,43,#42be89,hum
фазан,485,144,#237265,animal
утро,481,125,#32365e,action
завиток,480,304,#7c0d1a,hair/form
образ,479,69,#032bb5,asp
берег,477,60,#1f05e5,space
крылышко,452,43,black,other
плащ,452,46,#e43167,tool:cloth
ствол,449,273,#8814ea,tool
лицо,428,69,#1f05e5,space
пушок,415,1500,#e883b2,hair
мед,413,511,#f9fe92,stuff/food/liq
виноград,403,139,#95f3c1,plant
дымка,401,883,#95212d,stuff
апельсин,387,98,#95f3c1,plant
сосна,381,257,#95f3c1,plant
воздух,371,387,#1f05e5,space
прожилка,363,181,black,other
кудряшка,356,218,black,other
веснушка,349,266,black,other
жилка,343,53,black,other
кожа,332,1024,#95212d,stuff
женщина,331,46,#42be89,hum
окраска,331,1457,#380553,color
грудь,326,51,black,other
муха,324,51,#237265,animal
слой,321,42,#5e6a00,group
шелк,317,882,#95212d,stuff
чешуйка,313,367,#efe01e,hair$
