noun,zolotoj,zolotistyj,colour,code
буква,33987,349,#5f2f89,ment
рука,32635,69,#3af518,hum
рыбка,32196,153,#3af518,hum
кольцо,25375,43,#580783,put
россыпь,15503,212,#382c05,quant:max
звезда,13835,329,#27686a,sign/form
гора,13715,89,#630941,space
песок,13617,2208,#a526f1,stuff/food
нить,12986,829,#0a1516,form
волос,11336,13034,#355d9f,stuff
дождь,11055,235,#437ff2,weather
оправа,11040,206,black,other
дно,10879,46,black,other
фон,10443,1163,#099670,unit
купол,10371,132,black,other
луч,9835,2907,#630941,space
корона,9060,55,#3b20a7,tool:cloth$
осень,8937,282,#6483fa,time/time:season
пуговица,8769,111,#884328,tool
погон,8763,190,#16bb94,access
слиток,8666,47,black,other
галун,8512,89,#27686a,sign/form
яблоко,8250,72,#5bcab8,fruit/food
поле,8250,793,#630941,space
парча,8168,257,#355d9f,stuff
лист,7616,759,#ba37e8,doc
фольга,7481,149,#355d9f,stuff
перо,6997,306,#f77f06,tool:instr
рог,5679,53,#8c629d,форма
голова,5477,734,#3af518,hum
пыль,5290,1948,#355d9f,stuff
шар,5207,416,#0a1516,form
цвет,4797,15905,#c0cf2e,color
солнце,4767,417,#630941,space
день,4640,160,#e2b8ac,time:period
кисть,4542,191,#fc0d5d,food
кайма,4481,244,#630941,space
ободок,4335,319,#630941,space
свет,4253,4546,#3af518,hum
цветок,4243,956,#a84d5d,plant
узор,4200,305,#0a3dc7,pattern
колечко,4132,41,black,other
зерно,4119,1149,#fc0d5d,food
бахрома,3934,317,#355d9f,stuff
коса,3899,2176,#630941,space
искра,3884,913,#83cba8,manif
сияние,3837,1502,#d8bac9,light
надпись,3789,125,#a9cfe9,text
нитка,3748,215,#0a1516,form
полоса,3693,947,#e2b8ac,time:period
венок,3680,44,black,other
огонь,3618,340,#703cd8,manif:disease
звездочка,3593,328,#3af518,hum
кудри,3457,1628,#bb9574,hair/form
полоска,3353,695,black,other
блеск,3156,1996,#355d9f,stuff
плод,3153,878,#fdf09d,результат?
поток,3065,304,#953a67,group
колос,2962,484,black,other
глаз,2946,2099,black,other
краска,2926,716,#5a8eaf,impact
