noun,goryachij,teplyj,code
вода,282642,121726,#d00a66
любовь,56761,2924,#2f44e4
точка,48643,111,#fb91b4
след,40068,437,#3d0d16
воздух,38684,39536,#ad8a3b
желание,30704,122,#09df6c
чай,30676,1663,#b39a78
сердце,30455,2105,#d772e3
отклик,30435,557,#677df7
прокатка,30278,1657,#88643f
рука,28246,14169,#1cfdb1
поддержка,25668,103,#b39a78
пища,25156,649,#b647c2
привет,24382,1700,#b39a78
участие,23691,3668,#677df7
источник,23588,3038,#a2dbc5
голова,23487,312,#b39a78
цех,22915,48,#b39a78
кровь,22826,6926,#d772e3
газ,22570,336,#23a2ff
электрон,21013,837,#142084
сочувствие,20238,1764,#01cc5a
раствор,18579,3962,#23a2ff
звезда,17562,400,#142084
состояние,15373,663,#3d18a8
речь,15341,948,#3d0d16
дыхание,14946,7531,#d4d14e
пора,14861,1554,#b39a78
чувство,14757,27052,#860b50
плазма,14492,445,#142084
благодарность,14455,1311,#01cc5a
время,13316,44227,#188e39
симпатия,13150,907,#677df7
слово,12923,37942,#a05211
песок,12495,3201,#d5ceb8
солнце,11772,5116,#142084
день,10722,32478,#ad8a3b
ветер,10374,22853,#ad8a3b
вера,10029,3056,#131a5b
обработка,10019,73,#88643f
уголь,9586,53,#ad8a3b
слеза,9426,3106,#b39a78
пятно,9268,735,#93b9da
кофе,9049,264,#b39a78
ключ,8929,1710,#6ce24f
молоко,8851,7187,#b39a78
волна,8490,8573,#b39a78
зона,8346,2442,#b39a78
деформация,8189,891,#d5ceb8
молитва,7993,4296,#4cec11
ванна,7715,7402,#b39a78
вид,7203,2890,#3c7f35
интерес,7054,138,#672eb0
глаз,6449,2084,#93b9da
луч,6089,8199,#b39a78
спирт,5977,326,#d5ceb8
губа,5977,3076,#b39a78
металл,5708,285,#23a2ff
пар,5677,2683,#b39a78
тело,5553,4842,#30a0b5
зола,5449,1034,#b39a78
пыль,5428,2174,#b39a78
ладонь,5089,6353,#b39a78
струя,4862,3661,#6e4099
напиток,4800,75,#b647c2
вино,4732,653,#b647c2
поздравление,4678,2212,#b39a78
признательность,4642,339,#b39a78
картошка,4638,215,#b39a78
прием,4407,14714,#b39a78
пожелание,4369,1489,#b39a78
суп,4297,350,#b39a78
камень,4288,2603,#ad8a3b
лоб,4029,200,#b39a78
печь,4026,3281,#b647c2
аплодисменты,4022,53,#c0616b
земля,3957,9500,#b39a78
утюг,3936,279,#b39a78
способ,3919,229,#9bc4f8
щека,3871,847,#b39a78
приветствие,3765,2771,#677df7
жидкость,3710,889,#23a2ff
масло,3687,658,#b39a78
область,3687,1932,#d772e3
привязанность,3493,594,#672eb0
поцелуй,3478,152,#b39a78
поток,3426,2053,#6e4099
хлеб,3405,3538,#b647c2
щи,3345,128,#b39a78
поверхность,3156,1155,#d5ceb8
пирожок,3101,257,#b39a78
участок,3092,1081,#ad8a3b
пот,3047,104,#b39a78
душ,3000,1383,#b39a78
свет,2913,9410,#93b9da
разговор,2832,203,#677df7
плита,2778,712,#b39a78
лицо,2761,325,#1cfdb1
