noun,hudoj,toschij,code
лицо,18191,1152,#f5b2dd
земля,17166,1244,#67b251
человек,15734,2297,#ab1335
рука,13021,2332,#f5b2dd
плечо,6370,622,#f5b2dd
дело,5409,53,#27a6c4
нога,5296,2429,#f5b2dd
женщина,4856,684,#f5b2dd
шея,4612,2150,#f5b2dd
старик,3926,1104,#f5b2dd
тело,3889,2330,#6ff9be
палец,3408,333,#f5b2dd
фигура,2716,3605,#103fca
мужчина,2559,451,#f5b2dd
спина,1968,764,#f5b2dd
парень,1603,702,#67b251
лошадь,1438,1192,#c05142
колено,1338,94,#f5b2dd
жена,1222,103,#c09a6b
мужик,1155,483,#67b251
грудь,1013,2120,#f5b2dd
мысль,905,114,#ab1335
старуха,873,283,#67b251
трава,857,376,#3cd4a5
юноша,771,199,#c09a6b
собака,567,781,#3e7588
конь,519,595,#67b251
дерево,518,322,#3cd4a5
мальчик,503,87,#f5b2dd
бок,474,525,#80c583
лошаденка,458,1385,#67b251
он,444,136,#67b251
баба,442,201,#f5b2dd
кляча,431,1586,#67b251
ребенок,416,113,#c09a6b
пища,403,60,#e0393f
дама,382,252,#f5b2dd
год,376,148,#a7197b
коленка,367,52,#67b251
корова,359,1727,#67b251
господин,339,65,#67b251
блондин,327,95,#67b251
солдат,309,173,#67b251
мешок,307,512,#67b251
офицер,278,59,#67b251
подросток,278,58,#f5b2dd
немец,272,190,#67b251
мальчишка,263,60,#f5b2dd
карман,262,550,#67b251
живот,238,1277,#f5b2dd
паренек,234,96,#f5b2dd
зад,225,1425,#67b251
ребро,222,204,#f5b2dd
ножка,220,181,#67b251
овца,196,206,#67b251
кошка,192,358,#67b251
старичок,179,200,#67b251
фигурка,177,462,#67b251
старушка,176,45,#67b251
плод,158,423,#3cd4a5
крестьянин,156,44,#67b251
кобыла,153,61,#67b251
тельце,150,74,#67b251
девица,144,246,#f5b2dd
скотина,131,83,#67b251
птица,128,504,#67b251
монах,127,169,#de3dd8
человечек,124,256,#f5b2dd
бедро,120,387,#f5b2dd
пес,118,385,#67b251
почва,111,1487,#3cd4a5
кулак,102,93,#f5b2dd
скот,93,530,#67b251
ляжка,91,187,#f5b2dd
кот,83,301,#67b251
еврей,76,95,#67b251
волк,71,192,#67b251
мужичок,70,58,#f5b2dd
лошадка,67,150,#67b251
икра,66,68,#67b251
кость,64,46,#4079f1
скелет,63,45,#67b251
верзила,63,87,#67b251
тень,62,194,#720e8c
вид,61,218,#d9d5ec
студент,59,45,#67b251
девчонка,57,59,#f5b2dd
кадык,56,41,#f5b2dd
свинья,53,86,#67b251
тип,50,58,#67b251
коза,45,279,#67b251
курица,43,209,#67b251
сердце,42,280,#4079f1
вол,40,101,#67b251
вещмешок,40,475,#67b251
