noun,syroj,vlazhnyj,code
земля,55379,15825,#f32c09
материал,52172,4238,#d1171f
вес,35400,1711,#edb615
масса,20431,2479,#d1fb5f
вид,20250,601,#a0f0c3
продукт,18444,797,#4dfae6
место,13678,12954,#f31786
погода,13541,7762,#a9fe20
вещество,12684,323,#be725b
луг,10034,7399,#f32c09
руда,9622,204,#f32c09
глина,8909,2683,#f32c09
белок,7790,42,#f32c09
воздух,7650,36382,#edb615
ветер,6188,8202,#edb615
почва,5560,25636,#286759
кожа,5377,1296,#bc5dcc
песок,5105,12070,#d1171f
жир,4802,47,#73a8f7
лес,4703,6380,#286759
трава,4548,3998,#286759
бензол,4399,122,#f32c09
стена,4261,881,#f32c09
туман,4039,1758,#f32c09
ткань,3703,2993,#93d42f
помещение,3485,671,#425eae
ночь,3063,883,#edb615
состояние,2795,14196,#c0966c
зерно,2581,3621,#f32c09
биомасса,2367,119,#f32c09
дерево,2295,407,#286759
штукатурка,2201,73,#f32c09
мгла,2176,694,#f32c09
уголь,2091,1154,#edb615
лист,1912,1895,#401c05
климат,1823,37088,#a9fe20
снег,1773,2363,#a9fe20
холод,1683,952,#3f7808
запах,1495,1963,#3f7808
участок,1446,2800,#edb615
газ,1405,2045,#be725b
грунт,1397,4004,#edb615
низина,1379,435,#f32c09
берег,1361,1541,#edb615
древесина,1319,1068,#f32c09
крахмал,1314,81,#f32c09
прохлада,1301,1976,#3f7808
смесь,1245,990,#a0f0c3
камера,1215,14947,#f32c09
мох,1197,2449,#f32c09
тьма,1155,520,#f32c09
корень,1099,158,#286759
соль,1079,3617,#f32c09
лето,1051,4470,#a9fe20
год,1048,21190,#a9fe20
осень,1030,1748,#a9fe20
день,1026,966,#edb615
ил,1016,356,#f32c09
доска,1014,102,#f32c09
камень,1000,1326,#edb615
хлеб,986,547,#73a8f7
время,985,931,#78d8ab
угол,966,114,#646dd6
темнота,944,516,#3f7808
яма,894,62,#f32c09
бор,870,207,#f32c09
пятно,844,1809,#3f7808
солома,836,475,#f32c09
сок,828,53,#286759
одежда,818,440,#d45744
утро,783,144,#edb615
пища,779,52,#73a8f7
ущелие,772,479,#f32c09
торф,751,736,#f32c09
шерсть,709,340,#f32c09
