noun,goryachij,teplyj,code
вода,282642,121726,#7ae075
любовь,56761,2924,#f88be7
точка,48643,111,#73a662
след,40068,437,#562ecd
воздух,38684,39536,#7235ba
желание,30704,122,#425ca7
чай,30676,1663,#e777fb
сердце,30455,2105,#f88be7
отклик,30435,557,#1e552d
прокатка,30278,1657,#7b6e47
рука,28246,14169,#16d6df
поддержка,25668,103,#b6bb68
пища,25156,649,#d16350
привет,24382,1700,#1e552d
участие,23691,3668,#961165
источник,23588,3038,#169254
голова,23487,312,#16d6df
цех,22915,48,#c91856
кровь,22826,6926,#7ae075
газ,22570,336,#0b5e0b
электрон,21013,837,black
сочувствие,20238,1764,#e6df7a
раствор,18579,3962,#0b5e0b
звезда,17562,400,#0e615b
состояние,15373,663,#bb284d
речь,15341,948,#1e552d
дыхание,14946,7531,#a6c5ab
пора,14861,1554,#a6096d
чувство,14757,27052,#f88be7
плазма,14492,445,#0b5e0b
благодарность,14455,1311,#1e552d
время,13316,44227,#dee22a
симпатия,13150,907,#67913b
слово,12923,37942,#87c687
песок,12495,3201,#243c07
солнце,11772,5116,#7235ba
день,10722,32478,#dee22a
ветер,10374,22853,#904b62
вера,10029,3056,#6f2229
обработка,10019,73,black
уголь,9586,53,#ff6540
слеза,9426,3106,#0b5e0b
пятно,9268,735,black
кофе,9049,264,#8b6359
ключ,8929,1710,#17e711
молоко,8851,7187,#7ae075
волна,8490,8573,#ecf788
зона,8346,2442,#7235ba
деформация,8189,891,black
молитва,7993,4296,#1e552d
ванна,7715,7402,#ff6540
вид,7203,2890,#6f2229
интерес,7054,138,#6f2229
глаз,6449,2084,black
луч,6089,8199,#7235ba
спирт,5977,326,#0b5e0b
губа,5977,3076,#efc2ca
металл,5708,285,#0b5e0b
пар,5677,2683,#0b5e0b
тело,5553,4842,#5eb7bb
зола,5449,1034,#0b5e0b
пыль,5428,2174,#0b5e0b
ладонь,5089,6353,black
струя,4862,3661,#e3062c
напиток,4800,75,#e777fb
вино,4732,653,#e777fb
поздравление,4678,2212,black
признательность,4642,339,#f88be7
картошка,4638,215,#8b6359
прием,4407,14714,#080384
пожелание,4369,1489,#1e552d
суп,4297,350,#d0ef4c
камень,4288,2603,#7d2c9d
лоб,4029,200,#16d6df
печь,4026,3281,#533a8d
аплодисменты,4022,53,#eede92
земля,3957,9500,#7235ba
утюг,3936,279,#533a8d
способ,3919,229,#62b5af
щека,3871,847,black
приветствие,3765,2771,#1e552d
жидкость,3710,889,#7ae075
масло,3687,658,#0b5e0b
область,3687,1932,#7235ba
привязанность,3493,594,#05e6d8
поцелуй,3478,152,#b6bb68
поток,3426,2053,#4d735f
хлеб,3405,3538,#e2339d
щи,3345,128,#e777fb
поверхность,3156,1155,#7235ba
пирожок,3101,257,#8c6b73
участок,3092,1081,#c91856
пот,3047,104,#0b5e0b
душ,3000,1383,#ff6540
свет,2913,9410,#16d6df
разговор,2832,203,#1e552d
плита,2778,712,#7235ba
лицо,2761,325,#7235ba
шепот,2738,123,#eede92
каша,2701,258,#6f2229
камера,2677,342,#7235ba
стенка,2672,520,#669a4f
печка,2583,4620,#533a8d
дружба,2497,2218,#3507f0
душа,2497,1507,#16d6df
лепешка,2468,355,#3ae25b
место,2446,24652,#ff6540
человек,2418,768,#16d6df
асфальт,2262,616,#7235ba
смесь,2260,248,#0b5e0b
взгляд,2199,3327,#6f2229
бензол,2182,157,#7ae075
еда,2167,129,#d16350
порыв,2161,91,#28d6a6
смола,2032,99,#16d6df
пепел,1953,686,#0b5e0b
железо,1935,62,#0b5e0b
бульон,1909,302,#d0ef4c
конец,1849,586,#f4d871
духовка,1826,204,#533a8d
объятие,1788,835,#8bb2b5
пламень,1686,142,black
часть,1685,5480,#2f7272
надежда,1679,315,#16d6df
туман,1679,2753,#904b62
баня,1658,797,#528e68
палец,1623,1338,#ff6540
борщ,1565,58,#d0ef4c
ящик,1564,716,#c91856
похлебка,1507,158,#e777fb
мольба,1493,500,#1e552d
чайник,1465,81,#16d6df
минута,1464,95,#2ab436
полоса,1452,431,#dee22a
письмо,1432,5950,#62b5af
запах,1425,5336,#7d2f8c
ужин,1417,76,#d16350
краска,1394,1478,#28d6a6
радость,1384,716,#6fa7af
блеск,1358,773,#0b5e0b
характер,1357,226,black
слой,1352,3182,#4d735f
кирпич,1290,605,#17e711
дым,1234,831,#0b5e0b
воск,1226,426,#0b5e0b
сироп,1209,136,#e777fb
он,1202,155,#67913b
грудь,1190,1879,black
мясо,1187,762,#0b5e0b
язык,1182,575,#16d6df
румянец,1168,114,#67af29
ацетон,1162,112,#7ae075
пирог,1154,119,#3ae25b
материал,1147,111,#0b5e0b
спасибо,1145,89,#1e552d
нрав,1131,48,black
жизнь,1120,973,#fb322e
среда,1106,563,#7235ba
рассол,1105,43,#0b5e0b
беседа,1091,964,#1e552d
метанол,1090,61,black
снег,1088,900,#904b62
забота,1083,1353,#961165
статья,1060,286,#d2bdf9
сторона,1045,1307,#a42975
масса,1028,3007,#057b90
капля,1027,1625,black
час,1011,157,#dee22a
компресс,1007,384,#ff6540
ядро,988,1707,#ff6540
свинец,979,61,#0b5e0b
мысль,971,160,#6f2229
пары,967,45,black
огонь,936,922,#63ff49
вещество,922,43,#0b5e0b
атмосфера,905,2412,#2ab436
струйка,903,1360,black
отношение,896,12109,#87c687
встреча,876,5965,#080384
труба,855,700,#4052e2
небо,850,1696,#7235ba
строка,836,1507,#87c687
рот,807,141,#16d6df
лето,801,10240,#59d0cc
стекло,799,117,#0b5e0b
искра,794,99,#ecf788
