noun,holodnyj,ledyanoj,code
вода,280796,80109,#fb68c2
воздух,64080,1719,#2f2f90
ветер,62032,14249,#7a982a
период,32372,158,#5e3a87
зима,32011,425,#310c2c
пот,23568,488,#d21fc5
рука,19515,3447,#57b576
дождь,18133,2486,#7a982a
месяц,16460,85,#2fe88a
ночь,16337,940,#4ea561
глаз,15569,2216,black
день,13954,116,#82137f
взгляд,12335,2643,#aa4e48
земля,10284,786,#2f2f90
часть,10282,121,#6b4651
звезда,9516,396,#448d27
свет,9065,504,#57b576
комната,8904,288,#f5db52
душ,8760,1722,#00480b
камень,7730,495,#1f1ecb
расчет,7634,61,#3dac19
пламень,7549,198,black
небо,7406,663,#2f2f90
струя,7235,2550,#2cb7b1
масса,7053,3751,#065948
зона,7023,1436,#2f2f90
палец,6921,1466,#00480b
море,6860,1630,#065948
тон,6742,5319,#ec326a
слой,6650,2144,#3dac19
туман,6484,973,#7a982a
волна,6392,1508,#50ff6c
блеск,6327,558,#d21fc5
стекло,6129,788,#d21fc5
почва,5730,264,#709d2b
стена,5506,4485,#ef304d
сердце,5495,1414,#b19694
поверхность,5490,5594,#2f2f90
капля,5457,753,black
прием,5254,226,#55bba4
страна,5240,412,#2f2f90
пиво,5203,513,#d45b6c
лицо,5196,394,#2f2f90
вид,5018,75,#aa4e48
солнце,4984,185,#2f2f90
молоко,4948,225,#fb68c2
стенка,4938,591,#d3873b
пол,4910,757,#2f2f90
область,4788,63,#2f2f90
ванна,4506,1266,#00480b
поток,4473,4054,#3dac19
тело,4451,2515,#245758
огонь,4434,529,#3cf288
металл,4385,165,#d21fc5
раствор,4348,261,#d21fc5
равнодушие,4230,900,black
роса,4139,466,#d21fc5
слово,3962,195,#5e3a87
компресс,3940,404,#00480b
кровь,3922,95,#fb68c2
снег,3829,83,#7a982a
дыхание,3794,2916,#f57d15
презрение,3733,443,#3c2bbf
пустыня,3535,8140,#2f2f90
камера,3454,42,#2f2f90
душа,3368,151,#57b576
губа,3301,301,#f5db52
человек,3256,64,#57b576
мир,3248,281,#1e824a
эпоха,3101,80,#5f46af
вечер,3067,47,#55bba4
вод,3025,42,black
дом,2913,2715,#76c0c6
дрожь,2896,430,#f57d15
река,2827,1832,#065948
трещина,2749,163,#2f2f90
пустота,2706,337,#2f2f90
ключ,2694,258,#4bf0ec
улыбка,2686,288,#941dde
брызги,2628,1100,#d21fc5
испарина,2590,114,#d21fc5
ужас,2532,517,#b19694
луч,2512,109,#2f2f90
облако,2506,1221,black
край,2480,444,#2f2f90
сырость,2442,511,black
пояс,2441,635,#2f2f90
степь,2397,269,#2f2f90
голос,2385,3470,#aa4e48
квартира,2371,185,#2f2f90
ладонь,2342,342,black
пар,2279,74,#d21fc5
струйка,2271,576,black
вежливость,2210,594,black
железо,2191,101,#d21fc5
зал,2169,79,#f5db52
мрак,2144,334,#6c6d8e
постель,2118,373,#c8be5e
лоб,2072,207,#57b576
спокойствие,2011,2193,#b19694
песок,2010,59,#eacdc1
изба,1964,51,#8b544c
жидкость,1951,43,#fb68c2
подвал,1942,46,#f5db52
ярость,1937,59,#b19694
сибирь,1900,140,black
безразличие,1899,206,black
мгла,1881,886,#6c6d8e
ветерок,1871,362,black
молчание,1867,1392,black
север,1823,105,#2f2f90
коридор,1773,244,#2f2f90
луна,1767,94,#2fe88a
среда,1659,55,#2f2f90
могила,1641,691,#57b576
плита,1638,801,#2f2f90
фаза,1625,681,black
сон,1618,161,#f57d15
пленка,1609,1069,#d21fc5
глубина,1587,211,#eb0945
ручей,1581,400,#691c06
тьма,1561,404,#45d29b
выражение,1549,233,#5e3a87
влага,1487,341,#d21fc5
квас,1443,222,#d45b6c
грязь,1407,296,#d21fc5
пространство,1342,1457,#2f2f90
смерть,1340,193,#065948
прикосновение,1318,219,#7c36ad
ядро,1306,4670,#00480b
ненависть,1301,126,black
сумрак,1300,42,#47ad43
печка,1286,41,#7168f1
пыль,1283,1205,#d21fc5
усмешка,1276,81,#941dde
объятие,1261,747,#7c36ad
слеза,1242,304,#d21fc5
вино,1218,336,#d45b6c
мурашки,1203,205,black
заря,1198,69,#1a7506
ловушка,1198,258,#00480b
озеро,1197,640,#691c06
мысль,1193,40,#aa4e48
город,1187,210,#2f2f90
океан,1187,407,#691c06
нога,1185,284,black
модель,1153,349,#32c15e
атмосфера,1138,215,#236b15
напиток,1113,170,#d45b6c
цвет,1088,47,#ec326a
окно,1087,688,#4ea561
водка,1084,425,#d45b6c
поле,1082,36639,#2f2f90
сияние,1074,84,#47ad43
синева,1063,209,#ec326a
карцер,1060,244,#f5db52
тоска,1041,81,#b19694
простор,1018,2920,#2cb7b1
ирония,1016,68,#260589
склад,1010,2081,#ed39a0
тишина,1000,402,#76dc47
темнота,998,61,#57b576
россия,983,65,black
частица,979,5903,black
взор,972,230,#9060bf
ливень,969,211,#d21fc5
погреб,968,398,#808017
родник,936,129,#88cdad
вихорь,929,297,black
смесь,926,175,#d21fc5
даль,924,44,#2f2f90
водица,920,135,black
страх,890,114,#065948
температура,883,46,#ce2940
ясность,880,64,black
баня,880,3782,#b41580
высота,868,333,#683a97
речка,854,145,#691c06
учтивость,810,58,black
