noun,hudoj,toschij,code
лицо,18191,1152,#9235bd
земля,17166,1244,#9235bd
человек,15734,2297,#7de8f9
рука,13021,2332,#7de8f9
плечо,6370,622,#9235bd
дело,5409,53,#b7d43c
нога,5296,2429,black
женщина,4856,684,#7de8f9
шея,4612,2150,black
старик,3926,1104,#7de8f9
тело,3889,2330,#0894ea
палец,3408,333,#0707f8
фигура,2716,3605,#7de8f9
мужчина,2559,451,#7de8f9
спина,1968,764,black
парень,1603,702,#957f70
лошадь,1438,1192,#dd01e6
колено,1338,94,#9c742e
жена,1222,103,#7de8f9
мужик,1155,483,#7de8f9
грудь,1013,2120,black
мысль,905,114,#c19af1
старуха,873,283,#7de8f9
трава,857,376,#99549f
юноша,771,199,#7de8f9
собака,567,781,#e2ed07
конь,519,595,#0707f8
дерево,518,322,#92d26a
мальчик,503,87,#7c1f36
бок,474,525,#9235bd
лошаденка,458,1385,black
он,444,136,#957f70
баба,442,201,#7de8f9
кляча,431,1586,#dd01e6
ребенок,416,113,#7de8f9
пища,403,60,#25d968
дама,382,252,#4ee22c
год,376,148,#e66328
коленка,367,52,black
корова,359,1727,#dd01e6
господин,339,65,#7de8f9
блондин,327,95,#7de8f9
солдат,309,173,#7de8f9
мешок,307,512,#7de8f9
офицер,278,59,#aa63bf
подросток,278,58,#7de8f9
немец,272,190,#95e8d3
мальчишка,263,60,#7de8f9
карман,262,550,#9235bd
живот,238,1277,#89554b
паренек,234,96,black
зад,225,1425,#9235bd
ребро,222,204,#9235bd
ножка,220,181,#0707f8
овца,196,206,#e2ed07
кошка,192,358,#e2ed07
старичок,179,200,black
фигурка,177,462,#0894ea
старушка,176,45,black
плод,158,423,#95c142
крестьянин,156,44,#7de8f9
кобыла,153,61,#dd01e6
тельце,150,74,#92d26a
девица,144,246,#7de8f9
скотина,131,83,#dd01e6
птица,128,504,#dd01e6
монах,127,169,#7de8f9
человечек,124,256,black
бедро,120,387,black
пес,118,385,#dd01e6
почва,111,1487,#0d5768
кулак,102,93,#7de8f9
скот,93,530,#7de8f9
ляжка,91,187,black
кот,83,301,#dd01e6
еврей,76,95,#95e8d3
волк,71,192,#e2ed07
мужичок,70,58,black
лошадка,67,150,#1d9583
икра,66,68,#23e9b0
кость,64,46,#92d26a
скелет,63,45,black
верзила,63,87,#7de8f9
тень,62,194,#7de8f9
вид,61,218,#c19af1
студент,59,45,#7de8f9
девчонка,57,59,#7de8f9
кадык,56,41,black
свинья,53,86,#dd01e6
тип,50,58,#7de8f9
коза,45,279,#7c1f36
курица,43,209,#25d968
сердце,42,280,#d05769
вол,40,101,#e2ed07
вещмешок,40,475,#0707f8
