noun,krasnyj,krasnovatyj,code
цвет,211226,14435,#ae548b
дерево,60328,52,#cd6a01
пятно,57666,3821,black
краска,53128,329,#04ebb9
свет,51442,6188,#ccd1b2
глина,38873,2993,#cd6a01
звезда,37224,332,#d549c8
лицо,28208,1526,#044b3a
окраска,25192,3575,#ae548b
глаз,24286,1289,black
полоса,22978,920,#de61c6
цветок,22687,580,#eac436
луч,18688,1316,#044b3a
огонь,17705,918,#e4895b
медь,17163,143,#cd6a01
солнце,15336,509,#044b3a
песчаник,13170,903,#cd6a01
фон,13068,536,#4ef929
нос,12954,594,black
охра,12916,227,#cd6a01
водоросль,12319,46,#eac436
огонек,11822,1285,#cd6a01
гранит,10439,310,#cd6a01
рука,10393,311,#ccd1b2
тон,9794,2428,#ae548b
точка,9765,588,#9c41b6
полоска,9319,582,black
крыша,9008,46,black
черта,8951,66,#9c41b6
пламень,8531,1011,black
камень,8373,725,#6898ea
язык,8268,79,#ccd1b2
ягода,8040,54,#ccd1b2
звездочка,7772,57,#ccd1b2
круг,7344,158,#5dfadf
кожа,6937,333,#cd6a01
окрашивание,6660,183,black
шар,6506,102,#5dfadf
ангоб,6501,368,black
лампочка,6386,89,#1e220f
оттенок,6294,15038,#ae548b
золото,6273,169,#ccd1b2
лист,5938,506,#d07ef2
плод,5869,58,#2eea04
песок,5167,1338,#74dd55
щека,5093,54,black
кайма,5010,309,#044b3a
зарево,4943,351,#679436
веко,4708,932,black
пигмент,4678,157,#cd6a01
земля,4542,773,#044b3a
прожилка,4419,550,black
стена,4378,69,#2c54cf
кристалл,4370,50,black
стекло,4177,43,#cd6a01
отблеск,3887,2861,black
глазок,3885,526,#044b3a
свечение,3884,191,black
осадок,3748,134,#cd6a01
искра,3545,211,#334575
жидкость,3388,816,#7572aa
пятнышко,3362,336,black
пыль,3292,1293,#cd6a01
жилка,3118,474,black
скала,2642,655,#044b3a
отсвет,2604,1071,black
мрамор,2586,82,#cd6a01
уголь,2570,56,#9acb3b
диск,2515,200,#14c4bc
небо,2463,256,#044b3a
порода,2410,90,#cd6a01
румянец,2367,95,#ae548b
туман,2349,528,#739d04
луна,2285,244,#1e3f6c
трава,2261,226,#eac436
шерсть,2194,143,#cd6a01
мергель,2173,66,#cd6a01
вода,2147,523,#7572aa
почва,2119,212,#4bb11e
борода,2099,43,#de9c77
облако,2093,317,black
палец,2067,88,#9acb3b
след,2062,327,#2bc639
волос,2042,328,#cd6a01
окно,1841,40,#936c39
рубец,1836,131,#5d13f9
блик,1737,582,#679436
известняк,1663,379,#cd6a01
кольцо,1640,46,#27dfb1
порошок,1633,41,#cd6a01
крапинка,1444,159,black
сок,1404,72,#7218b9
гора,1403,127,#044b3a
край,1340,145,#044b3a
волна,1315,51,#334575
лес,1303,78,#5dfadf
участок,1299,52,#3479c1
сосна,1285,69,#eac436
ободок,1258,72,#044b3a
вспышка,1244,140,#1e220f
рисунок,1230,114,#bee225
ствол,1184,551,#9acb3b
блеск,1161,393,#cd6a01
язычок,1139,88,#9acb3b
масло,1113,89,#cd6a01
суглинок,1065,631,#cd6a01
носик,1047,52,black
масса,1024,132,#d3871d
дым,1002,186,#cd6a01
кремень,1001,105,#ccd1b2
отлив,968,1206,#ae548b
поверхность,920,342,#044b3a
пена,901,105,#cd6a01
сияние,874,271,#679436
мякоть,862,62,#cd6a01
молния,853,110,#9acb3b
плавник,847,90,black
слой,834,89,#343df8
шрам,821,133,black
сыпь,813,45,black
обжиг,806,237,black
освещение,804,149,#e7a71d
штрих,743,101,black
кора,728,370,#cd6a01
туф,711,46,#cd6a01
холм,699,47,#044b3a
налет,628,415,#987087
куст,614,62,#3479c1
тень,574,209,#ccd1b2
искорка,567,91,black
белка,485,195,#23e628
жар,464,45,#337778
металл,401,86,#cd6a01
основание,366,196,#cd6a01
зрачок,360,40,black
волосок,342,189,#de9c77
вершина,335,176,black
марс,330,97,black
загар,305,265,#d40b20
обрыв,305,46,#044b3a
грязь,300,40,#cd6a01
накал,289,164,black
мгла,275,381,#5b0543
сумрак,244,350,#679436
стебель,241,226,black
ветвь,220,123,black
древесина,219,90,#cd6a01
побег,214,187,#21d01c
бронза,200,155,#cd6a01
белок,191,63,#805056
кожица,179,44,#cd6a01
сердцевина,170,47,#cd6a01
листочек,154,76,black
корка,150,61,#cd6a01
колорит,146,51,#ae548b
железка,145,62,black
подпалина,120,42,black
чешуйка,96,65,#16cfbd
пар,95,47,#cd6a01
щетина,93,42,#de9c77
полумрак,86,167,#679436
бородка,85,77,#de9c77
супесь,73,174,#cd6a01
черешок,73,119,black
