noun,malenkij,kroshechnyj,code
ребенок,122709,1302,#dc53df
человек,120481,898,#dc53df
девочка,62541,1096,#cbd634
городок,51012,1036,#5ad6eb
комната,46267,2390,#6327f9
мальчик,39467,486,#cbd634
домик,39025,1432,#40e93c
рост,32830,707,#806f4a
комнатка,29222,2674,black
город,28535,168,#88173b
сын,27884,211,#d14ea2
столик,27766,559,#835a58
кусочек,26102,3213,black
человечек,23441,836,black
группа,22128,245,#566299
рука,20736,563,#dc53df
женщина,19021,174,#dc53df
страна,18476,429,#88173b
фигурка,17360,1736,#465516
рассказ,15307,318,#2298b8
глазок,15114,711,#88173b
дочь,13816,135,#cbd634
глаз,13129,319,black
станция,12935,208,#54cff1
дочка,12703,178,#dc53df
голова,12415,157,#dc53df
дом,12138,104,#845163
ручка,11716,758,#2147d4
окно,11656,1125,#0bce11
книжка,11320,97,#c31a2a
государство,11165,648,#f29561
буква,10812,152,#e07607
роль,10517,671,#75ac9b
речка,10505,60,#a9c656
островок,10481,1773,black
головка,10218,721,#566299
глоток,10127,216,black
остров,9856,559,#88173b
деревушка,9431,350,black
птичка,9405,317,#16bfc8
ножка,9368,758,#5ad6eb
размер,9265,827,#ed7a71
существо,9189,1443,#cbceec
отряд,8827,151,#566299
книжечка,8562,315,black
отверстие,8439,692,#88173b
окошко,8380,944,#7fbca8
участок,8110,1662,#845163
квартирка,7976,793,black
оконце,7796,1017,black
площадь,7617,347,#874440
церковь,7504,143,#7f04f2
квартира,7414,295,#88173b
клочок,7340,933,black
кучка,6908,315,black
поселок,6854,480,#88173b
эпизод,6646,494,#75ac9b
рот,6535,247,#dc53df
старичок,6520,116,black
стол,6406,49,#88173b
часть,6386,741,#90f45d
кружок,6361,185,#566299
тело,6294,182,#465516
сцена,6177,664,#809d5c
заметка,6095,202,#75ac9b
рыбка,6035,179,#dc53df
жизнь,5849,77,#63e679
старушка,5692,178,black
мир,5638,133,#ba79e7
комнатушка,5541,749,black
озеро,5474,54,#a9c656
окошечко,5418,472,black
кафе,5405,155,#845163
деталь,5393,235,black
точка,5365,983,#8ac846
зал,5291,206,#6327f9
сердце,5201,136,#0ada0c
кабинет,5175,388,#566299
частица,5115,632,black
лодка,5105,44,#b858e4
театр,5105,88,#845163
нога,5072,125,black
зеркальце,5047,171,black
собачка,5034,112,#5ad6eb
гостиная,4948,99,#6327f9
местечко,4831,140,#88173b
ухо,4761,52,#5ad6eb
площадка,4622,447,#88173b
стихотворение,4558,70,#75ac9b
дворик,4482,322,black
ручеек,4474,155,black
лицо,4436,252,#88173b
садик,4400,670,#845163
чемоданчик,4352,52,black
мирок,4321,336,#566299
хозяйство,4227,131,#845163
избушка,4107,186,black
республика,4065,119,#f29561
шажок,3987,168,black
шаг,3952,153,#d3460e
лампочка,3922,246,#99acde
животное,3783,111,#f6ff89
шарик,3771,219,#742e09
солнце,3725,67,#88173b
кусок,3677,156,black
гостиница,3674,55,#8b95db
порция,3590,206,#3b36b2
чашечка,3551,575,#2904aa
городишко,3546,172,black
мастерская,3533,274,#6327f9
деревенька,3497,63,black
фигура,3489,92,#dc53df
помещение,3482,386,#ff7a9a
селение,3391,46,#88173b
надежда,3378,195,#dc53df
уголок,3357,667,#16bfc8
листок,3236,195,#c31a2a
дырочка,3226,90,black
самолет,3201,100,#b858e4
звездочка,3163,153,#dc53df
кухня,3079,599,#3b36b2
зверек,3065,127,#742e09
бугорок,3054,45,black
усик,3045,179,#940609
огонек,3020,671,#f5611d
тельце,3018,434,#f5611d
двор,2983,115,#845163
листочек,2968,144,black
коробочка,2920,163,#53e66f
планета,2918,169,#c38bb2
пауза,2882,206,#16bfc8
столовая,2874,69,#845163
нос,2841,137,black
костер,2809,52,#88173b
пятно,2790,46,black
капля,2719,151,black
сад,2712,65,#845163
каморка,2710,579,black
группка,2668,47,black
машина,2634,55,#b858e4
домишко,2593,90,black
пространство,2545,497,#88173b
записка,2515,57,#75ac9b
счастие,2511,62,black
пузырек,2462,210,#7ccd24
отрывок,2456,125,#75ac9b
прихожая,2429,287,#9fc004
подробность,2419,155,black
поле,2405,378,#88173b
камешек,2365,92,black
сценка,2345,61,#040e10
школьник,2342,67,#dc53df
письмо,2310,46,#5ae4ac
кулачок,2274,101,black
тираж,2254,414,black
сумма,2242,45,#80265a
комочек,2227,279,black
носик,2167,238,black
узелок,2135,177,black
холмик,2126,51,black
лаборатория,2126,41,#845163
зарплата,2115,56,black
личико,2109,329,black
томик,2082,60,black
волна,2076,65,#8fd7bf
доза,2035,61,#93131b
фрагмент,2033,182,#75ac9b
звезда,2028,57,#92d960
