noun,syroj,vlazhnyj,code
земля,55379,15825,#2e33eb
материал,52172,4238,#aa8296
вес,35400,1711,#763dd8
масса,20431,2479,#b7801c
вид,20250,601,#ecf4af
продукт,18444,797,#6bfeee
место,13678,12954,#74d7c7
погода,13541,7762,#4ce3ba
вещество,12684,323,#aa8296
луг,10034,7399,#2e33eb
руда,9622,204,#aa8296
глина,8909,2683,#aa8296
белок,7790,42,#b506c0
воздух,7650,36382,#2e33eb
ветер,6188,8202,#4ce3ba
почва,5560,25636,#560b94
кожа,5377,1296,#aa8296
песок,5105,12070,#6f6bab
жир,4802,47,#aa8296
лес,4703,6380,#dfcc8d
трава,4548,3998,#c8cb50
бензол,4399,122,#a6a018
стена,4261,881,#539a6e
туман,4039,1758,#4ce3ba
ткань,3703,2993,#aa8296
помещение,3485,671,#3351d7
ночь,3063,883,#39e94b
состояние,2795,14196,#bcf04f
зерно,2581,3621,#6bfeee
биомасса,2367,119,black
дерево,2295,407,#aa8296
штукатурка,2201,73,#aa8296
мгла,2176,694,#f39d8f
уголь,2091,1154,#74d7c7
лист,1912,1895,#3455f1
климат,1823,37088,#91bb9c
снег,1773,2363,#4ce3ba
холод,1683,952,#918378
запах,1495,1963,#6a4bbb
участок,1446,2800,#f04c11
газ,1405,2045,#aa8296
грунт,1397,4004,#aa8296
низина,1379,435,#2e33eb
берег,1361,1541,#2e33eb
древесина,1319,1068,#aa8296
крахмал,1314,81,#aa8296
прохлада,1301,1976,#b31504
смесь,1245,990,#aa8296
камера,1215,14947,#2e33eb
мох,1197,2449,#c8cb50
тьма,1155,520,#928e9e
корень,1099,158,black
соль,1079,3617,#aa8296
лето,1051,4470,#74fbee
год,1048,21190,#c16620
осень,1030,1748,#74fbee
день,1026,966,#ba6aaf
ил,1016,356,#aa8296
доска,1014,102,#74d7c7
камень,1000,1326,#99ef06
хлеб,986,547,#9c53a9
время,985,931,#ba6aaf
угол,966,114,#2e33eb
темнота,944,516,#2fd666
яма,894,62,#1c282f
бор,870,207,#aa8296
пятно,844,1809,black
солома,836,475,#878ac0
сок,828,53,#bdde4e
одежда,818,440,#aa8296
утро,783,144,#5e971d
пища,779,52,#6bfeee
ущелие,772,479,black
торф,751,736,#aa8296
шерсть,709,340,#aa8296
тряпка,684,3701,#2fd666
пол,675,227,#2e33eb
местообитание,666,4137,black
ветка,661,261,#2e33eb
вечер,633,203,#5e971d
скала,628,1286,#2e33eb
белье,613,366,black
образец,597,2009,#2fd666
свежесть,581,1112,#32e6dc
осадок,580,1193,#aa8296
местность,553,400,#2e33eb
поле,530,599,#2e33eb
листва,526,828,black
хлопок,511,292,#a3c633
небо,506,641,#2e33eb
холодок,496,595,black
бумага,485,995,#aa8296
тень,482,657,#2fd666
грязь,440,107,#aa8296
ветерок,439,967,black
мрак,429,293,#f39d8f
тишина,407,392,#6ad2cf
весна,395,2400,#74fbee
полумрак,394,63,#7a108d
поверхность,393,3244,#2e33eb
топливо,391,500,#aa8296
кора,391,284,#aa8296
шинель,382,84,#31edc8
дорога,370,342,#9fae24
зима,366,1560,#74fbee
смола,353,110,#2fd666
сумерки,351,228,#66a48c
простыня,343,619,#9db92d
луговина,334,88,#2e33eb
облако,327,422,black
сумрак,322,525,#7a108d
туча,309,172,#b7801c
пар,307,8019,#aa8296
концентрат,298,145,#aa8296
тундра,296,371,#2e33eb
долина,293,597,#2e33eb
хвоя,292,149,black
