худой кадык	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['кадык', {'им,ед', 'вин,ед'}]]
худых земель	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['земля', {'род,мн'}]]
худые плечики	[['худой', {'вин,мн', 'им,мн'}], ['плечики', {'вин,мн', 'им,мн'}]]
худым коленям	[['худой', {'дат,мн', 'твор,ед'}], ['колено', {'дат,мн'}]]
худое сообщество	[['худой', {'им,ед', 'вин,ед'}], ['сообщество', {'им,ед', 'вин,ед'}]]
худого гнезда	[['худой', {'род,ед', 'вин,ед'}], ['гнездо', {'род,ед', 'вин,мн', 'им,мн'}]]
худая пища	[['худой', {'им,ед'}], ['пища', {'им,ед'}]]
худой знакъ	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['знак', {'им,ед', 'вин,ед'}]]
худое понятие	[['худой', {'им,ед', 'вин,ед'}], ['понятие', {'им,ед', 'вин,ед'}]]
худая цыганка	[['худой', {'им,ед'}], ['цыганка', {'им,ед'}]]
худыми боками	[['худой', {'твор,мн'}], ['бок', {'твор,мн'}]]
худой инженер	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['инженер', {'им,ед'}]]
худом аскетическом	[['худой', {'пр,ед'}], ['аскетический', set()]]
худых авторов	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['автор', {'вин,мн', 'род,мн'}]]
худую роль	[['худой', {'вин,ед'}], ['роль', {'им,ед', 'вин,ед'}]]
худыми крышами	[['худой', {'твор,мн'}], ['крыша', {'твор,мн'}]]
худое распоряжение	[['худой', {'им,ед', 'вин,ед'}], ['распоряжение', {'им,ед', 'вин,ед'}]]
худых ног	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['нога', {'род,мн'}]]
худом пальтишке	[['худой', {'пр,ед'}], ['пальтишко', {'пр,ед'}]]
худого юношу	[['худой', {'род,ед', 'вин,ед'}], ['юноша', {'вин,ед'}]]
