ледяным выражением	[['ледяной', {'дат,мн', 'твор,ед'}], ['выражение', {'твор,ед'}]]
ледяном походе	[['ледяной', {'пр,ед'}], ['поход', {'пр,ед'}]]
ледяной любезностью	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['любезность', {'твор,ед'}]]
ледяные стрелы	[['ледяной', {'вин,мн', 'им,мн'}], ['стрела', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяные чертоги	[['ледяной', {'вин,мн', 'им,мн'}], ['чертог', {'вин,мн', 'им,мн'}]]
ледяным дорожкам	[['ледяной', {'дат,мн', 'твор,ед'}], ['дорожка', {'дат,мн'}]]
ледяных лучиков	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['лучик', {'род,мн'}]]
ледяные куски	[['ледяной', {'вин,мн', 'им,мн'}], ['кусок', {'вин,мн', 'им,мн'}]]
ледяного коня	[['ледяной', {'род,ед', 'вин,ед'}], ['конь', {'род,ед', 'вин,ед'}]]
ледяным обрывом	[['ледяной', {'дат,мн', 'твор,ед'}], ['обрыв', {'твор,ед'}]]
ледяной равниной	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['равнина', {'твор,ед'}]]
ледяном крае	[['ледяной', {'пр,ед'}], ['край', {'пр,ед'}]]
ледяную гору	[['ледяной', {'вин,ед'}], ['гора', {'вин,ед'}]]
ледяным покрытием	[['ледяной', {'дат,мн', 'твор,ед'}], ['покрытие', {'твор,ед'}]]
ледяные глазки	[['ледяной', {'вин,мн', 'им,мн'}], ['глазок', {'вин,мн', 'им,мн'}]]
ледяной скале	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['скала', {'дат,ед', 'пр,ед'}]]
ледяной ветер	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['ветер', {'вин,ед', 'им,ед'}]]
ледяные дворцы	[['ледяной', {'вин,мн', 'им,мн'}], ['дворец', {'вин,мн', 'им,мн'}]]
ледяные ветры	[['ледяной', {'вин,мн', 'им,мн'}], ['ветер', {'вин,мн', 'им,мн'}]]
ледяной влаги	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['влага', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяных кромок	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['кромка', {'род,мн'}]]
ледяных прослоев	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['прослой', {'род,мн'}]]
ледяного безразличия	[['ледяной', {'род,ед', 'вин,ед'}], ['безразличие', {'вин,мн', 'род,ед', 'им,мн'}]]
