мокрую комнату	[['мокрый', {'вин,ед'}], ['комната', {'вин,ед'}]]
мокрым тряпьем	[['мокрый', {'твор,ед', 'дат,мн'}], ['тряпье', {'твор,ед'}]]
мокрые зубы	[['мокрый', {'вин,мн', 'им,мн'}], ['зуб', {'вин,мн', 'им,мн'}]]
мокрого платка	[['мокрый', {'вин,ед', 'род,ед'}], ['платок', {'род,ед'}]]
мокрый ватник	[['мокрый', {'вин,ед', 'им,ед'}], ['ватник', {'вин,ед', 'им,ед'}]]
мокрые окна	[['мокрый', {'вин,мн', 'им,мн'}], ['окно', {'вин,мн', 'род,ед', 'им,мн'}]]
мокрая душонка	[['мокрый', {'им,ед'}], ['душонка', {'им,ед'}]]
мокрый булыжник	[['мокрый', {'вин,ед', 'им,ед'}], ['булыжник', {'вин,ед', 'им,ед'}]]
мокрого пола	[['мокрый', {'вин,ед', 'род,ед'}], ['пол', {'вин,ед', 'род,ед', 'ед,кр,жен', 'им,ед'}]]
мокрый песокъ	[['мокрый', {'вин,ед', 'им,ед'}], ['песок', {'вин,ед', 'им,ед'}]]
мокрой шлифовки	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['шлифовка', {'вин,мн', 'род,ед', 'им,мн'}]]
мокрых губ	[['мокрый', {'род,мн', 'вин,мн', 'пр,мн'}], ['губа', {'род,мн'}]]
мокрой шахте	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['шахта', {'дат,ед', 'пр,ед'}]]
мокрой руки	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['рука', {'вин,мн', 'род,ед', 'им,мн'}]]
мокрая осень	[['мокрый', {'им,ед'}], ['осень', {'вин,ед', 'им,ед'}]]
мокрая жижа	[['мокрый', {'им,ед'}], ['жижа', {'им,ед'}]]
мокрый столб	[['мокрый', {'вин,ед', 'им,ед'}], ['столб', {'вин,ед', 'им,ед'}]]
мокрыми поцелуями	[['мокрый', {'твор,мн'}], ['поцелуй', {'твор,мн'}]]
мокрой палубой	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['палуба', {'твор,ед'}]]
мокрой стали	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['становиться=V,нп=прош,мн,изъяв,сов', {'род,ед', 'пр,ед', 'вин,мн', 'им,мн', 'прош,мн,изъяв,сов', 'дат,ед'}]]
мокром пальто	[['мокрый', {'пр,ед'}], ['пальто', {'род,ед', 'пр,ед', 'род,мн', 'твор,ед', 'вин,мн', 'им,мн', 'дат,мн', 'им,ед', 'твор,мн', 'вин,ед', 'пр,мн', 'дат,ед'}]]
мокрое время	[['мокрый', {'вин,ед', 'им,ед'}], ['время', {'вин,ед', 'им,ед'}]]
мокрым холодом	[['мокрый', {'твор,ед', 'дат,мн'}], ['холод', {'твор,ед'}]]
мокрой шваброй	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['швабра', {'твор,ед'}]]
мокрые листочки	[['мокрый', {'вин,мн', 'им,мн'}], ['листочек', {'вин,мн', 'им,мн'}]]
мокрой одежды	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['одежда', {'вин,мн', 'род,ед', 'им,мн'}]]
мокром снеге	[['мокрый', {'пр,ед'}], ['снег', {'пр,ед'}]]
мокрое шлифование	[['мокрый', {'вин,ед', 'им,ед'}], ['шлифование', {'вин,ед', 'им,ед'}]]
мокром ватнике	[['мокрый', {'пр,ед'}], ['ватник', {'пр,ед'}]]
мокрая птица	[['мокрый', {'им,ед'}], ['птица', {'им,ед'}]]
мокрой ямы	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['яма', {'вин,мн', 'род,ед', 'им,мн'}]]
мокрыми руками	[['мокрый', {'твор,мн'}], ['рука', {'твор,мн'}]]
мокрые воробьи	[['мокрый', {'вин,мн', 'им,мн'}], ['воробей', {'им,мн'}]]
мокрой скамьи	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['скамья', {'вин,мн', 'род,ед', 'им,мн'}]]
мокрых крышах	[['мокрый', {'род,мн', 'вин,мн', 'пр,мн'}], ['крыша', {'пр,мн'}]]
мокрого просеивания	[['мокрый', {'вин,ед', 'род,ед'}], ['просеивание', {'вин,мн', 'род,ед', 'им,мн'}]]
мокрой зелени	[['мокрый', {'дат,ед', 'твор,ед', 'род,ед', 'пр,ед'}], ['зелень', {'род,ед', 'пр,ед', 'ед,пов,2-л', 'вин,мн', 'им,мн', 'дат,ед'}]]
мокром состояниях	[['мокрый', {'пр,ед'}], ['состояние', {'пр,мн'}]]
мокрое сукно	[['мокрый', {'вин,ед', 'им,ед'}], ['сукно', {'вин,ед', 'им,ед'}]]
мокрым стеклом	[['мокрый', {'твор,ед', 'дат,мн'}], ['стекло', {'твор,ед'}]]
