влажных кормах	[['влажный', {'вин,мн', 'пр,мн', 'род,мн'}], ['корма', {'пр,мн'}]]
влажные леса	[['влажный', {'вин,мн', 'им,мн'}], ['лес', {'род,ед', 'им,ед', 'вин,мн', 'им,мн'}]]
влажными полотенцами	[['влажный', {'твор,мн'}], ['полотенце', {'твор,мн'}]]
влажных горах	[['влажный', {'вин,мн', 'пр,мн', 'род,мн'}], ['гора', {'пр,мн'}]]
влажных ее	[['влажный', {'вин,мн', 'пр,мн', 'род,мн'}], ['она=SPRO,ед,3-л,жен=вин', {'род,ед', 'им,мн', 'им,ед,жен', 'вин,мн,муж', 'дат,ед,сред', 'вин,ед,муж,неод', 'пр,ед,сред', 'род,мн', 'вин,мн,сред', 'вин,ед', 'дат,мн,сред', 'вин,ед,муж', 'твор,мн', 'род,мн,сред', 'дат,мн,муж', 'дат,ед,муж', 'род,ед,муж', 'дат,ед,жен', 'им,мн,сред', 'род,ед,жен', 'пр,мн,муж', 'пр,мн,сред', 'вин,ед,жен', 'им,ед,сред', 'твор,ед,жен', 'им,ед,муж', 'твор,ед,сред', 'вин,мн,од', 'вин,ед,сред', 'пр,ед,муж', 'род,ед,сред', 'твор,мн,сред', 'пр,ед,жен', 'пр,мн', 'дат,мн', 'вин,ед,муж,од', 'вин,мн,неод', 'твор,ед,муж'}]]
влажной области	[['влажный', {'род,ед', 'пр,ед', 'дат,ед', 'твор,ед'}], ['область', {'род,ед', 'вин,мн', 'пр,ед', 'дат,ед', 'им,мн'}]]
влажные грунты	[['влажный', {'вин,мн', 'им,мн'}], ['грунт', {'вин,мн', 'им,мн'}]]
влажная зелень	[['влажный', {'им,ед'}], ['зелень', {'им,ед', 'вин,ед'}]]
влажные облака	[['влажный', {'вин,мн', 'им,мн'}], ['облако', {'род,ед', 'вин,мн', 'им,мн'}]]
влажной мглы	[['влажный', {'род,ед', 'пр,ед', 'дат,ед', 'твор,ед'}], ['мгла', {'род,ед', 'вин,мн', 'им,мн'}]]
влажный торф	[['влажный', {'им,ед', 'вин,ед'}], ['торф', {'им,ед', 'вин,ед'}]]
влажная жара	[['влажный', {'им,ед'}], ['жара', {'род,ед', 'им,ед'}]]
влажный хлеб	[['влажный', {'им,ед', 'вин,ед'}], ['хлеб', {'им,ед', 'вин,ед'}]]
влажной камеры	[['влажный', {'род,ед', 'пр,ед', 'дат,ед', 'твор,ед'}], ['камера', {'род,ед', 'вин,мн', 'им,мн'}]]
влажные полоски	[['влажный', {'вин,мн', 'им,мн'}], ['полоска', {'род,ед', 'вин,мн', 'им,мн'}]]
влажной биомассы	[['влажный', {'род,ед', 'пр,ед', 'дат,ед', 'твор,ед'}], ['биомасса', {'род,ед', 'вин,мн', 'им,мн'}]]
влажного сырья	[['влажный', {'род,ед', 'вин,ед'}], ['сырье', {'род,ед'}]]
влажной пасты	[['влажный', {'род,ед', 'пр,ед', 'дат,ед', 'твор,ед'}], ['паста', {'род,ед', 'вин,мн', 'им,мн'}]]
влажной зоны	[['влажный', {'род,ед', 'пр,ед', 'дат,ед', 'твор,ед'}], ['зона', {'род,ед', 'вин,мн', 'им,мн'}]]
влажную массу	[['влажный', {'вин,ед'}], ['масса', {'вин,ед'}]]
влажную рубашку	[['влажный', {'вин,ед'}], ['рубашка', {'вин,ед'}]]
влажными главами	[['влажный', {'твор,мн'}], ['глава', {'твор,мн'}]]
влажными полосками	[['влажный', {'твор,мн'}], ['полоска', {'твор,мн'}]]
влажном топливе	[['влажный', {'пр,ед'}], ['топливо', {'пр,ед'}]]
влажного дня	[['влажный', {'род,ед', 'вин,ед'}], ['день', {'род,ед'}]]
влажною пустыней	[['влажный', {'твор,ед'}], ['пустыня', {'твор,ед', 'род,мн'}]]
влажных трав	[['влажный', {'вин,мн', 'пр,мн', 'род,мн'}], ['трава', {'род,мн'}]]
влажная часть	[['влажный', {'им,ед'}], ['часть', {'им,ед', 'вин,ед'}]]
влажных туманов	[['влажный', {'вин,мн', 'пр,мн', 'род,мн'}], ['туман', {'им,ед', 'род,мн'}]]
влажными прядями	[['влажный', {'твор,мн'}], ['прядь', {'твор,мн'}]]
влажные волокна	[['влажный', {'вин,мн', 'им,мн'}], ['волокно', {'род,ед', 'вин,мн', 'им,мн'}]]
влажным материалом	[['влажный', {'дат,мн', 'твор,ед'}], ['материал', {'твор,ед'}]]
влажными мешанками	[['влажный', {'твор,мн'}], ['мешанка', {'твор,мн'}]]
влажной погоды	[['влажный', {'род,ед', 'пр,ед', 'дат,ед', 'твор,ед'}], ['погода', {'род,ед', 'вин,мн', 'им,мн'}]]
влажные простыни	[['влажный', {'вин,мн', 'им,мн'}], ['простыня', {'род,ед', 'вин,мн', 'им,мн'}]]
влажными травами	[['влажный', {'твор,мн'}], ['трава', {'твор,мн'}]]
влажное дыхание	[['влажный', {'им,ед', 'вин,ед'}], ['дыхание', {'им,ед', 'вин,ед'}]]
влажным полям	[['влажный', {'дат,мн', 'твор,ед'}], ['поле', {'дат,мн'}]]
влажная полоса	[['влажный', {'им,ед'}], ['полоса', {'им,ед'}]]
